Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
vue,Module_EC,TESTING,0.52,0.39,0.09,0.12,0.34,0.0,0.0,57
vue,Module_EC,UPGRADE,1.0,1.0,0.0,0.0,0.0,,,8
home-assistant,Module_CC,BUG,0.29,0.26,10.24,744.82,27.29,0.33,0.55,291
home-assistant,Module_CC,DOCS,0.02,-0.57,12.0,641.94,25.34,0.11,0.11,34
home-assistant,Module_CC,FEATURE,-2.78,-4.4,3.64,28.14,5.31,0.18,0.27,42
home-assistant,Module_CC,OTHER,0.55,0.53,35.93,15777.25,125.61,0.32,0.52,368
home-assistant,Module_CC,REFACTOR,-0.14,-0.52,7.34,92.93,9.64,0.31,0.46,49
home-assistant,Module_CC,RELEASE,0.52,0.45,0.09,0.05,0.22,0.0,0.09,101
home-assistant,Module_CC,SUPPORT,0.67,0.62,10.55,263.48,16.23,0.46,0.69,104
home-assistant,Module_CC,TESTING,-0.06,-0.23,26.95,10384.2,101.9,0.22,0.52,91
home-assistant,Module_CC,UPGRADE,0.91,0.9,3.06,17.58,4.19,0.57,0.89,111
home-assistant,Module_EC,BUG,0.54,0.52,48.41,50823.13,225.44,0.33,0.47,291
home-assistant,Module_EC,DOCS,-0.15,-0.84,64.06,18577.94,136.3,0.17,0.5,34
home-assistant,Module_EC,FEATURE,-3.22,-5.03,16.29,1514.08,38.91,0.0,0.0,42
home-assistant,Module_EC,OTHER,-0.12,-0.16,588.72,6419957.24,2533.76,0.1,0.33,368
home-assistant,Module_EC,REFACTOR,0.76,0.68,27.2,3360.18,57.97,0.0,0.33,49
home-assistant,Module_EC,RELEASE,1.0,1.0,0.0,0.0,0.0,,,101
home-assistant,Module_EC,SUPPORT,0.82,0.8,15.68,2433.68,49.33,0.56,0.67,104
home-assistant,Module_EC,TESTING,0.24,0.12,74.58,41199.59,202.98,0.13,0.33,91
home-assistant,Module_EC,UPGRADE,0.75,0.72,46.57,5971.38,77.27,0.35,0.65,111
tensorflow,Module_CC,BUG,0.85,0.82,83.26,47600.84,218.18,0.19,0.62,84
tensorflow,Module_CC,DOCS,-4.11,-6.03,56.72,21407.31,146.31,0.33,0.58,47
tensorflow,Module_CC,FEATURE,-0.45,-1.32,26.53,990.35,31.47,0.33,0.33,35
tensorflow,Module_CC,OTHER,0.89,0.87,654.02,1461366.99,1208.87,0.35,0.52,90
tensorflow,Module_CC,REFACTOR,-0.11,-0.78,70.61,6244.57,79.02,0.11,0.22,35
tensorflow,Module_CC,RELEASE,-17.84,-22.19,34.13,7111.29,84.33,0.24,0.35,65
tensorflow,Module_CC,SUPPORT,0.8,0.71,99.89,58470.25,241.81,0.55,0.73,42
tensorflow,Module_CC,TESTING,0.61,0.5,66.84,14058.33,118.57,0.27,0.27,59
tensorflow,Module_CC,UPGRADE,0.83,0.78,3.4,28.73,5.36,0.14,0.5,53
tensorflow,Module_EC,BUG,0.77,0.73,156.15,107483.57,327.85,0.1,0.33,84
tensorflow,Module_EC,DOCS,-14.63,-20.49,116.39,52212.58,228.5,0.25,0.25,47
tensorflow,Module_EC,FEATURE,-3.06,-5.5,44.41,2510.85,50.11,0.11,0.22,35
tensorflow,Module_EC,OTHER,0.35,0.25,3261.74,75709025.53,8701.09,0.09,0.17,90
tensorflow,Module_EC,REFACTOR,-0.99,-2.18,92.81,11063.39,105.18,0.11,0.33,35
tensorflow,Module_EC,RELEASE,-1.98,-2.67,40.97,7302.29,85.45,0.0,0.12,65
tensorflow,Module_EC,SUPPORT,0.77,0.67,95.17,68108.06,260.98,0.45,0.82,42
tensorflow,Module_EC,TESTING,0.55,0.43,81.45,21396.46,146.28,0.2,0.33,59
tensorflow,Module_EC,UPGRADE,0.77,0.7,8.57,160.53,12.67,0.27,0.55,53
gitlabhq,Module_CC,BUG,0.98,0.98,15.15,656.33,25.62,0.63,0.8,797
gitlabhq,Module_CC,DOCS,0.93,0.93,8.55,290.78,17.05,0.59,0.77,531
gitlabhq,Module_CC,FEATURE,0.66,0.65,11.47,470.23,21.68,0.46,0.6,447
gitlabhq,Module_CC,OTHER,0.97,0.97,88.38,24671.63,157.07,0.54,0.71,887
