Project,Model,Amount_Invested,Amount_Returned,Investment_Gain,ROI,Annualized_ROI
angular,Line,10540007.2,277590.37000000005,-10262416.83,-0.974,-0.704
node,Line,180973249.57,15339209.47,-165634040.1,-0.915,-0.56
neutron,Line,6491507.050000001,8701888.93,2210381.88,0.341,0.103
vue,Line,279368.14,77524.98,-201843.16,-0.722,-0.347
home-assistant,Line,205886.12,491352.99000000005,285466.87,1.387,0.336
tensorflow,Line,17633910.89,51726601.24,34092690.35,1.933,0.431
gitlabhq,Line,1953452.65,2665520.67,712068.02,0.365,0.109
orleans,Line,1326932.13,1838.78,-1325093.35,-0.999,-0.9
roslyn,Line,22005487.69,243123896.71000004,221118409.02,10.048,1.227
ansible,Line,5378449.130000001,61029918.230000004,55651469.1,10.347,1.247
cli,Line,3239680.4999999995,926828.1800000002,-2312852.32,-0.714,-0.341
nova,Line,17501121.400000002,20671837.55,3170716.15,0.181,0.057
angular.js,Line,1593580.3199999998,4384800.96,2791220.64,1.752,0.401
lock,Line,202471.24000000002,2606674.37,2404203.13,11.874,1.344
kubernetes,Line,5490078.88,12215973.080000002,6725894.2,1.225,0.305
mesos,Line,4763073.73,3283575.47,-1479498.26,-0.311,-0.117
Odin,Line,41859.950000000004,13024.0,-28835.95,-0.689,-0.322
nixpkgs,Line,29419812.83,3426011.099999999,-25993801.73,-0.884,-0.512
react,Line,2533625.8400000003,122907954.66,120374328.82,47.511,2.647
brew,Line,31034.949999999997,53151.71999999999,22116.77,0.713,0.197
cinder,Line,19907838.72,16702709.24,-3205129.48,-0.161,-0.057
elasticsearch,Line,61532815.33,1069883570.47,1008350755.14,16.387,1.591
linux,Line,108509.59,61962.87000000001,-46546.72,-0.429,-0.17
cf-deployment,Line,93213.87,11872.210000000001,-81341.66,-0.873,-0.497
office-js,Line,2131.87,1125.94,-1005.93,-0.472,-0.192
AutoMapper,Line,1755763.5699999998,185973.81,-1569789.76,-0.894,-0.527
browser-sync,Line,94156.0,246.4,-93909.6,-0.997,-0.856
d3,Line,15053.619999999999,160.97,-14892.65,-0.989,-0.778
devise,Line,72246.09,243104.2,170858.11,2.365,0.499
fluentd,Line,151557.65,22095.57,-129462.08,-0.854,-0.473
fpm,Line,71129.82,36996.46,-34133.36,-0.48,-0.196
generator-jhipster,Line,304304.22,1015776.1600000001,711471.94,2.338,0.494
gitlabhq,Line,2002665.2000000002,2790114.74,787449.54,0.393,0.117
jest,Line,632407.95,43638916.47,43006508.52,68.004,3.102
jsdom,Line,10867.699999999999,17927.93,7060.23,0.65,0.182
keystone,Line,13563887.67,30467832.110000003,16903944.44,1.246,0.31
mathjs,Line,1040303.5000000002,11005.330000000002,-1029298.17,-0.989,-0.778
mesos,Line,4753119.95,3251745.91,-1501374.04,-0.316,-0.119
mongoose,Line,607198.2799999999,77687.08000000002,-529511.2,-0.872,-0.496
natural,Line,29597.96999999999,180.31999999999996,-29417.65,-0.994,-0.818
ng-file-upload,Line,24336.38,0.0,-24336.38,-1.0,-1.0
nightwatch,Line,138250.38999999998,5166.36,-133084.03,-0.963,-0.667
npm,Line,6353220.4799999995,18667011.740000002,12313791.26,1.938,0.432
pandoc,Line,118397.18000000002,38161.340000000004,-80235.84,-0.678,-0.315
pm2,Line,159231.69,35831.04,-123400.65,-0.775,-0.392
pomelo,Line,6473.19,625.4200000000001,-5847.77,-0.903,-0.541
selenium,Line,2113931.11,1233978.4300000002,-879952.68,-0.416,-0.164
socket.io,Line,7223.23,593212.1699999999,585988.94,81.126,3.347
swagger-ui,Line,65892.97,7210140.260000002,7144247.29,108.422,3.783
vega,Line,1434925.1900000002,423955.42000000004,-1010969.77,-0.705,-0.334
video.js,Line,843199.5099999998,17226293.93,16383094.42,19.43,1.734
webpack,Line,1100873.28,6049341.100000001,4948467.82,4.495,0.765
core-js,Line,8298332.610000001,15613.91,-8282718.7,-0.998,-0.874
dat,Line,14894.189999999999,472364.33999999997,457470.15,30.715,2.165
karma,Line,131374.40999999997,172646.55,41272.14,0.314,0.095
lodash,Line,2008186.9699999997,1973646.5499999996,-34540.42,-0.017,-0.006
medium-editor,Line,25354.96,28556.039999999997,3201.08,0.126,0.04
moby,Line,167260.68,34638.15,-132622.53,-0.793,-0.408
superagent,Line,73852.79000000001,12375.42,-61477.37,-0.832,-0.448
systemjs,Line,889389.1799999996,1265423.4300000002,376034.25,0.423,0.125
webtorrent,Line,624.6200000000001,92.93999999999998,-531.68,-0.851,-0.47
json-server,Line,49699.83,7855.7099999999955,-41844.12,-0.842,-0.459
requests,Line,95240.28000000001,35105.2,-60135.08,-0.631,-0.283
stylus,Line,8926.04,821.11,-8104.93,-0.908,-0.549
