Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
vue,Line_CC,DOCS,0.81,0.81,45.81,4270.03,65.35,0.33,0.33,11
vue,Line_CC,FEATURE,0.59,0.32,359.61,618442.46,786.41,0.17,0.67,24
vue,Line_CC,OTHER,0.66,0.64,7370.9,140576786.6,11856.51,0.24,0.33,129
vue,Line_CC,REFACTOR,-3.21,-4.26,166.73,86179.27,293.56,0.18,0.36,42
vue,Line_CC,RELEASE,0.81,0.79,268.16,427187.81,653.6,0.07,0.21,111
vue,Line_CC,SUPPORT,0.9,0.88,98.02,17866.92,133.67,0.36,0.45,41
vue,Line_CC,TESTING,0.97,0.96,410.18,536049.78,732.15,0.27,0.33,57
vue,Line_CC,UPGRADE,-14926.38,14928.38,699.63,955352.03,977.42,0.0,0.5,8
vue,Line_EC,BUG,1.0,1.0,0.0,0.0,0.0,,,118
vue,Line_EC,DOCS,1.0,1.0,0.0,0.0,0.0,,,11
vue,Line_EC,FEATURE,1.0,1.0,0.0,0.0,0.0,,,24
vue,Line_EC,OTHER,-7.53,-8.1,17.25,3757.92,61.3,0.0,0.0,129
vue,Line_EC,REFACTOR,1.0,1.0,0.0,0.0,0.0,,,42
vue,Line_EC,RELEASE,1.0,1.0,0.0,0.0,0.0,,,111
vue,Line_EC,SUPPORT,1.0,1.0,0.0,0.0,0.0,,,41
vue,Line_EC,TESTING,0.35,0.24,6.91,716.45,26.77,0.0,0.0,57
vue,Line_EC,UPGRADE,1.0,1.0,0.0,0.0,0.0,,,8
home-assistant,Line_CC,BUG,0.33,0.31,145.48,119009.15,344.98,0.14,0.33,291
home-assistant,Line_CC,DOCS,-0.24,-0.65,89.64,13168.29,114.75,0.0,0.11,34
home-assistant,Line_CC,FEATURE,-2.75,-3.69,223.47,81957.34,286.28,0.09,0.18,42
home-assistant,Line_CC,OTHER,0.84,0.84,684.93,2292174.35,1513.99,0.18,0.3,368
home-assistant,Line_CC,REFACTOR,0.26,0.11,464.2,412035.33,641.9,0.15,0.54,49
home-assistant,Line_CC,RELEASE,-3.98,-4.41,0.57,1.54,1.24,0.0,0.0,101
home-assistant,Line_CC,SUPPORT,0.46,0.41,667.74,1011425.58,1005.7,0.23,0.58,104
home-assistant,Line_CC,TESTING,-5.36,-6.0,878.07,2323738.05,1524.38,0.13,0.22,91
home-assistant,Line_CC,UPGRADE,-2.44,-2.72,80.43,18811.61,137.16,0.32,0.46,111
home-assistant,Line_EC,BUG,-0.23,-0.27,754.07,11680489.98,3417.67,0.27,0.4,291
home-assistant,Line_EC,DOCS,-0.35,-0.8,1173.05,2723659.82,1650.35,0.0,0.17,34
home-assistant,Line_EC,FEATURE,-34.61,-43.51,990.3,5472252.43,2339.28,0.0,0.0,42
home-assistant,Line_EC,OTHER,0.53,0.52,6930.2,424439593.96,20601.93,0.29,0.29,368
home-assistant,Line_EC,REFACTOR,0.28,0.14,5004.48,192846560.35,13886.92,0.0,0.33,49
home-assistant,Line_EC,RELEASE,1.0,1.0,0.0,0.0,0.0,,,101
home-assistant,Line_EC,SUPPORT,0.65,0.62,1005.33,5121423.54,2263.06,0.33,0.56,104
home-assistant,Line_EC,TESTING,-6.48,-7.23,6754.46,283179867.39,16827.95,0.0,0.08,91
home-assistant,Line_EC,UPGRADE,-1.63,-1.84,524.66,1308460.73,1143.88,0.18,0.35,111
tensorflow,Line_CC,BUG,0.09,-0.01,12735.7,2888079983.47,53740.86,0.24,0.52,84
tensorflow,Line_CC,DOCS,0.26,0.1,2104.1,13835010.94,3719.54,0.33,0.33,47
tensorflow,Line_CC,FEATURE,-0.44,-0.92,2629.24,10142100.77,3184.67,0.11,0.33,35
tensorflow,Line_CC,OTHER,0.41,0.35,68177.74,22197678215.64,148988.85,0.13,0.43,90
tensorflow,Line_CC,REFACTOR,0.54,0.39,2691.06,10798860.21,3286.16,0.22,0.67,35
tensorflow,Line_CC,RELEASE,0.51,0.44,7391.19,384395048.35,19606.0,0.18,0.35,65
tensorflow,Line_CC,SUPPORT,0.85,0.81,4925.52,96872293.28,9842.37,0.55,0.82,42
tensorflow,Line_CC,TESTING,0.58,0.51,3428.79,29361107.73,5418.59,0.2,0.27,59
tensorflow,Line_CC,UPGRADE,0.38,0.27,152.58,61562.1,248.12,0.14,0.29,53
tensorflow,Line_EC,BUG,0.03,-0.08,13869.1,3007148970.67,54837.48,0.29,0.35,84
tensorflow,Line_EC,DOCS,-6.99,-8.77,4754.37,112401822.2,10601.97,0.27,0.27,47
tensorflow,Line_EC,FEATURE,-11.76,-16.01,5051.95,35373591.46,5947.57,0.0,0.11,35
tensorflow,Line_EC,OTHER,0.24,0.16,194031.69,178969249415.2,423047.57,0.0,0.1,90
tensorflow,Line_EC,REFACTOR,0.04,-0.28,3580.89,22248347.11,4716.82,0.22,0.56,35
tensorflow,Line_EC,RELEASE,-46.71,-53.53,6252.04,252532427.99,15891.27,0.08,0.08,65
tensorflow,Line_EC,SUPPORT,0.86,0.82,4530.32,93374288.71,9663.04,0.55,0.73,42
tensorflow,Line_EC,TESTING,-0.47,-0.71,5461.73,113090774.2,10634.41,0.36,0.36,59
tensorflow,Line_EC,UPGRADE,0.64,0.57,131.69,36833.02,191.92,0.2,0.6,53
gitlabhq,Line_CC,BUG,0.44,0.43,990.94,8241910.78,2870.87,0.38,0.56,797
gitlabhq,Line_CC,DOCS,0.85,0.85,338.28,314638.23,560.93,0.43,0.53,531
gitlabhq,Line_CC,FEATURE,-0.05,-0.07,769.52,2412500.68,1553.22,0.24,0.36,447
gitlabhq,Line_CC,OTHER,0.25,0.24,13228.31,867103650.43,29446.62,0.27,0.44,887
gitlabhq,Line_CC,REFACTOR,-0.13,-0.16,1020.59,5618265.36,2370.29,0.32,0.45,352
gitlabhq,Line_CC,RELEASE,0.08,0.05,89.07,64865.28,254.69,0.16,0.34,265
gitlabhq,Line_CC,SUPPORT,0.23,0.21,493.69,1582670.19,1258.04,0.29,0.34,331
gitlabhq,Line_CC,TESTING,-3.85,-3.94,1287.0,19108770.38,4371.36,0.29,0.52,445
gitlabhq,Line_CC,UPGRADE,0.16,0.14,1219.81,9691173.94,3113.07,0.12,0.23,361
gitlabhq,Line_EC,BUG,0.67,0.67,432.92,1467448.09,1211.38,0.37,0.61,797
gitlabhq,Line_EC,DOCS,0.72,0.72,133.84,60497.96,245.96,0.36,0.55,531
gitlabhq,Line_EC,FEATURE,0.5,0.49,226.73,328346.25,573.02,0.29,0.41,447
gitlabhq,Line_EC,OTHER,0.17,0.16,12832.99,1064837992.62,32631.86,0.26,0.4,887
gitlabhq,Line_EC,REFACTOR,0.02,-0.0,727.63,4159508.64,2039.49,0.29,0.41,352
gitlabhq,Line_EC,RELEASE,0.64,0.63,47.85,24466.72,156.42,0.24,0.43,265
gitlabhq,Line_EC,SUPPORT,0.89,0.89,219.57,215482.45,464.2,0.26,0.46,331
gitlabhq,Line_EC,TESTING,0.51,0.5,471.54,1661721.3,1289.08,0.35,0.55,445
