Project,Model,Task,R_Squared,R_Squared_X,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_25_X,PRED_50,PRED_50_X,T_Records
angular.js,Module_CC,BUG,0.92,,0.91,89.69,41625.41,204.02,0.51,0.52,0.8,0.74,196
angular.js,Module_EC,BUG,0.91,,0.9,33.91,8828.65,93.96,0.61,0.41,0.75,0.63,196
angular.js,Module_CC,DOCS,0.98,,0.98,32.9,3552.92,59.61,0.52,0.41,0.81,0.65,191
angular.js,Module_EC,DOCS,0.93,,0.93,12.0,1174.96,34.28,0.51,0.51,0.65,0.63,191
angular.js,Module_CC,REFACTOR,0.83,,0.82,24.46,3294.23,57.4,0.46,0.31,0.77,0.57,153
angular.js,Module_EC,REFACTOR,0.83,,0.82,7.64,421.44,20.53,0.56,0.31,0.81,0.56,153
angular.js,Module_CC,TESTING,0.87,,0.86,12.95,652.01,25.53,0.5,0.35,0.75,0.66,158
angular.js,Module_EC,TESTING,0.38,,0.33,8.39,434.99,20.86,0.68,0.51,0.8,0.67,158
angular.js,Module_CC,FEATURE,0.86,,0.85,29.75,5683.18,75.39,0.58,0.47,0.76,0.74,152
angular.js,Module_EC,FEATURE,0.97,,0.97,4.85,93.14,9.65,0.44,0.49,0.67,0.66,152
angular.js,Module_CC,UPGRADE,0.98,,0.98,3.66,74.74,8.65,0.9,0.68,0.95,0.83,84
angular.js,Module_EC,UPGRADE,0.73,,0.68,1.17,7.63,2.76,0.59,0.56,0.82,0.69,84
angular.js,Module_CC,RELEASE,0.93,,0.92,1.51,10.55,3.25,0.84,0.63,0.91,0.82,126
angular.js,Module_EC,RELEASE,0.99,,0.99,0.04,0.02,0.13,0.78,0.75,0.89,0.84,126
angular.js,Module_CC,SUPPORT,0.55,,0.36,5.04,48.59,6.97,0.18,0.22,0.64,0.56,41
angular.js,Module_EC,SUPPORT,0.95,,0.93,0.06,0.01,0.11,0.5,0.47,0.62,0.53,41
angular.js,Module_CC,OTHER,0.66,,0.64,169.71,159832.34,399.79,0.37,0.28,0.54,0.47,182
angular.js,Module_EC,OTHER,0.3,,0.25,50.48,23969.94,154.82,0.32,0.2,0.51,0.36,182
lock,Module_CC,BUG,0.98,,0.98,5.32,83.5,9.14,0.24,0.32,0.43,0.43,168
lock,Module_EC,BUG,0.41,,0.36,33.72,13031.37,114.16,0.17,0.13,0.34,0.3,168
lock,Module_CC,DOCS,0.0,,1.5,0.01,0.0,0.01,1.0,0.88,1.0,1.0,8
lock,Module_EC,DOCS,1.0,,1.0,0.0,0.0,0.0,1.0,0.62,1.0,0.75,8
lock,Module_CC,REFACTOR,0.0,,1.5,0.15,0.02,0.15,1.0,0.6,1.0,0.6,5
lock,Module_EC,REFACTOR,1.0,,1.0,0.0,0.0,0.0,,,,,5
lock,Module_CC,TESTING,0.71,,0.62,7.42,213.3,14.6,0.36,0.35,0.5,0.46,54
lock,Module_EC,TESTING,-91.62,,-119.41,99.77,72196.86,268.69,0.0,0.17,0.0,0.21,54
lock,Module_CC,FEATURE,-0.46,,-2.65,6.56,107.39,10.36,0.2,0.0,0.2,0.1,21
lock,Module_EC,FEATURE,-0.59,,-2.97,193.56,56631.67,237.97,0.0,0.0,0.2,0.1,21
lock,Module_CC,UPGRADE,-7.2,,-13.35,2.31,8.07,2.84,0.25,0.52,0.38,0.59,29
lock,Module_EC,UPGRADE,-6.94,,-12.9,52.41,5225.26,72.29,0.0,0.08,0.0,0.17,29
lock,Module_CC,RELEASE,0.97,,0.97,1.77,70.43,8.39,0.87,0.82,0.92,0.93,239
lock,Module_EC,RELEASE,0.98,,0.98,2.2,34.6,5.88,0.75,0.61,0.8,0.67,239
lock,Module_CC,SUPPORT,0.68,,0.58,1.93,6.53,2.56,0.29,0.35,0.29,0.46,54
lock,Module_EC,SUPPORT,-27.03,,-35.44,26.91,3545.26,59.54,0.25,0.38,0.25,0.46,54
lock,Module_CC,OTHER,0.9,,0.89,15.23,3952.6,62.87,0.18,0.23,0.4,0.45,220
lock,Module_EC,OTHER,-0.75,,-0.85,70.82,22049.76,148.49,0.09,0.11,0.25,0.24,220
kubernetes,Module_CC,BUG,0.87,,0.86,35.55,6369.82,79.81,0.42,0.33,0.58,0.5,307
kubernetes,Module_EC,BUG,0.79,,0.78,150.42,162708.96,403.37,0.29,0.17,0.44,0.35,307
kubernetes,Module_CC,DOCS,0.62,,0.6,166.13,62677.94,250.36,0.35,0.29,0.55,0.41,204
kubernetes,Module_EC,DOCS,0.81,,0.8,82.31,28755.78,169.58,0.29,0.24,0.39,0.35,204
kubernetes,Module_CC,REFACTOR,0.65,,0.62,79.43,31507.61,177.5,0.38,0.3,0.52,0.5,159
kubernetes,Module_EC,REFACTOR,0.62,,0.59,21.89,1816.19,42.62,0.41,0.23,0.54,0.44,159
kubernetes,Module_CC,TESTING,0.8,,0.79,69.35,32346.62,179.85,0.44,0.31,0.65,0.63,262
kubernetes,Module_EC,TESTING,0.65,,0.63,106.56,91220.27,302.03,0.45,0.36,0.61,0.49,262
kubernetes,Module_CC,FEATURE,0.71,,0.68,7.28,561.71,23.7,0.39,0.3,0.53,0.44,142
kubernetes,Module_EC,FEATURE,0.6,,0.56,9.55,701.6,26.49,0.31,0.26,0.42,0.35,142
kubernetes,Module_CC,UPGRADE,0.56,,0.54,13.68,978.01,31.27,0.38,0.33,0.52,0.47,225
kubernetes,Module_EC,UPGRADE,0.79,,0.78,9.56,532.15,23.07,0.35,0.25,0.43,0.36,225
kubernetes,Module_CC,RELEASE,0.68,,0.67,25.67,8090.58,89.95,0.16,0.12,0.23,0.2,304
kubernetes,Module_EC,RELEASE,0.6,,0.58,34.49,16126.86,126.99,0.22,0.13,0.3,0.16,304
kubernetes,Module_CC,SUPPORT,0.82,,0.81,15.73,1098.05,33.14,0.58,0.55,0.76,0.76,219
kubernetes,Module_EC,SUPPORT,0.9,,0.89,89.33,52516.58,229.16,0.32,0.2,0.52,0.37,219
kubernetes,Module_CC,OTHER,0.72,,0.71,381.52,1219533.46,1104.32,0.62,0.51,0.77,0.68,471
kubernetes,Module_EC,OTHER,0.73,,0.72,560.77,1940115.02,1392.88,0.23,0.19,0.46,0.35,471
mesos,Module_CC,BUG,0.99,,0.99,11.04,280.71,16.75,0.74,0.67,0.89,0.93,105
mesos,Module_EC,BUG,0.95,,0.94,11.91,1090.58,33.02,0.81,0.68,0.86,0.86,105
mesos,Module_CC,DOCS,0.75,,0.7,27.44,3982.94,63.11,0.42,0.45,0.79,0.66,76
mesos,Module_EC,DOCS,0.7,,0.64,15.1,1182.28,34.38,0.42,0.43,0.74,0.6,76
mesos,Module_CC,REFACTOR,0.88,,0.85,7.91,135.91,11.66,0.39,0.35,0.61,0.7,71
mesos,Module_EC,REFACTOR,0.94,,0.93,4.25,35.16,5.93,0.36,0.32,0.79,0.52,71
mesos,Module_CC,TESTING,0.94,,0.93,21.65,1890.35,43.48,0.61,0.64,0.74,0.74,89
mesos,Module_EC,TESTING,0.9,,0.88,18.14,1397.76,37.39,0.67,0.69,0.94,0.79,89
mesos,Module_CC,FEATURE,0.9,,0.85,0.32,0.25,0.5,0.6,0.76,0.9,0.89,37
mesos,Module_EC,FEATURE,1.0,,1.0,0.05,0.01,0.08,1.0,0.79,1.0,0.79,37
mesos,Module_CC,UPGRADE,0.61,,0.53,5.8,131.8,11.48,0.72,0.34,0.78,0.63,71
mesos,Module_EC,UPGRADE,0.78,,0.73,3.35,35.75,5.98,0.47,0.31,0.82,0.44,71
mesos,Module_CC,RELEASE,0.87,,0.84,3.16,36.38,6.03,0.84,0.78,1.0,0.97,73
mesos,Module_EC,RELEASE,0.77,,0.72,3.55,35.39,5.95,0.63,0.6,0.89,0.77,73
mesos,Module_CC,SUPPORT,0.98,,0.98,6.57,68.63,8.28,0.68,0.54,0.74,0.81,74
mesos,Module_EC,SUPPORT,0.89,,0.87,6.22,122.77,11.08,0.42,0.38,0.74,0.62,74
mesos,Module_CC,OTHER,0.98,,0.98,94.21,29137.45,170.7,0.68,0.54,0.79,0.82,109
mesos,Module_EC,OTHER,0.98,,0.98,44.01,8412.39,91.72,0.6,0.53,0.76,0.72,109
Odin,Module_CC,BUG,-12.45,,7.72,84.39,7746.17,88.01,0.0,0.33,0.5,0.67,6
Odin,Module_EC,BUG,0.26,,1.37,6.59,73.57,8.58,0.5,0.17,0.5,0.17,6
nixpkgs,Module_CC,BUG,0.96,,0.94,37.75,5458.16,73.88,0.9,0.65,0.9,0.92,37
nixpkgs,Module_EC,BUG,0.59,,0.38,57.41,18766.98,136.99,0.3,0.32,0.5,0.59,37
nixpkgs,Module_CC,DOCS,0.98,,0.96,4.25,30.14,5.49,0.43,0.32,0.57,0.36,25
nixpkgs,Module_EC,DOCS,-0.02,,-1.04,22.59,3270.91,57.19,0.0,0.06,0.4,0.11,25
nixpkgs,Module_CC,REFACTOR,0.29,,-1.84,58.82,14377.39,119.91,0.2,0.11,0.2,0.33,18
nixpkgs,Module_EC,REFACTOR,0.24,,-2.04,5.65,90.02,9.49,0.0,0.11,0.4,0.11,18
nixpkgs,Module_CC,TESTING,0.08,,-0.47,98.4,25139.54,158.55,0.33,0.24,0.44,0.42,33
nixpkgs,Module_EC,TESTING,-7.03,,-11.85,31.18,5573.4,74.66,0.0,0.12,0.25,0.31,33
nixpkgs,Module_CC,FEATURE,-0.9,,-2.8,7.18,68.33,8.27,0.0,0.0,0.14,0.24,25
nixpkgs,Module_EC,FEATURE,-0.1,,-1.2,0.24,0.14,0.37,0.0,0.0,0.0,0.2,25
nixpkgs,Module_CC,UPGRADE,0.75,,0.6,9.84,245.58,15.67,0.33,0.42,0.67,0.69,36
nixpkgs,Module_EC,UPGRADE,0.41,,0.06,6.57,351.94,18.76,0.25,0.22,0.25,0.3,36
nixpkgs,Module_CC,RELEASE,0.27,,-0.28,6.09,104.04,10.2,0.38,0.31,0.75,0.56,32
nixpkgs,Module_EC,RELEASE,-1.97,,-4.2,1.11,2.93,1.71,0.0,0.13,0.25,0.2,32
nixpkgs,Module_CC,SUPPORT,0.87,,0.79,12.79,463.87,21.54,0.44,0.53,0.89,0.74,34
nixpkgs,Module_EC,SUPPORT,0.83,,0.73,8.83,405.35,20.13,0.43,0.14,0.57,0.21,34
nixpkgs,Module_CC,OTHER,0.82,,0.73,606.44,711874.45,843.73,0.3,0.5,0.4,0.71,38
nixpkgs,Module_EC,OTHER,0.96,,0.94,101.3,30222.47,173.85,0.5,0.34,0.5,0.53,38
react,Module_CC,BUG,0.19,,0.07,49.79,21576.73,146.89,0.32,0.24,0.56,0.4,98
react,Module_EC,BUG,-0.1,,-0.26,178.77,133565.33,365.47,0.24,0.25,0.35,0.36,98
react,Module_CC,DOCS,-10.71,,-13.41,93.67,21261.87,145.81,0.06,0.12,0.24,0.27,66
react,Module_EC,DOCS,-259.64,,-319.79,531.55,3555404.11,1885.58,0.33,0.11,0.33,0.14,66
react,Module_CC,REFACTOR,0.66,,0.32,4.46,36.73,6.06,0.43,0.12,0.57,0.4,25
react,Module_EC,REFACTOR,0.75,,0.5,62.07,10317.89,101.58,0.2,0.0,0.6,0.12,25
react,Module_CC,TESTING,0.31,,0.14,90.13,73401.1,270.93,0.19,0.19,0.44,0.33,64
react,Module_EC,TESTING,0.4,,0.25,1181.33,12110910.5,3480.07,0.0,0.07,0.2,0.15,64
react,Module_CC,FEATURE,-0.1,,-1.75,36.84,5742.61,75.78,0.0,0.09,0.5,0.23,22
react,Module_EC,FEATURE,0.1,,-1.25,574.63,1357854.91,1165.27,0.0,0.0,0.0,0.27,22
react,Module_CC,UPGRADE,-0.87,,-1.99,5.87,71.02,8.43,0.22,0.24,0.33,0.38,34
react,Module_EC,UPGRADE,-0.84,,-1.94,74.25,25201.83,158.75,0.0,0.0,0.0,0.07,34
react,Module_CC,RELEASE,0.06,,-0.18,36.32,13850.83,117.69,0.31,0.28,0.5,0.52,61
react,Module_EC,RELEASE,0.01,,-0.24,213.98,530514.48,728.36,0.14,0.13,0.14,0.2,61
react,Module_CC,SUPPORT,0.62,,0.48,11.23,576.51,24.01,0.42,0.21,0.42,0.43,47
react,Module_EC,SUPPORT,0.79,,0.71,105.0,39946.06,199.87,0.0,0.12,0.25,0.25,47
react,Module_CC,OTHER,0.52,,0.46,139.67,89768.01,299.61,0.32,0.19,0.5,0.41,111
react,Module_EC,OTHER,-0.16,,-0.3,1379.67,16781937.67,4096.58,0.12,0.13,0.24,0.31,111
brew,Module_CC,BUG,0.34,,0.23,10.84,1331.05,36.48,0.09,0.03,0.18,0.17,86
brew,Module_EC,BUG,-0.04,,-0.21,34.46,17152.4,130.97,0.05,0.02,0.05,0.05,86
brew,Module_CC,DOCS,-0.08,,-0.4,8.15,379.23,19.47,0.14,0.2,0.21,0.27,55
brew,Module_EC,DOCS,-10.35,,-13.76,1.51,7.47,2.73,0.23,0.2,0.38,0.31,55
brew,Module_CC,REFACTOR,-0.15,,-1.3,3.24,23.7,4.87,0.0,0.04,0.0,0.07,27
brew,Module_EC,REFACTOR,0.0,,-1.0,0.95,3.52,1.88,0.0,0.0,0.0,0.0,27
brew,Module_CC,TESTING,0.52,,0.41,8.82,921.84,30.36,0.0,0.12,0.24,0.24,66
brew,Module_EC,TESTING,0.11,,-0.1,10.01,942.25,30.7,0.0,0.08,0.12,0.13,66
brew,Module_CC,FEATURE,1.0,,1.0,0.0,0.0,0.0,,,,,10
brew,Module_EC,FEATURE,1.0,,1.0,0.0,0.0,0.0,,,,,10
brew,Module_CC,UPGRADE,-11.37,,-14.02,1.1,4.12,2.03,0.0,0.03,0.11,0.1,71
brew,Module_EC,UPGRADE,-0.06,,-0.29,1.32,26.95,5.19,0.0,0.0,0.0,0.0,71
brew,Module_CC,RELEASE,0.0,,1.5,0.32,0.12,0.34,0.0,0.0,0.0,0.0,8
brew,Module_EC,RELEASE,1.0,,1.0,0.0,0.0,0.0,,,,,8
brew,Module_CC,SUPPORT,-0.2,,-3.8,5.51,137.09,11.71,0.2,0.15,0.2,0.2,20
brew,Module_EC,SUPPORT,-0.25,,-4.0,0.2,0.2,0.45,0.0,0.0,0.0,0.0,20
brew,Module_CC,OTHER,0.03,,-0.1,52.93,27373.89,165.45,0.07,0.12,0.15,0.21,107
brew,Module_EC,OTHER,0.27,,0.17,64.4,29954.87,173.07,0.07,0.12,0.19,0.15,107
cinder,Module_CC,BUG,0.98,,0.98,26.75,1695.89,41.18,0.75,0.58,0.82,0.81,158
cinder,Module_EC,BUG,0.96,,0.96,59.58,7389.4,85.96,0.57,0.56,0.7,0.75,158
cinder,Module_CC,DOCS,0.97,,0.96,6.0,93.96,9.69,0.52,0.49,0.62,0.67,82
cinder,Module_EC,DOCS,0.98,,0.98,9.61,242.25,15.56,0.62,0.37,0.71,0.61,82
cinder,Module_CC,REFACTOR,0.8,,0.75,12.4,210.35,14.5,0.44,0.41,0.69,0.67,61
cinder,Module_EC,REFACTOR,0.79,,0.74,16.83,614.86,24.8,0.38,0.48,0.5,0.66,61
cinder,Module_CC,TESTING,0.95,,0.94,23.38,1388.67,37.26,0.58,0.38,0.71,0.57,121
cinder,Module_EC,TESTING,0.89,,0.88,65.11,15037.06,122.63,0.55,0.27,0.68,0.54,121
cinder,Module_CC,FEATURE,0.97,,0.96,2.37,7.6,2.76,0.67,0.4,0.73,0.72,57
cinder,Module_EC,FEATURE,0.92,,0.9,3.86,38.37,6.19,0.47,0.26,0.67,0.65,57
cinder,Module_CC,UPGRADE,0.75,,0.7,3.8,27.82,5.27,0.55,0.49,0.8,0.71,80
cinder,Module_EC,UPGRADE,0.85,,0.82,6.19,67.2,8.2,0.2,0.25,0.9,0.57,80
cinder,Module_CC,RELEASE,0.89,,0.87,4.01,53.41,7.31,0.7,0.66,0.95,0.8,80
cinder,Module_EC,RELEASE,0.92,,0.9,4.87,51.65,7.19,0.65,0.56,0.8,0.72,80
cinder,Module_CC,SUPPORT,0.98,,0.98,14.37,662.23,25.73,0.74,0.66,0.94,0.81,122
cinder,Module_EC,SUPPORT,0.94,,0.93,26.31,2409.45,49.09,0.58,0.46,0.87,0.7,122
cinder,Module_CC,OTHER,0.96,,0.96,167.32,82848.47,287.83,0.63,0.64,0.95,0.88,161
cinder,Module_EC,OTHER,0.97,,0.97,158.19,91467.61,302.44,0.76,0.63,0.9,0.86,161
elasticsearch,Module_CC,BUG,0.99,,0.99,70.2,13639.43,116.79,0.74,0.72,0.89,0.87,149
elasticsearch,Module_EC,BUG,1.0,,1.0,137.14,90884.1,301.47,0.43,0.48,0.49,0.54,149
elasticsearch,Module_CC,DOCS,0.99,,0.99,55.47,9401.74,96.96,0.65,0.57,0.81,0.84,148
elasticsearch,Module_EC,DOCS,1.0,,1.0,74.58,23754.78,154.13,0.64,0.71,0.68,0.76,148
elasticsearch,Module_CC,REFACTOR,0.99,,0.99,24.06,2507.06,50.07,0.89,0.69,0.93,0.74,108
elasticsearch,Module_EC,REFACTOR,1.0,,1.0,36.92,19003.54,137.85,0.69,0.56,0.92,0.72,108
elasticsearch,Module_CC,TESTING,0.98,,0.98,111.2,56924.52,238.59,0.64,0.72,0.72,0.81,144
elasticsearch,Module_EC,TESTING,0.99,,0.99,727.09,4599508.86,2144.65,0.64,0.54,0.68,0.6,144
elasticsearch,Module_CC,FEATURE,0.9,,0.89,22.4,1948.16,44.14,0.63,0.65,0.7,0.72,105
elasticsearch,Module_EC,FEATURE,0.98,,0.98,99.71,139279.47,373.2,0.43,0.66,0.57,0.72,105
elasticsearch,Module_CC,UPGRADE,0.98,,0.98,93.38,24858.04,157.66,0.76,0.72,0.88,0.78,132
elasticsearch,Module_EC,UPGRADE,1.0,,1.0,414.3,678424.8,823.67,0.58,0.6,0.73,0.69,132
elasticsearch,Module_CC,RELEASE,0.93,,0.92,13.84,815.4,28.56,0.67,0.6,0.81,0.73,142
elasticsearch,Module_EC,RELEASE,0.88,,0.87,100.48,114647.13,338.6,0.65,0.6,0.77,0.63,142
elasticsearch,Module_CC,SUPPORT,0.99,,0.99,39.57,4834.69,69.53,0.64,0.72,0.79,0.85,131
elasticsearch,Module_EC,SUPPORT,1.0,,1.0,214.01,224978.91,474.32,0.68,0.67,0.68,0.72,131
elasticsearch,Module_CC,OTHER,0.99,,0.99,920.73,2144362.72,1464.36,0.66,0.64,0.76,0.78,150
elasticsearch,Module_EC,OTHER,1.0,,1.0,3367.41,41240789.76,6421.9,0.63,0.47,0.77,0.57,150
cf-deployment,Module_CC,BUG,0.49,,0.36,2.27,17.15,4.14,0.38,0.31,0.56,0.48,64
cf-deployment,Module_EC,BUG,-9.66,,-12.32,2.35,15.95,3.99,0.0,0.06,0.08,0.1,64
cf-deployment,Module_CC,DOCS,0.4,,0.4,0.54,0.45,0.67,0.5,0.12,1.0,0.38,16
cf-deployment,Module_EC,DOCS,0.31,,0.31,0.64,0.82,0.9,0.75,0.12,0.75,0.25,16
cf-deployment,Module_CC,REFACTOR,0.0,,1.5,5.06,27.89,5.28,0.0,0.0,0.0,0.0,5
cf-deployment,Module_EC,REFACTOR,0.0,,1.5,1.0,1.0,1.0,0.0,0.0,0.0,0.2,5
cf-deployment,Module_CC,TESTING,0.22,,0.07,10.11,449.56,21.2,0.2,0.18,0.35,0.48,79
cf-deployment,Module_EC,TESTING,-3.56,,-4.42,1.48,12.31,3.51,0.18,0.13,0.55,0.35,79
cf-deployment,Module_CC,FEATURE,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2
cf-deployment,Module_EC,FEATURE,,,,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2
cf-deployment,Module_CC,UPGRADE,-12.19,,7.6,1.41,3.3,1.82,0.5,0.25,0.5,0.25,8
cf-deployment,Module_EC,UPGRADE,1.0,,1.0,0.0,0.0,0.0,,,,,8
cf-deployment,Module_CC,RELEASE,0.83,,0.81,5.7,85.53,9.25,0.57,0.61,0.89,0.85,140
cf-deployment,Module_EC,RELEASE,-42.72,,-46.95,1.01,21.2,4.6,0.0,0.03,0.14,0.1,140
cf-deployment,Module_CC,SUPPORT,0.11,,-0.78,4.0,48.07,6.93,0.14,0.16,0.71,0.44,25
cf-deployment,Module_EC,SUPPORT,0.0,,-1.0,0.28,0.22,0.47,0.0,0.14,0.0,0.18,25
cf-deployment,Module_CC,OTHER,0.54,,0.5,9.74,306.55,17.51,0.34,0.37,0.66,0.63,139
cf-deployment,Module_EC,OTHER,0.39,,0.33,8.29,142.95,11.96,0.17,0.14,0.31,0.23,139
office-js,Module_CC,BUG,0.97,,0.92,0.22,0.12,0.35,1.0,0.81,1.0,0.9,21
office-js,Module_EC,BUG,1.0,,1.0,0.0,0.0,0.0,,0.0,,0.0,21
d3,Module_CC,BUG,-0.04,,-0.18,10.01,374.36,19.35,0.41,0.36,0.67,0.55,107
d3,Module_EC,BUG,1.0,,1.0,0.0,0.0,0.0,,0.0,,0.5,107
socket.io,Module_CC,BUG,0.82,,0.82,1.88,4.0,2.0,0.5,0.14,0.75,0.57,14
socket.io,Module_EC,BUG,0.61,,0.61,43.62,4023.54,63.43,0.5,0.21,0.75,0.36,14
socket.io,Module_CC,DOCS,0.44,,2.12,13.28,419.39,20.48,0.0,0.09,0.0,0.36,11
socket.io,Module_EC,DOCS,0.46,,2.08,678.76,1206661.83,1098.48,0.0,0.0,0.0,0.09,11
webpack,Module_CC,BUG,0.86,,0.85,11.36,1323.42,36.38,0.26,0.21,0.49,0.42,285
webpack,Module_EC,BUG,0.59,,0.57,15.14,2583.19,50.83,0.21,0.05,0.23,0.2,285
webpack,Module_CC,DOCS,0.94,,0.94,3.26,22.99,4.79,0.5,0.0,0.5,0.38,13
webpack,Module_EC,DOCS,0.0,,0.0,5.34,105.26,10.26,0.0,0.0,0.0,0.0,13
webpack,Module_CC,REFACTOR,0.97,,0.96,9.26,405.29,20.13,0.47,0.36,0.47,0.42,73
webpack,Module_EC,REFACTOR,-8.18,,-10.02,1.39,30.3,5.5,0.0,0.02,0.08,0.04,73
webpack,Module_CC,TESTING,0.88,,0.87,10.18,445.26,21.1,0.37,0.28,0.58,0.48,150
webpack,Module_EC,TESTING,-0.05,,-0.14,14.29,2597.31,50.96,0.27,0.19,0.36,0.23,150
webpack,Module_CC,FEATURE,0.1,,-0.06,10.54,1314.43,36.26,0.47,0.32,0.47,0.38,81
webpack,Module_EC,FEATURE,-0.17,,-0.38,14.45,1632.08,40.4,0.0,0.0,0.0,0.0,81
webpack,Module_CC,UPGRADE,-0.05,,-0.58,5.89,87.46,9.35,0.2,0.15,0.2,0.2,40
webpack,Module_EC,UPGRADE,0.51,,0.26,0.16,0.08,0.28,0.25,0.32,0.25,0.32,40
jekyll,Module_CC,BUG,0.97,,0.96,2.84,16.74,4.09,0.56,0.36,0.89,0.58,69
jekyll,Module_EC,BUG,0.67,,0.6,34.85,3580.63,59.84,0.27,0.14,0.36,0.29,69
jekyll,Module_CC,DOCS,-0.1,,-0.47,18.66,2150.02,46.37,0.38,0.24,0.77,0.4,50
jekyll,Module_EC,DOCS,-0.28,,-0.71,91.97,52953.93,230.12,0.0,0.06,0.0,0.12,50
jekyll,Module_CC,REFACTOR,-1.96,,-4.92,1.78,3.99,2.0,0.0,0.11,0.29,0.32,28
jekyll,Module_EC,REFACTOR,0.6,,0.2,0.26,0.45,0.67,0.0,0.0,0.0,0.0,28
jekyll,Module_CC,TESTING,0.91,,0.89,2.52,11.96,3.46,0.67,0.55,0.93,0.8,60
jekyll,Module_EC,TESTING,0.9,,0.87,14.57,775.44,27.85,0.25,0.24,0.38,0.33,60
jekyll,Module_CC,FEATURE,0.1,,-2.6,7.6,121.7,11.03,0.2,0.3,0.2,0.35,20
jekyll,Module_EC,FEATURE,-0.67,,-5.68,212.31,112688.13,335.69,0.0,0.0,0.0,0.0,20
jekyll,Module_CC,UPGRADE,0.78,,0.62,1.84,6.7,2.59,0.25,0.23,0.5,0.35,31
jekyll,Module_EC,UPGRADE,0.91,,0.84,15.24,1293.78,35.97,0.17,0.13,0.33,0.27,31
jekyll,Module_CC,RELEASE,0.69,,0.64,3.17,20.57,4.54,0.19,0.24,0.38,0.52,84
jekyll,Module_EC,RELEASE,0.95,,0.94,1.67,36.58,6.05,0.5,0.16,0.5,0.37,84
jekyll,Module_CC,SUPPORT,0.68,,0.44,1.54,3.31,1.82,0.5,0.47,0.75,0.62,32
jekyll,Module_EC,SUPPORT,0.0,,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
jekyll,Module_CC,OTHER,0.92,,0.91,28.75,2482.14,49.82,0.57,0.35,0.65,0.67,89
jekyll,Module_EC,OTHER,0.85,,0.83,138.51,122647.38,350.21,0.19,0.14,0.25,0.25,89
requests,Module_CC,BUG,0.69,,0.61,1.37,2.69,1.64,0.27,0.19,0.67,0.49,57
requests,Module_EC,BUG,0.25,,0.05,1.13,2.68,1.64,0.18,0.17,0.55,0.41,57
requests,Module_CC,DOCS,0.18,,-0.44,1.43,3.15,1.78,0.0,0.13,0.12,0.32,31
requests,Module_EC,DOCS,0.56,,0.23,0.64,1.27,1.13,0.25,0.24,0.25,0.52,31
requests,Module_CC,REFACTOR,,,,0.75,0.57,0.75,0.0,0.0,0.0,0.0,3
requests,Module_EC,REFACTOR,,,,0.4,0.16,0.4,0.0,0.0,0.0,0.0,3
requests,Module_CC,TESTING,0.73,,0.6,1.42,6.26,2.5,0.5,0.44,0.9,0.69,39
requests,Module_EC,TESTING,0.61,,0.41,1.08,4.19,2.05,0.38,0.58,0.38,0.71,39
requests,Module_CC,FEATURE,,,,0.0,0.0,0.0,,,,,2
requests,Module_EC,FEATURE,,,,0.0,0.0,0.0,,,,,2
requests,Module_CC,UPGRADE,0.57,,1.22,2.26,8.66,2.94,0.0,0.0,1.0,0.29,7
requests,Module_EC,UPGRADE,0.0,,1.5,0.35,0.18,0.42,0.0,0.0,0.0,0.0,7
requests,Module_CC,RELEASE,-0.27,,-0.27,0.77,0.87,0.93,0.0,0.33,0.25,0.33,15
requests,Module_EC,RELEASE,-0.69,,-0.69,0.97,1.69,1.3,0.0,0.07,0.0,0.13,15
requests,Module_CC,SUPPORT,-5.67,,14.34,2.05,4.45,2.11,0.0,0.33,0.33,0.58,12
requests,Module_EC,SUPPORT,0.98,,1.04,0.14,0.04,0.21,0.33,0.09,0.33,0.55,12
requests,Module_CC,OTHER,0.48,,0.38,12.92,946.2,30.76,0.2,0.21,0.5,0.38,80
requests,Module_EC,OTHER,0.63,,0.56,25.87,2849.47,53.38,0.12,0.24,0.35,0.35,80
lodash,Module_CC,BUG,1.0,,1.0,0.9,1.54,1.24,0.64,0.62,0.71,0.77,53
lodash,Module_EC,BUG,1.0,,1.0,0.72,1.12,1.06,0.64,0.64,0.71,0.83,53
lodash,Module_CC,DOCS,-0.16,,-0.45,1.95,8.98,3.0,0.69,0.56,0.94,0.85,62
lodash,Module_EC,DOCS,0.16,,-0.05,1.84,6.48,2.55,0.69,0.55,0.94,0.85,62
lodash,Module_CC,REFACTOR,0.76,,1.48,0.26,0.21,0.46,0.67,0.9,0.67,0.9,10
lodash,Module_EC,REFACTOR,0.79,,1.42,0.26,0.19,0.43,0.67,0.9,0.67,0.9,10
lodash,Module_CC,TESTING,0.83,,0.78,2.46,18.45,4.3,0.67,0.66,0.93,0.86,59
lodash,Module_EC,TESTING,0.86,,0.82,2.29,15.21,3.9,0.6,0.71,1.0,0.88,59
lodash,Module_CC,FEATURE,0.73,,1.54,0.42,0.53,0.73,0.67,0.7,0.67,0.8,10
lodash,Module_EC,FEATURE,0.7,,1.6,0.45,0.61,0.78,0.67,0.7,0.67,0.8,10
lodash,Module_CC,UPGRADE,0.83,,0.83,1.16,2.67,1.63,0.5,0.57,0.5,0.57,14
lodash,Module_EC,UPGRADE,0.85,,0.85,1.1,2.42,1.56,0.5,0.57,0.5,0.57,14
