Project,Model,Task,R_Squared,R_Squared_X,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_25_X,PRED_50,PRED_50_X,T_Records
node,Module_CC,SUPPORT,0.99,,0.99,6.99,157.15,12.54,0.78,0.67,0.87,0.85,249
node,Module_EC,SUPPORT,0.93,,0.93,2.21,63.07,7.94,0.83,0.7,0.9,0.84,249
node,Module_CC,OTHER,0.97,,0.97,1213.82,3794169.06,1947.86,0.64,0.52,0.71,0.67,299
node,Module_EC,OTHER,0.85,,0.84,367.76,777014.8,881.48,0.77,0.71,0.82,0.79,299
neutron,Module_CC,BUG,0.94,,0.93,33.38,3614.32,60.12,0.7,0.61,0.92,0.93,147
neutron,Module_EC,BUG,0.95,,0.95,60.86,9713.54,98.56,0.59,0.5,0.78,0.84,147
neutron,Module_CC,DOCS,0.51,,0.42,12.14,534.76,23.12,0.4,0.36,0.65,0.57,80
neutron,Module_EC,DOCS,0.66,,0.6,19.75,1463.41,38.25,0.55,0.35,0.65,0.57,80
neutron,Module_CC,REFACTOR,0.91,,0.89,12.71,286.98,16.94,0.57,0.48,0.67,0.64,84
neutron,Module_EC,REFACTOR,0.86,,0.84,16.41,446.67,21.13,0.38,0.29,0.52,0.54,84
neutron,Module_CC,TESTING,0.68,,0.65,35.76,8760.19,93.6,0.4,0.47,0.66,0.78,138
neutron,Module_EC,TESTING,0.61,,0.57,96.17,53951.14,232.27,0.46,0.47,0.66,0.72,138
neutron,Module_CC,FEATURE,0.33,,0.04,3.98,38.16,6.18,0.55,0.43,0.73,0.64,42
neutron,Module_EC,FEATURE,-0.12,,-0.6,14.78,531.96,23.06,0.45,0.24,0.55,0.43,42
neutron,Module_CC,UPGRADE,0.77,,0.74,5.11,127.99,11.31,0.46,0.46,0.81,0.55,104
neutron,Module_EC,UPGRADE,0.79,,0.76,11.09,406.49,20.16,0.38,0.38,0.73,0.58,104
neutron,Module_CC,RELEASE,0.89,,0.88,2.39,13.75,3.71,0.59,0.49,0.85,0.75,106
neutron,Module_EC,RELEASE,0.91,,0.9,7.08,107.89,10.39,0.37,0.49,0.67,0.66,106
neutron,Module_CC,SUPPORT,0.89,,0.88,16.99,1058.57,32.54,0.57,0.55,0.8,0.85,119
neutron,Module_EC,SUPPORT,0.9,,0.89,32.61,3528.77,59.4,0.63,0.43,0.87,0.76,119
neutron,Module_CC,OTHER,0.75,,0.73,502.51,1197534.23,1094.32,0.42,0.51,0.74,0.71,152
neutron,Module_EC,OTHER,0.96,,0.96,370.87,409511.14,639.93,0.5,0.52,0.74,0.72,152
vue,Module_CC,BUG,0.96,,0.96,6.4,262.9,16.21,0.5,0.55,0.63,0.75,118
vue,Module_EC,BUG,1.0,,1.0,0.0,0.0,0.0,,0.0,,0.0,118
vue,Module_CC,DOCS,0.95,,1.1,0.58,0.36,0.6,0.33,0.36,0.33,0.55,11
vue,Module_EC,DOCS,0.0,,3.0,1.76,9.29,3.05,0.0,0.0,0.0,0.0,11
vue,Module_CC,REFACTOR,0.82,,0.74,2.75,12.35,3.51,0.36,0.31,0.64,0.62,42
vue,Module_EC,REFACTOR,1.0,,1.0,0.0,0.0,0.0,,,,,42
vue,Module_CC,TESTING,0.97,,0.96,9.98,337.73,18.38,0.4,0.3,0.53,0.46,57
vue,Module_EC,TESTING,0.51,,0.38,0.09,0.12,0.35,0.0,0.33,0.0,0.33,57
vue,Module_CC,FEATURE,0.63,,0.07,14.52,802.14,28.32,0.17,0.12,0.33,0.46,24
vue,Module_EC,FEATURE,1.0,,1.0,0.0,0.0,0.0,,,,,24
vue,Module_CC,UPGRADE,-2.27,,2.64,4.04,20.42,4.52,0.0,0.5,1.0,0.75,8
vue,Module_EC,UPGRADE,1.0,,1.0,0.0,0.0,0.0,,,,,8
vue,Module_CC,RELEASE,0.98,,0.98,0.79,2.11,1.45,0.71,0.63,0.89,0.71,111
vue,Module_EC,RELEASE,1.0,,1.0,0.0,0.0,0.0,,,,,111
vue,Module_CC,SUPPORT,0.96,,0.94,3.63,30.32,5.51,0.55,0.41,0.73,0.71,41
vue,Module_EC,SUPPORT,1.0,,1.0,0.0,0.0,0.0,,,,,41
vue,Module_CC,OTHER,0.95,,0.94,14.27,1044.98,32.33,0.64,0.56,0.82,0.78,129
vue,Module_EC,OTHER,0.91,,0.9,0.21,0.38,0.61,0.4,0.06,0.6,0.19,129
home-assistant,Module_CC,BUG,0.27,,0.24,10.48,763.82,27.64,0.34,0.36,0.53,0.61,291
home-assistant,Module_EC,BUG,0.53,,0.51,48.74,51590.22,227.13,0.27,0.27,0.47,0.43,291
home-assistant,Module_CC,DOCS,0.01,,-0.58,11.96,650.12,25.5,0.11,0.15,0.11,0.21,34
home-assistant,Module_EC,DOCS,-0.14,,-0.82,62.61,18395.4,135.63,0.17,0.12,0.5,0.2,34
home-assistant,Module_CC,REFACTOR,-0.13,,-0.51,7.39,92.38,9.61,0.31,0.14,0.38,0.39,49
home-assistant,Module_EC,REFACTOR,0.74,,0.65,28.28,3678.75,60.65,0.0,0.21,0.33,0.21,49
home-assistant,Module_CC,TESTING,-0.06,,-0.23,26.87,10386.24,101.91,0.13,0.29,0.48,0.54,91
home-assistant,Module_EC,TESTING,0.23,,0.11,77.9,41789.17,204.42,0.07,0.21,0.33,0.38,91
home-assistant,Module_CC,FEATURE,-2.69,,-4.27,3.6,27.47,5.24,0.18,0.12,0.36,0.36,42
home-assistant,Module_EC,FEATURE,-3.12,,-4.89,16.22,1479.94,38.47,0.0,0.0,0.0,0.12,42
home-assistant,Module_CC,UPGRADE,0.92,,0.91,2.81,14.84,3.85,0.61,0.55,0.96,0.81,111
home-assistant,Module_EC,UPGRADE,0.74,,0.71,47.06,6200.02,78.74,0.41,0.42,0.65,0.62,111
home-assistant,Module_CC,RELEASE,0.49,,0.42,0.09,0.05,0.23,0.0,0.07,0.08,0.09,101
home-assistant,Module_EC,RELEASE,1.0,,1.0,0.0,0.0,0.0,,0.0,,0.0,101
home-assistant,Module_CC,SUPPORT,0.68,,0.64,10.33,254.37,15.95,0.46,0.37,0.69,0.66,104
home-assistant,Module_EC,SUPPORT,0.8,,0.77,16.64,2654.76,51.52,0.5,0.12,0.6,0.32,104
home-assistant,Module_CC,OTHER,0.55,,0.53,36.61,15731.05,125.42,0.28,0.29,0.51,0.51,368
home-assistant,Module_EC,OTHER,-0.11,,-0.15,585.58,6386096.09,2527.07,0.1,0.2,0.38,0.44,368
tensorflow,Module_CC,BUG,0.86,,0.84,81.91,44901.55,211.9,0.29,0.37,0.57,0.56,84
tensorflow,Module_EC,BUG,0.78,,0.74,156.25,102925.56,320.82,0.1,0.2,0.29,0.3,84
tensorflow,Module_CC,DOCS,-12.86,,-18.06,83.87,58094.28,241.03,0.33,0.26,0.58,0.43,47
tensorflow,Module_EC,DOCS,-28.23,,-39.19,139.84,97673.5,312.53,0.25,0.2,0.25,0.28,47
tensorflow,Module_CC,REFACTOR,-0.17,,-0.87,71.88,6597.18,81.22,0.11,0.2,0.22,0.43,35
tensorflow,Module_EC,REFACTOR,-0.79,,-1.86,88.97,9926.9,99.63,0.11,0.14,0.33,0.49,35
tensorflow,Module_CC,TESTING,0.62,,0.52,66.51,13716.56,117.12,0.27,0.2,0.27,0.42,59
tensorflow,Module_EC,TESTING,0.51,,0.38,85.25,23438.65,153.1,0.13,0.19,0.33,0.44,59
tensorflow,Module_CC,FEATURE,-0.51,,-1.42,27.06,1035.64,32.18,0.33,0.31,0.33,0.54,35
tensorflow,Module_EC,FEATURE,-3.78,,-6.65,47.81,2954.57,54.36,0.11,0.14,0.22,0.4,35
tensorflow,Module_CC,UPGRADE,0.83,,0.78,3.49,29.9,5.47,0.14,0.43,0.5,0.62,53
tensorflow,Module_EC,UPGRADE,0.77,,0.7,9.27,163.39,12.78,0.27,0.14,0.55,0.43,53
tensorflow,Module_CC,RELEASE,-17.85,,-22.2,34.57,7112.52,84.34,0.18,0.17,0.29,0.43,65
tensorflow,Module_EC,RELEASE,-1.89,,-2.56,40.49,7067.7,84.07,0.0,0.15,0.12,0.29,65
tensorflow,Module_CC,SUPPORT,0.82,,0.74,96.25,52543.03,229.22,0.55,0.62,0.73,0.88,42
