Project,Model,Task,R_Squared,R_Squared_X,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_25_X,PRED_50,PRED_50_X,T_Records
angular,Line_CC,BUG,0.86,,0.86,5357.04,71027661.82,8427.79,0.2,0.23,0.37,0.41,326
angular,Line_EC,BUG,0.61,,0.6,1131.12,15063951.33,3881.23,0.12,0.08,0.22,0.17,326
angular,Line_CC,DOCS,0.6,,0.59,6498.02,150471585.88,12266.69,0.22,0.14,0.31,0.28,318
angular,Line_EC,DOCS,0.66,,0.65,576.88,2297196.0,1515.65,0.24,0.07,0.42,0.17,318
angular,Line_CC,REFACTOR,0.7,,0.69,4077.67,76608667.75,8752.64,0.32,0.25,0.47,0.43,295
angular,Line_EC,REFACTOR,0.7,,0.69,448.5,2222409.06,1490.77,0.27,0.21,0.45,0.32,295
angular,Line_CC,TESTING,0.25,,0.23,8966.58,255622714.5,15988.21,0.07,0.07,0.2,0.17,279
angular,Line_EC,TESTING,0.51,,0.5,172.81,376809.0,613.85,0.22,0.13,0.28,0.29,279
angular,Line_CC,FEATURE,0.58,,0.57,4753.95,152624737.65,12354.14,0.32,0.22,0.48,0.4,262
angular,Line_EC,FEATURE,-0.87,,-0.93,453.05,4306783.26,2075.28,0.44,0.29,0.5,0.47,262
angular,Line_CC,UPGRADE,0.37,,0.34,1738.36,11949478.77,3456.8,0.45,0.22,0.55,0.32,194
angular,Line_EC,UPGRADE,0.04,,-0.0,278.03,2661545.03,1631.42,0.38,0.28,0.54,0.37,194
angular,Line_CC,RELEASE,0.45,,0.43,129.29,76623.44,276.81,0.17,0.08,0.3,0.19,280
angular,Line_EC,RELEASE,0.91,,0.91,1.67,28.72,5.36,0.54,0.45,0.85,0.63,280
angular,Line_CC,SUPPORT,0.91,,0.9,224.05,303199.02,550.64,0.44,0.18,0.48,0.3,108
angular,Line_EC,SUPPORT,1.0,,1.0,0.02,0.02,0.12,1.0,0.94,1.0,0.94,108
angular,Line_CC,OTHER,0.44,,0.43,17064.94,1828599005.41,42762.12,0.11,0.11,0.2,0.24,315
angular,Line_EC,OTHER,0.79,,0.78,427.94,1702634.12,1304.85,0.25,0.06,0.36,0.27,315
node,Line_CC,BUG,0.73,,0.72,7962.1,198902354.21,14103.27,0.44,0.32,0.61,0.52,280
node,Line_EC,BUG,0.68,,0.67,1064.32,8517373.31,2918.45,0.71,0.66,0.8,0.79,280
node,Line_CC,DOCS,0.51,,0.49,4052.11,75379770.16,8682.15,0.29,0.13,0.45,0.33,231
node,Line_EC,DOCS,0.6,,0.59,1862.55,24186710.39,4918.0,0.3,0.31,0.52,0.34,231
node,Line_CC,REFACTOR,0.94,,0.94,2457.07,18689135.32,4323.09,0.54,0.51,0.69,0.59,234
