Version,NT,NO,E_Module,E_Line,T_Module,T_Line
v2.6.12-rc2, 0, 0, 2255, 143623, 17291, 6719178
v2.6.12-rc3, 71, 268, 588, 43087, 17317, 6738615
v2.6.12-rc4, 138, 608, 1296, 48137, 17349, 6756032
v2.6.12-rc5, 63, 185, 330, 17620, 17361, 6759826
v2.6.12-rc6, 64, 281, 344, 32921, 17360, 6777141
v2.6.13, 752, 3603, 5215, 573223, 18090, 6988294
v2.6.13-rc1, 0, 0, 2976, 311270, 17741, 6884592
v2.6.13-rc2, 19, 207, 359, 14020, 17740, 6881776
v2.6.13-rc3, 121, 479, 1254, 118434, 17826, 6906604
v2.6.13-rc4, 91, 521, 1123, 162559, 18075, 6981411
v2.6.13-rc5, 48, 172, 272, 9065, 18085, 6986564
v2.6.13-rc6, 36, 84, 158, 3807, 18086, 6986873
v2.6.13-rc7, 95, 188, 330, 6757, 18090, 6989050
v2.6.14, 664, 3311, 5233, 495661, 18434, 7142812
v2.6.14-rc1, 0, 0, 1659, 72359, 18399, 7109985
v2.6.14-rc2, 49, 300, 629, 22347, 18417, 7117572
v2.6.14-rc3, 101, 339, 657, 30714, 18414, 7132632
v2.6.14-rc4, 51, 156, 399, 15347, 18422, 7142125
v2.6.14-rc5, 36, 112, 180, 4547, 18433, 7143256
v2.6.15, 829, 4662, 6036, 618119, 18811, 7289644
v2.6.15-rc1, 0, 0, 1595, 79895, 18815, 7297497
v2.6.15-rc2, 112, 421, 860, 51713, 18811, 7288440
v2.6.15-rc3, 43, 183, 280, 6239, 18811, 7289629
v2.6.15-rc4, 19, 62, 112, 1779, 18811, 7289430
v2.6.15-rc5, 33, 106, 183, 9559, 18811, 7289683
v2.6.15-rc6, 58, 193, 345, 10991, 18811, 7289344
v2.6.15-rc7, 21, 91, 118, 1694, 18811, 7290240
v2.6.16, 925, 4851, 6653, 571144, 19251, 7479609
v2.6.16-rc1, 0, 0, 2578, 110207, 19206, 7453294
v2.6.16-rc2, 161, 705, 1227, 67329, 19238, 7470399
v2.6.16-rc3, 128, 507, 933, 24428, 19247, 7477459
v2.6.16-rc4, 62, 192, 333, 8673, 19252, 7478990
v2.6.16-rc5, 52, 156, 241, 6263, 19250, 7478775
v2.6.16-rc6, 97, 201, 366, 6615, 19250, 7479146
v2.6.17, 972, 5250, 6197, 581403, 19553, 7587681
v2.6.17-rc1, 0, 0, 2020, 116240, 19575, 7610431
v2.6.17-rc2, 105, 548, 999, 76297, 19537, 7576186
v2.6.17-rc3, 61, 188, 317, 8243, 19539, 7579041
v2.6.17-rc4, 88, 350, 581, 19218, 19543, 7581807
v2.6.17-rc5, 92, 221, 330, 8760, 19552, 7587123
v2.6.17-rc6, 53, 130, 211, 3685, 19553, 7587234
v2.6.18, 1075, 5785, 8957, 587631, 20208, 7752823
v2.6.18-rc1, 0, 0, 2386, 76559, 20177, 7727292
v2.6.18-rc2, 116, 425, 1097, 28599, 20179, 7735863
v2.6.18-rc3, 42, 169, 350, 5944, 20179, 7736229
v2.6.18-rc4, 83, 265, 439, 8082, 20181, 7738457
v2.6.18-rc5, 123, 280, 445, 22286, 20194, 7749089
v2.6.18-rc6, 23, 114, 184, 5754, 20198, 7751591
v2.6.18-rc7, 12, 73, 189, 2365, 20207, 7751910
v2.6.19, 1006, 6199, 8021, 738257, 20936, 7976075
v2.6.19-rc1, 0, 0, 3303, 94087, 20867, 7937676
v2.6.19-rc2, 102, 446, 2049, 52345, 20922, 7965227
v2.6.19-rc3, 130, 524, 819, 23129, 20926, 7973622
v2.6.19-rc4, 63, 183, 345, 6829, 20930, 7975429
v2.6.19-rc5, 57, 224, 387, 9660, 20931, 7974809
v2.6.19-rc6, 34, 101, 164, 2009, 20932, 7975208
v2.6.20, 737, 4457, 5868, 380262, 21280, 8102309
v2.6.20-rc1, 0, 0, 1388, 41936, 21276, 8091733
v2.6.20-rc2, 85, 330, 521, 14883, 21275, 8092722
v2.6.20-rc3, 37, 107, 138, 4126, 21275, 8093042
v2.6.20-rc4, 40, 127, 134, 4868, 21275, 8095136
v2.6.20-rc5, 42, 134, 222, 3247, 21275, 8096695
v2.6.20-rc6, 54, 253, 322, 11411, 21279, 8101528
v2.6.20-rc7, 54, 140, 244, 2931, 21280, 8102397
v2.6.21, 827, 4585, 6463, 453317, 21614, 8246082
v2.6.21-rc1, 0, 0, 1928, 66575, 21605, 8237883
v2.6.21-rc2, 72, 493, 675, 32674, 21625, 8244451
v2.6.21-rc3, 89, 320, 584, 11840, 21620, 8246011
v2.6.21-rc4, 71, 259, 376, 8901, 21617, 8244202
v2.6.21-rc5, 67, 208, 333, 4276, 21617, 8246294
v2.6.21-rc6, 76, 201, 284, 5689, 21613, 8245129
v2.6.21-rc7, 30, 75, 98, 2279, 21614, 8246396
v2.6.22, 953, 6012, 7563, 693510, 22411, 8498953
v2.6.22-rc1, 0, 0, 2049, 95520, 22371, 8458721
v2.6.22-rc2, 40, 234, 416, 9274, 22377, 8459423
v2.6.22-rc3, 81, 307, 646, 42106, 22400, 8493931
v2.6.22-rc4, 76, 261, 474, 11209, 22412, 8497490
v2.6.22-rc5, 126, 373, 557, 21878, 22411, 8499816
v2.6.22-rc6, 28, 135, 168, 3844, 22414, 8499904
v2.6.22-rc7, 25, 85, 123, 4916, 22414, 8500758
v2.6.23, 1034, 6173, 7160, 711070, 22530, 8566147
v2.6.23-rc1, 0, 0, 2862, 213854, 22727, 8561219
v2.6.23-rc2, 176, 723, 1665, 114914, 22452, 8522819
v2.6.23-rc3, 61, 256, 292, 11996, 22461, 8525797
v2.6.23-rc4, 108, 468, 622, 19767, 22473, 8522668
v2.6.23-rc5, 30, 96, 198, 9264, 22473, 8522674
v2.6.23-rc6, 18, 78, 140, 6455, 22484, 8521343
v2.6.23-rc7, 62, 223, 347, 48097, 22528, 8565804
v2.6.23-rc8, 12, 55, 69, 2310, 22528, 8565258
v2.6.23-rc9, 28, 85, 90, 1136, 22528, 8566358
v2.6.24, 1672, 8772, 9362, 860053, 23062, 8859231
v2.6.24-rc1, 0, 0, 2624, 85472, 23073, 8850087
v2.6.24-rc2, 159, 613, 883, 20257, 23081, 8854828
v2.6.24-rc3, 125, 525, 731, 21125, 23077, 8856601
v2.6.24-rc4, 154, 510, 693, 16331, 23085, 8859188
v2.6.24-rc5, 46, 196, 313, 15110, 23058, 8857064
v2.6.24-rc6, 103, 221, 345, 6377, 23059, 8857467
