Version, NC, NO, E_Module, E_Line
v2.6.26, 1739, 8851, 8518, 838155
v2.6.26-rc1, 0, 0, 2810, 106277
v2.6.26-rc2, 96, 350, 544, 15102
v2.6.26-rc3, 135, 357, 713, 30240
v2.6.26-rc4, 103, 405, 781, 16492
v2.6.26-rc5, 83, 213, 300, 8447
v2.6.26-rc6, 97, 256, 401, 5368
v2.6.26-rc7, 72, 240, 354, 17269
v2.6.26-rc8, 21, 60, 78, 1464
v2.6.26-rc9, 90, 216, 307, 10651
v2.6.27, 1724, 9785, 12282, 1262202
v2.6.27-rc1, 0, 0, 6186, 225755
v2.6.27-rc2, 127, 653, 2136, 61028
v2.6.27-rc3, 98, 423, 2426, 70823
v2.6.27-rc4, 125, 537, 1003, 42788
v2.6.27-rc5, 105, 287, 733, 36235
v2.6.27-rc6, 107, 296, 443, 11391
v2.6.27-rc7, 46, 134, 173, 3015
v2.6.27-rc8, 36, 122, 138, 1693
v2.6.27-rc9, 38, 98, 139, 2834
v2.6.28, 1584, 8228, 9503, 943666
v2.6.28-rc1, 0, 0, 2392, 72670
v2.6.28-rc2, 4, 18, 22, 310
v2.6.28-rc3, 136, 394, 1096, 21607
v2.6.28-rc4, 66, 200, 255, 6531
v2.6.28-rc5, 109, 313, 482, 22144
v2.6.28-rc6, 96, 143, 210, 4287
v2.6.28-rc7, 87, 190, 295, 8151
v2.6.28-rc8, 87, 200, 274, 7150
v2.6.28-rc9, 27, 83, 103, 2563
v2.6.29, 1978, 10619, 10112, 1350502
v2.6.29-rc1, 0, 0, 3413, 183067
v2.6.29-rc2, 117, 495, 902, 43781
v2.6.29-rc3, 114, 364, 1104, 31004
v2.6.29-rc4, 244, 508, 720, 18088
v2.6.29-rc5, 65, 168, 233, 26628
v2.6.29-rc6, 90, 237, 348, 7700
v2.6.29-rc7, 79, 253, 332, 13027
v2.6.29-rc8, 82, 158, 285, 5774
v2.6.30, 2067, 11245, 9911, 1402112
v2.6.30-rc1, 0, 0, 2896, 153263
v2.6.30-rc2, 93, 418, 883, 67002
