Version, NC, NO, E_Module, E_Line
v5.3-rc1, 0, 0, 2025, 35090
v5.3-rc2, 72, 328, 584, 8819
v5.3-rc3, 65, 267, 306, 4898
v5.3-rc4, 129, 422, 517, 7745
v5.3-rc5, 64, 134, 173, 2255
v5.3-rc6, 80, 240, 304, 4518
v5.3-rc7, 77, 291, 321, 4462
v5.3-rc8, 18, 64, 49, 1660
v5.4, 1622, 14246, 12481, 1047441
v5.4-rc1, 0, 0, 1899, 34796
v5.4-rc2, 53, 225, 293, 4425
v5.4-rc3, 86, 317, 396, 8089
v5.4-rc4, 112, 272, 358, 4973
v5.4-rc5, 93, 217, 246, 3649
v5.4-rc6, 91, 294, 429, 6147
v5.4-rc7, 98, 241, 294, 6548
v5.4-rc8, 51, 178, 195, 7479
v5.5, 1622, 13986, 11662, 802240
v5.5-rc1, 0, 0, 1764, 28317
v5.5-rc2, 66, 243, 423, 4873
v5.5-rc3, 160, 464, 571, 9520
v5.5-rc4, 14, 58, 62, 1393
v5.5-rc5, 48, 128, 197, 2299
v5.5-rc6, 59, 221, 244, 2441
v5.5-rc7, 87, 274, 291, 4549
v5.6-rc1, 905, 10772, 10668, 754652
v5.6-rc2, 79, 327, 381, 14498
v5.6-rc3, 88, 335, 412, 8532
v5.6-rc4, 55, 190, 218, 3889
