Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
tensorflow,Module_EC,DOCS,0.02,-0.02,348.68,3943252.78,1985.76,0.87,0.87,106,0,0.476
tensorflow,Module_UC,DOCS,0.41,0.39,28.9,8020.6,89.56,0.59,0.68,106,0,0.358
neutron,Line_CC,DOCS,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.714
neutron,Line_EC,DOCS,0.85,0.85,405.26,915658.75,956.9,0.88,0.88,203,0,0.459
neutron,Line_UC,DOCS,0.05,0.03,234.02,8123383.05,2850.15,0.94,0.94,203,0,0.603
neutron,Module_CC,DOCS,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.714
neutron,Module_EC,DOCS,0.84,0.84,15.4,2307.84,48.04,0.93,0.93,203,0,0.459
neutron,Module_UC,DOCS,0.8,0.8,2.74,181.69,13.48,0.95,0.95,203,0,0.603
vue,Line_CC,DOCS,0.88,0.88,13.12,4474.43,66.89,0.98,0.98,248,0,0.718
vue,Line_EC,DOCS,1.0,1.0,0.95,224.58,14.99,1.0,1.0,248,0,0.748
vue,Line_UC,DOCS,0.25,0.24,0.37,7.17,2.68,0.98,0.98,248,0,0.712
vue,Module_CC,DOCS,0.93,0.93,0.22,1.26,1.12,0.98,0.98,248,0,0.718
vue,Module_EC,DOCS,1.0,1.0,0.24,14.04,3.75,1.0,1.0,248,0,0.748
vue,Module_UC,DOCS,0.85,0.85,0.03,0.03,0.19,0.99,0.99,248,0,0.712
moby,Line_CC,DOCS,1.0,1.0,1.01,107.67,10.38,0.99,0.99,319,0,0.744
moby,Line_EC,DOCS,1.0,1.0,0.0,0.0,0.0,1.0,1.0,319,0,0.699
moby,Line_UC,DOCS,0.77,0.77,3361.79,170488795.78,13057.14,0.79,0.79,319,0,0.38
moby,Module_CC,DOCS,1.0,1.0,0.02,0.04,0.19,0.99,0.99,319,0,0.744
moby,Module_EC,DOCS,1.0,1.0,0.0,0.0,0.0,1.0,1.0,319,0,0.699
moby,Module_UC,DOCS,0.88,0.88,34.99,8640.08,92.95,0.82,0.82,319,0,0.38
angular,Line_CC,DOCS,0.51,0.51,7571.76,569074638.16,23855.29,0.34,0.45,411,0,0.174
angular,Line_EC,DOCS,0.78,0.78,875.62,11061126.39,3325.83,0.88,0.88,411,0,0.513
angular,Line_UC,DOCS,0.87,0.87,962.83,7596265.45,2756.13,0.82,0.82,411,0,0.302
angular,Module_CC,DOCS,0.6,0.6,130.59,194991.96,441.58,0.45,0.56,411,0,0.174
angular,Module_EC,DOCS,0.99,0.99,13.43,3426.74,58.54,0.96,0.96,411,0,0.513
angular,Module_UC,DOCS,0.89,0.89,30.2,10044.99,100.22,0.87,0.87,411,0,0.302
home-assistant,Line_CC,DOCS,0.32,0.32,32.91,140596.41,374.96,0.98,0.98,560,0,0.714
home-assistant,Line_EC,DOCS,0.45,0.45,223.87,5771786.56,2402.45,0.99,0.99,560,0,0.728
home-assistant,Line_UC,DOCS,0.55,0.55,24.17,28079.51,167.57,0.94,0.95,560,0,0.704
home-assistant,Module_CC,DOCS,0.49,0.49,2.45,1365.29,36.95,0.99,0.99,560,0,0.714
home-assistant,Module_EC,DOCS,0.09,0.08,21.01,61055.86,247.09,0.99,0.99,560,0,0.728
home-assistant,Module_UC,DOCS,0.12,0.11,3.47,1619.51,40.24,0.94,0.94,560,0,0.704
node,Line_CC,DOCS,0.82,0.82,1769.02,57965342.92,7613.5,0.85,0.85,596,0,0.46
node,Line_EC,DOCS,0.88,0.88,716.26,11027272.95,3320.73,0.95,0.95,596,0,0.568
node,Line_UC,DOCS,0.81,0.81,855.75,13916671.74,3730.51,0.84,0.84,596,0,0.266
node,Module_CC,DOCS,0.83,0.83,11.04,1599.59,39.99,0.94,0.94,596,0,0.46
node,Module_EC,DOCS,0.96,0.96,4.0,332.17,18.23,0.95,0.95,596,0,0.568
node,Module_UC,DOCS,0.94,0.94,11.65,1200.89,34.65,0.86,0.86,596,0,0.266
gitlabhq,Line_CC,DOCS,0.01,0.01,355.67,32110661.98,5666.63,0.89,0.89,1154,0,0.512
gitlabhq,Line_EC,DOCS,0.9,0.9,98.04,78293.91,279.81,0.9,0.9,1154,0,0.492
gitlabhq,Line_UC,DOCS,0.44,0.44,1360.6,87226991.49,9339.54,0.89,0.89,1154,0,0.416
gitlabhq,Module_CC,DOCS,0.58,0.58,7.23,1473.01,38.38,0.91,0.91,1154,0,0.512
gitlabhq,Module_EC,DOCS,0.94,0.94,3.91,94.71,9.73,0.9,0.9,1154,0,0.492
gitlabhq,Module_UC,DOCS,0.68,0.68,16.31,6692.73,81.81,0.91,0.91,1154,0,0.416
neutron,Line_CC,REFACTOR,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.751
neutron,Line_EC,REFACTOR,0.96,0.96,521.89,1547829.75,1244.12,0.88,0.88,203,0,0.441
neutron,Line_UC,REFACTOR,0.95,0.95,156.33,368893.04,607.37,0.93,0.93,203,0,0.552
neutron,Module_CC,REFACTOR,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.751
neutron,Module_EC,REFACTOR,0.87,0.87,15.5,1400.41,37.42,0.91,0.91,203,0,0.441
neutron,Module_UC,REFACTOR,0.89,0.89,2.81,84.18,9.17,0.92,0.92,203,0,0.552
tensorflow,Line_CC,REFACTOR,0.86,0.85,39.61,18228.81,135.01,0.96,0.96,106,0,0.667
tensorflow,Line_EC,REFACTOR,0.5,0.48,1734.71,44918679.32,6702.14,0.92,0.92,106,0,0.519
tensorflow,Line_UC,REFACTOR,0.78,0.77,3877.25,288140671.11,16974.71,0.87,0.87,106,0,0.479
tensorflow,Module_CC,REFACTOR,0.98,0.98,0.84,19.44,4.41,0.95,0.95,106,0,0.667
tensorflow,Module_EC,REFACTOR,0.5,0.48,34.23,19198.08,138.56,0.92,0.92,106,0,0.519
tensorflow,Module_UC,REFACTOR,0.7,0.69,46.24,39426.86,198.56,0.91,0.91,106,0,0.479
vue,Line_CC,REFACTOR,0.6,0.59,29.12,21316.87,146.0,0.94,0.94,248,0,0.624
vue,Line_EC,REFACTOR,1.0,1.0,0.0,0.0,0.0,1.0,1.0,248,0,0.751
vue,Line_UC,REFACTOR,0.98,0.98,92.0,303190.09,550.63,0.91,0.94,248,0,0.643
vue,Module_CC,REFACTOR,0.92,0.92,1.17,16.37,4.05,0.96,0.96,248,0,0.624
vue,Module_EC,REFACTOR,1.0,1.0,0.0,0.0,0.0,1.0,1.0,248,0,0.751
vue,Module_UC,REFACTOR,0.98,0.98,2.23,118.14,10.87,0.88,0.89,248,0,0.643
moby,Line_CC,REFACTOR,1.0,1.0,6.04,1938.08,44.02,0.98,0.98,319,0,0.737
moby,Line_EC,REFACTOR,1.0,1.0,0.0,0.0,0.0,1.0,1.0,319,0,0.697
moby,Line_UC,REFACTOR,0.9,0.9,337.11,1048240.13,1023.84,0.87,0.87,319,0,0.523
moby,Module_CC,REFACTOR,1.0,1.0,0.53,14.75,3.84,0.98,0.98,319,0,0.737
moby,Module_EC,REFACTOR,1.0,1.0,0.0,0.0,0.0,1.0,1.0,319,0,0.697
moby,Module_UC,REFACTOR,0.91,0.91,5.23,204.25,14.29,0.88,0.88,319,0,0.523
angular,Line_CC,REFACTOR,0.9,0.9,3349.84,73841734.03,8593.12,0.44,0.6,411,0,0.212
angular,Line_EC,REFACTOR,0.98,0.98,1470.14,75932954.7,8713.95,0.77,0.8,411,0,0.541
angular,Line_UC,REFACTOR,0.71,0.71,3415.83,116607637.05,10798.5,0.86,0.86,411,0,0.369
angular,Module_CC,REFACTOR,0.76,0.76,154.38,288870.84,537.47,0.44,0.56,411,0,0.212
angular,Module_EC,REFACTOR,0.88,0.88,38.17,34444.17,185.59,0.74,0.8,411,0,0.541
angular,Module_UC,REFACTOR,0.93,0.93,93.39,82795.05,287.74,0.81,0.81,411,0,0.369
home-assistant,Line_CC,REFACTOR,0.8,0.8,43.56,43976.27,209.71,0.97,0.97,560,0,0.692
home-assistant,Line_EC,REFACTOR,0.18,0.17,1093.66,114979883.79,10722.87,0.98,0.98,560,0,0.736
home-assistant,Line_UC,REFACTOR,1.0,1.0,250.91,24214212.27,4920.79,0.94,0.95,560,0,0.7
home-assistant,Module_CC,REFACTOR,0.8,0.8,0.72,11.16,3.34,0.98,0.98,560,0,0.692
home-assistant,Module_EC,REFACTOR,0.58,0.58,11.69,9404.92,96.98,0.98,0.98,560,0,0.736
home-assistant,Module_UC,REFACTOR,0.99,0.99,2.46,1347.22,36.7,0.94,0.95,560,0,0.7
node,Line_CC,REFACTOR,0.92,0.92,2729.32,73577260.76,8577.72,0.95,0.95,596,0,0.458
node,Line_EC,REFACTOR,0.98,0.98,1202.51,38744935.45,6224.54,0.95,0.95,596,0,0.562
node,Line_UC,REFACTOR,0.93,0.93,600.19,3168628.57,1780.06,0.89,0.89,596,0,0.38
node,Module_CC,REFACTOR,0.98,0.98,18.36,1957.86,44.25,0.94,0.94,596,0,0.458
node,Module_EC,REFACTOR,0.96,0.96,11.41,1169.62,34.2,0.95,0.95,596,0,0.562
node,Module_UC,REFACTOR,0.97,0.97,21.11,3448.24,58.72,0.9,0.9,596,0,0.38
tensorflow,Line_CC,TESTING,0.8,0.79,111.47,223831.06,473.11,0.62,0.68,106,0,0.413
tensorflow,Line_EC,TESTING,0.93,0.93,8114.5,669981365.13,25884.0,0.81,0.81,106,0,0.413
tensorflow,Line_UC,TESTING,0.87,0.86,5292.46,325495699.7,18041.5,0.72,0.72,106,0,0.285
tensorflow,Module_CC,TESTING,0.78,0.77,3.23,102.51,10.12,0.73,0.78,106,0,0.413
tensorflow,Module_EC,TESTING,0.79,0.78,87.39,46530.4,215.71,0.89,0.89,106,0,0.413
tensorflow,Module_UC,TESTING,0.69,0.68,107.32,165022.54,406.23,0.8,0.8,106,0,0.285
vue,Line_CC,TESTING,1.0,1.0,233.39,2074090.32,1440.17,0.93,0.93,248,0,0.585
vue,Line_EC,TESTING,0.86,0.86,0.89,81.08,9.0,1.0,1.0,248,0,0.733
vue,Line_UC,TESTING,0.3,0.29,1175.55,19031245.05,4362.48,0.75,0.79,248,0,0.535
vue,Module_CC,TESTING,0.95,0.95,8.57,1589.93,39.87,0.94,0.94,248,0,0.585
vue,Module_EC,TESTING,0.88,0.88,0.02,0.02,0.15,1.0,1.0,248,0,0.733
vue,Module_UC,TESTING,0.62,0.61,17.16,7767.0,88.13,0.79,0.82,248,0,0.535
moby,Line_CC,TESTING,0.86,0.86,153.74,760136.01,871.86,0.96,0.96,319,0,0.699
moby,Line_EC,TESTING,0.93,0.93,45.01,31134.89,176.45,0.95,0.95,319,0,0.683
moby,Line_UC,TESTING,0.64,0.64,1002.85,13843974.95,3720.75,0.8,0.8,319,0,0.311
moby,Module_CC,TESTING,0.83,0.83,2.32,196.98,14.04,0.97,0.97,319,0,0.699
moby,Module_EC,TESTING,0.8,0.8,1.35,33.16,5.76,0.95,0.95,319,0,0.683
moby,Module_UC,TESTING,0.86,0.86,21.32,3558.93,59.66,0.91,0.91,319,0,0.311
neutron,Line_CC,TESTING,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.718
neutron,Line_EC,TESTING,0.79,0.79,3306.97,109185993.52,10449.21,0.8,0.8,203,0,0.245
neutron,Line_UC,TESTING,0.75,0.74,404.09,2854973.09,1689.67,0.82,0.82,203,0,0.312
neutron,Module_CC,TESTING,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.718
neutron,Module_EC,TESTING,0.93,0.93,79.05,48213.4,219.58,0.9,0.9,203,0,0.245
neutron,Module_UC,TESTING,0.63,0.62,10.35,2211.57,47.03,0.9,0.9,203,0,0.312
gitlabhq,Line_CC,REFACTOR,0.76,0.76,95.44,248945.7,498.94,0.92,0.92,1154,0,0.591
gitlabhq,Line_EC,REFACTOR,0.71,0.71,233.28,1261035.53,1122.96,0.91,0.91,1154,0,0.57
gitlabhq,Line_UC,REFACTOR,0.58,0.58,563.62,9080428.91,3013.38,0.93,0.93,1154,0,0.521
gitlabhq,Module_CC,REFACTOR,0.52,0.52,3.0,213.72,14.62,0.9,0.9,1154,0,0.591
gitlabhq,Module_EC,REFACTOR,0.62,0.62,5.31,600.18,24.5,0.92,0.92,1154,0,0.57
gitlabhq,Module_UC,REFACTOR,0.59,0.59,12.6,7339.83,85.67,0.94,0.94,1154,0,0.521
angular,Line_CC,TESTING,0.82,0.82,7409.99,298356960.82,17273.01,0.4,0.49,411,0,0.241
angular,Line_EC,TESTING,0.79,0.79,1145.47,225534212.21,15017.8,0.83,0.87,411,0,0.585
angular,Line_UC,TESTING,0.85,0.85,2585.64,115925414.61,10766.87,0.61,0.66,411,0,0.381
angular,Module_CC,TESTING,0.76,0.76,48.86,19688.19,140.31,0.5,0.63,411,0,0.241
angular,Module_EC,TESTING,0.55,0.55,18.62,104690.07,323.56,0.88,0.89,411,0,0.585
angular,Module_UC,TESTING,0.96,0.96,32.13,12998.79,114.01,0.59,0.66,411,0,0.381
home-assistant,Line_CC,TESTING,0.32,0.32,104.31,486196.79,697.28,0.94,0.94,560,0,0.635
home-assistant,Line_EC,TESTING,0.55,0.55,6272.77,2121651425.55,46061.39,0.96,0.96,560,0,0.689
home-assistant,Line_UC,TESTING,0.88,0.88,183.99,1466084.6,1210.82,0.89,0.92,560,0,0.661
home-assistant,Module_CC,TESTING,0.07,0.06,1.46,414.84,20.37,0.97,0.97,560,0,0.635
home-assistant,Module_EC,TESTING,0.46,0.46,31.34,26777.58,163.64,0.97,0.97,560,0,0.689
home-assistant,Module_UC,TESTING,0.17,0.16,5.63,2395.59,48.94,0.9,0.93,560,0,0.661
node,Line_CC,TESTING,0.99,0.99,3739.74,69219912.84,8319.85,0.93,0.93,596,0,0.406
node,Line_EC,TESTING,0.98,0.98,741.86,5515190.97,2348.44,0.97,0.97,596,0,0.505
node,Line_UC,TESTING,0.82,0.82,5329.22,238874721.84,15455.57,0.76,0.76,596,0,0.183
node,Module_CC,TESTING,0.98,0.98,257.87,314927.4,561.18,0.93,0.93,596,0,0.406
node,Module_EC,TESTING,0.99,0.99,95.86,103739.34,322.09,0.92,0.92,596,0,0.505
node,Module_UC,TESTING,0.92,0.92,224.35,397997.36,630.87,0.82,0.82,596,0,0.183
tensorflow,Line_CC,FEATURE,0.23,0.2,58.6,157214.88,396.5,0.96,0.96,106,0,0.639
tensorflow,Line_EC,FEATURE,0.72,0.71,1018.37,7246946.75,2692.02,0.91,0.91,106,0,0.519
