Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
tensorflow,Line_CC,BUG,0.29,0.26,547.34,3879840.77,1969.73,0.39,0.49,106,0,0.243
tensorflow,Line_EC,BUG,0.15,0.12,6941.64,1228152471.21,35045.01,0.83,0.83,106,0,0.271
tensorflow,Line_UC,BUG,0.28,0.25,3196.13,189325157.38,13759.55,0.42,0.61,106,0,0.137
tensorflow,Module_CC,BUG,0.51,0.49,20.67,6463.91,80.4,0.51,0.66,106,0,0.243
tensorflow,Module_EC,BUG,0.69,0.68,172.03,232291.14,481.97,0.86,0.86,106,0,0.271
tensorflow,Module_UC,BUG,0.32,0.29,143.24,377375.37,614.31,0.54,0.66,106,0,0.137
vue,Line_CC,BUG,0.48,0.47,148.64,365060.65,604.2,0.9,0.9,248,0,0.394
vue,Line_EC,BUG,-0.01,-0.03,45.68,258716.9,508.64,0.99,0.99,248,0,0.745
vue,Line_UC,BUG,0.32,0.31,324.39,3024054.98,1738.98,0.53,0.65,248,0,0.371
vue,Module_CC,BUG,0.58,0.57,10.79,2459.98,49.6,0.94,0.94,248,0,0.394
vue,Module_EC,BUG,-0.01,-0.03,4.76,2807.26,52.98,0.99,0.99,248,0,0.745
vue,Module_UC,BUG,0.29,0.28,16.24,7327.64,85.6,0.6,0.73,248,0,0.371
neutron,Line_CC,BUG,1.0,1.0,1.28,83.25,9.12,0.98,0.98,203,0,0.729
neutron,Line_EC,BUG,0.54,0.53,17482.23,3498006484.2,59143.95,0.87,0.87,203,0,0.209
neutron,Line_UC,BUG,0.59,0.58,423.35,1998963.4,1413.85,0.85,0.85,203,0,0.228
neutron,Module_CC,BUG,1.0,1.0,0.14,0.97,0.98,0.98,0.98,203,0,0.729
neutron,Module_EC,BUG,0.95,0.95,61.18,12888.43,113.53,0.94,0.94,203,0,0.209
neutron,Module_UC,BUG,0.74,0.73,18.03,3057.45,55.29,0.86,0.86,203,0,0.228
moby,Line_CC,BUG,0.9,0.9,10.59,1484.21,38.53,0.97,0.97,319,0,0.68
moby,Line_EC,BUG,-0.01,-0.02,8.48,3453.61,58.77,0.97,0.97,319,0,0.678
moby,Line_UC,BUG,0.87,0.87,922.33,5079435.32,2253.76,0.8,0.8,319,0,0.207
moby,Module_CC,BUG,0.66,0.66,0.5,6.69,2.59,0.97,0.97,319,0,0.68
moby,Module_EC,BUG,-0.01,-0.02,0.53,12.8,3.58,0.97,0.97,319,0,0.678
moby,Module_UC,BUG,0.87,0.87,30.18,8876.92,94.22,0.89,0.89,319,0,0.207
angular,Line_CC,BUG,0.77,0.77,5097.11,145924715.55,12079.93,0.36,0.53,411,0,0.159
angular,Line_EC,BUG,0.21,0.2,2833.94,247737509.84,15739.68,0.67,0.72,411,0,0.446
angular,Line_UC,BUG,0.9,0.9,2517.28,75852141.34,8709.31,0.4,0.53,411,0,0.235
angular,Module_CC,BUG,0.63,0.63,207.51,402392.48,634.34,0.48,0.67,411,0,0.159
angular,Module_EC,BUG,0.18,0.17,103.95,569347.71,754.55,0.74,0.81,411,0,0.446
angular,Module_UC,BUG,0.95,0.95,98.17,183729.15,428.64,0.56,0.7,411,0,0.235
home-assistant,Line_CC,BUG,0.5,0.5,72.34,94123.46,306.8,0.87,0.87,560,0,0.367
home-assistant,Line_EC,BUG,0.38,0.38,2036.32,131164072.69,11452.69,0.96,0.96,560,0,0.63
home-assistant,Line_UC,BUG,0.05,0.04,209.76,8480286.51,2912.09,0.66,0.76,560,0,0.453
home-assistant,Module_CC,BUG,0.42,0.42,3.75,568.48,23.84,0.92,0.92,560,0,0.367
home-assistant,Module_EC,BUG,0.37,0.37,73.86,278877.76,528.09,0.97,0.97,560,0,0.63
home-assistant,Module_UC,BUG,0.52,0.52,5.09,1112.29,33.35,0.72,0.84,560,0,0.453
node,Line_CC,BUG,0.91,0.91,4571.33,127690195.38,11300.01,0.9,0.9,596,0,0.398
node,Line_EC,BUG,0.86,0.86,883.74,9540321.74,3088.74,0.95,0.95,596,0,0.513
node,Line_UC,BUG,0.88,0.88,1863.78,19599429.06,4427.12,0.38,0.59,596,0,0.105
node,Module_CC,BUG,0.99,0.99,105.95,53180.44,230.61,0.96,0.96,596,0,0.398
node,Module_EC,BUG,0.97,0.97,18.7,4436.22,66.6,0.96,0.96,596,0,0.513
node,Module_UC,BUG,0.94,0.94,91.19,43487.61,208.54,0.44,0.63,596,0,0.105
