Project,Model,Effort_Incurred,Effort_Saved,Net_Effort_Saved,ESP,Annualized_ESP
cli,Line,324540.0,62448.0,-262092.0,-0.808,-0.423
roslyn,Line,134617.0,1942041.0,1807424.0,13.426,1.434
orleans,Line,199629.0,31660.0,-167969.0,-0.841,-0.458
tensorflow,Line,3525048.0,971814.0,-2553234.0,-0.724,-0.349
neutron,Line,29973.0,4581346.0,4551373.0,151.849,4.347
vue,Line,3034585.0,46.0,-3034539.0,-1.0,-1.0
ansible,Line,2622361.0,108423366.0,105801005.0,40.346,2.458
moby,Line,54899.0,328.0,-54571.0,-0.994,-0.818
angular,Line,3129073.0,16310.0,-3112763.0,-0.995,-0.829
node,Line,33261975.0,9838317.0,-23423658.0,-0.704,-0.334
home-assistant,Line,72188.0,10815.0,-61373.0,-0.85,-0.469
angular.js,Line,886120.0,1557306.0,671186.0,0.757,0.207
nova,Line,330614.0,5147484.0,4816870.0,14.569,1.497
mesos,Line,1265130.0,679541.0,-585589.0,-0.463,-0.187
react,Line,152375.0,40420648.0,40268273.0,264.271,5.425
brew,Line,9018.0,8614.0,-404.0,-0.045,-0.015
lock,Line,6511.0,76030.0,69519.0,10.677,1.269
cinder,Line,19412.0,6576201.0,6556789.0,337.77,5.971
kubernetes,Line,83163.0,245254.0,162091.0,1.949,0.434
nixpkgs,Line,36340677.0,7011081.0,-29329596.0,-0.807,-0.422
elasticsearch,Line,53469135.0,2686091888.0,2632622753.0,49.236,2.69
gitlabhq,Line,24943.0,14316.0,-10627.0,-0.426,-0.169
cf-deployment,Line,5466.0,544.0,-4922.0,-0.9,-0.536
socket.io,Line,3482.0,0.0,-3482.0,-1.0,-1.0
d3,Line,67944.0,608.0,-67336.0,-0.991,-0.792
jekyll,Line,196184.0,11476.0,-184708.0,-0.942,-0.613
requests,Line,119402.0,23254.0,-96148.0,-0.805,-0.42
office-js,Line,67914009.0,7256.0,-67906753.0,-1.0,-1.0
webpack,Line,828036.0,12743.0,-815293.0,-0.985,-0.753
json-server,Line,80680.0,19381163.0,19300483.0,239.223,5.216
pm2,Line,16029.0,1661.0,-14368.0,-0.896,-0.53
lodash,Line,347356.5,347356.5,0.0,0.0,0.0
devise,Line,15247.0,2065.0,-13182.0,-0.865,-0.487
video.js,Line,301085.0,298495.0,-2590.0,-0.009,-0.003
jest,Line,151570.0,6167622.0,6016052.0,39.692,2.44
webtorrent,Line,76.0,874.0,798.0,10.5,1.257
superagent,Line,81554.0,2582.0,-78972.0,-0.968,-0.683
pandoc,Line,159928.0,2525.0,-157403.0,-0.984,-0.748
medium-editor,Line,80151.0,51748.0,-28403.0,-0.354,-0.136
npm,Line,51694649.0,52135951.0,441302.0,0.009,0.003
mongoose,Line,15655.0,40814.0,25159.0,1.607,0.376
swagger-ui,Line,5712.0,2194446.0,2188734.0,383.182,6.27
Odin,Line,7411.0,0.0,-7411.0,-1.0,-1.0
selenium,Line,300656.0,424499.0,123843.0,0.412,0.122
browser-sync,Line,1707657.0,0.0,-1707657.0,-1.0,-1.0
generator-jhipster,Line,134798.0,1792496.0,1657698.0,12.298,1.369
karma,Line,56057.0,76269.0,20212.0,0.361,0.108
stylus,Line,1028.0,0.0,-1028.0,-1.0,-1.0
jsdom,Line,336.0,376656.0,376320.0,1120.0,9.388
systemjs,Line,16786.0,23356.0,6570.0,0.391,0.116
nightwatch,Line,50347.0,4087.0,-46260.0,-0.919,-0.567
ng-file-upload,Line,19852.0,6.0,-19846.0,-1.0,-1.0
fpm,Line,21571.0,27795.0,6224.0,0.289,0.088
dat,Line,1554.0,6619693.0,6618139.0,4258.777,15.21
middleman,Line,6440.0,432.0,-6008.0,-0.933,-0.594
keystone,Line,148269.0,189065.0,40796.0,0.275,0.084
fluentd,Line,5750.0,7987.0,2237.0,0.389,0.116
vega,Line,264824.0,233113.0,-31711.0,-0.12,-0.042
core-js,Line,211589.0,1368.0,-210221.0,-0.994,-0.818
mathjs,Line,35422.0,49523.0,14101.0,0.398,0.118
AutoMapper,Line,1850328.0,206278.0,-1644050.0,-0.889,-0.519
pomelo,Line,13430.0,46200.0,32770.0,2.44,0.51
natural,Line,48918.0,34935.0,-13983.0,-0.286,-0.106
