Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
cli,Module_CC,BUG,1.0,1.0,4.77,204.97,14.32,0.81,0.83,109
cli,Module_CC,DOCS,1.0,1.0,0.56,8.65,2.94,0.93,0.93,109
cli,Module_CC,FEATURE,1.0,1.0,0.61,9.87,3.14,0.93,0.93,109
cli,Module_CC,OTHER,1.0,1.0,635.23,4098906.75,2024.58,0.75,0.77,109
cli,Module_CC,REFACTOR,1.0,1.0,11.29,1175.4,34.28,0.81,0.82,109
cli,Module_CC,RELEASE,1.0,1.0,0.31,6.29,2.51,0.93,0.95,109
cli,Module_CC,SUPPORT,1.0,1.0,3.59,103.59,10.18,0.85,0.87,109
cli,Module_CC,TESTING,1.0,1.0,48.72,114996.74,339.11,0.76,0.82,109
cli,Module_CC,UPGRADE,1.0,1.0,2.93,413.26,20.33,0.88,0.93,109
cli,Module_EC,BUG,1.0,1.0,6.01,505.92,22.49,0.83,0.85,109
cli,Module_EC,DOCS,1.0,1.0,1.32,38.09,6.17,0.95,0.95,109
cli,Module_EC,FEATURE,1.0,1.0,2.33,331.69,18.21,0.97,0.97,109
cli,Module_EC,OTHER,1.0,1.0,79.93,68858.44,262.41,0.77,0.8,109
cli,Module_EC,REFACTOR,1.0,1.0,4.11,192.35,13.87,0.89,0.91,109
cli,Module_EC,RELEASE,1.0,1.0,0.28,2.09,1.45,0.96,0.96,109
cli,Module_EC,SUPPORT,1.0,1.0,3.3,158.72,12.6,0.94,0.94,109
cli,Module_EC,TESTING,1.0,1.0,14.06,6962.34,83.44,0.84,0.88,109
cli,Module_EC,UPGRADE,1.0,1.0,12.06,15293.06,123.67,0.95,0.95,109
roslyn,Module_CC,BUG,1.0,1.0,86.07,70300.87,265.14,0.64,0.71,102
roslyn,Module_CC,DOCS,1.0,1.0,1.57,27.47,5.24,0.85,0.86,102
roslyn,Module_CC,FEATURE,1.0,1.0,38.35,33456.92,182.91,0.84,0.85,102
roslyn,Module_CC,OTHER,1.0,1.0,561.0,4104707.37,2026.01,0.67,0.76,102
roslyn,Module_CC,REFACTOR,1.0,1.0,16.44,2265.34,47.6,0.77,0.81,102
roslyn,Module_CC,RELEASE,1.0,1.0,2.73,74.43,8.63,0.9,0.93,102
roslyn,Module_CC,SUPPORT,1.0,1.0,35.57,10087.63,100.44,0.7,0.75,102
roslyn,Module_CC,TESTING,1.0,1.0,82.88,53556.18,231.42,0.68,0.77,102
roslyn,Module_CC,UPGRADE,1.0,1.0,15.2,4788.73,69.2,0.81,0.83,102
roslyn,Module_EC,BUG,1.0,1.0,511.14,4272845.33,2067.09,0.74,0.79,102
roslyn,Module_EC,DOCS,1.0,1.0,16.81,8193.64,90.52,0.95,0.95,102
roslyn,Module_EC,FEATURE,1.0,1.0,518.21,4476233.11,2115.71,0.89,0.89,102
roslyn,Module_EC,OTHER,1.0,1.0,6292.81,736251627.01,27133.96,0.65,0.71,102
roslyn,Module_EC,REFACTOR,1.0,1.0,729.53,31209940.9,5586.59,0.91,0.91,102
roslyn,Module_EC,RELEASE,1.0,1.0,8.1,1296.84,36.01,0.97,0.97,102
roslyn,Module_EC,SUPPORT,1.0,1.0,563.8,5064015.16,2250.34,0.89,0.89,102
roslyn,Module_EC,TESTING,1.0,1.0,762.39,9219973.43,3036.44,0.81,0.83,102
roslyn,Module_EC,UPGRADE,1.0,1.0,39.91,30612.32,174.96,0.94,0.94,102
orleans,Module_CC,BUG,1.0,1.0,18.86,2489.44,49.89,0.61,0.71,114
orleans,Module_CC,DOCS,1.0,1.0,1.39,23.2,4.82,0.9,0.9,114
orleans,Module_CC,FEATURE,1.0,1.0,4.82,740.04,27.2,0.96,0.96,114
orleans,Module_CC,OTHER,1.0,1.0,247.71,830727.64,911.44,0.5,0.59,114
orleans,Module_CC,REFACTOR,1.0,1.0,2.56,159.21,12.62,0.95,0.95,114
orleans,Module_CC,RELEASE,1.0,1.0,0.11,0.5,0.71,0.95,0.96,114
orleans,Module_CC,SUPPORT,1.0,1.0,9.46,865.59,29.42,0.75,0.81,114
orleans,Module_CC,TESTING,1.0,1.0,48.82,23165.43,152.2,0.72,0.76,114
orleans,Module_CC,UPGRADE,1.0,1.0,7.29,1053.76,32.46,0.89,0.89,114
orleans,Module_EC,BUG,1.0,1.0,8.43,840.15,28.99,0.89,0.89,114
orleans,Module_EC,DOCS,1.0,1.0,0.07,0.28,0.53,0.98,0.98,114
orleans,Module_EC,FEATURE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,114
orleans,Module_EC,OTHER,1.0,1.0,16.41,6101.52,78.11,0.9,0.9,114
orleans,Module_EC,REFACTOR,1.0,1.0,0.0,0.0,0.0,1.0,1.0,114
orleans,Module_EC,RELEASE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,114
orleans,Module_EC,SUPPORT,1.0,1.0,0.65,24.02,4.9,0.99,0.99,114
orleans,Module_EC,TESTING,1.0,1.0,9.34,1572.24,39.65,0.94,0.94,114
orleans,Module_EC,UPGRADE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,114
tensorflow,Module_CC,BUG,1.0,1.0,17.67,3077.93,55.48,0.53,0.63,106
tensorflow,Module_CC,DOCS,1.0,1.0,4.4,110.85,10.53,0.71,0.79,106
tensorflow,Module_CC,FEATURE,1.0,1.0,0.43,2.57,1.6,0.87,0.89,106
tensorflow,Module_CC,OTHER,1.0,1.0,102.68,94081.25,306.73,0.43,0.58,106
tensorflow,Module_CC,REFACTOR,1.0,1.0,0.93,27.2,5.22,0.93,0.93,106
tensorflow,Module_CC,RELEASE,1.0,1.0,1.26,20.85,4.57,0.87,0.87,106
tensorflow,Module_CC,SUPPORT,1.0,1.0,4.43,132.98,11.53,0.77,0.85,106
tensorflow,Module_CC,TESTING,1.0,1.0,2.38,73.77,8.59,0.78,0.87,106
tensorflow,Module_CC,UPGRADE,1.0,1.0,1.46,28.59,5.35,0.79,0.87,106
tensorflow,Module_EC,BUG,1.0,1.0,210.71,214991.5,463.67,0.68,0.7,106
tensorflow,Module_EC,DOCS,1.0,1.0,220.24,1864458.93,1365.45,0.75,0.79,106
tensorflow,Module_EC,FEATURE,1.0,1.0,8.96,668.87,25.86,0.77,0.85,106
tensorflow,Module_EC,OTHER,1.0,1.0,6811.0,333164664.7,18252.8,0.56,0.57,106
tensorflow,Module_EC,REFACTOR,1.0,1.0,32.75,19549.22,139.82,0.76,0.8,106
tensorflow,Module_EC,RELEASE,1.0,1.0,29.64,8793.53,93.77,0.73,0.79,106
tensorflow,Module_EC,SUPPORT,1.0,1.0,49.07,15362.99,123.95,0.79,0.9,106
tensorflow,Module_EC,TESTING,1.0,1.0,114.81,90061.06,300.1,0.69,0.75,106
tensorflow,Module_EC,UPGRADE,1.0,1.0,23.22,13081.93,114.38,0.79,0.85,106
neutron,Module_CC,BUG,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203
neutron,Module_CC,DOCS,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203
neutron,Module_CC,FEATURE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203
neutron,Module_CC,OTHER,1.0,1.0,3.03,347.99,18.65,0.94,0.94,203
neutron,Module_CC,REFACTOR,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203
neutron,Module_CC,RELEASE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203
neutron,Module_CC,SUPPORT,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203
neutron,Module_CC,TESTING,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203
neutron,Module_CC,UPGRADE,1.0,1.0,0.01,0.01,0.1,0.99,0.99,203
neutron,Module_EC,BUG,1.0,1.0,60.9,14119.76,118.83,0.68,0.83,203
neutron,Module_EC,DOCS,1.0,1.0,12.39,2200.74,46.91,0.77,0.82,203
neutron,Module_EC,FEATURE,1.0,1.0,2.31,67.92,8.24,0.88,0.9,203
neutron,Module_EC,OTHER,1.0,1.0,537.9,1443708.27,1201.54,0.65,0.8,203
neutron,Module_EC,REFACTOR,1.0,1.0,18.02,1846.18,42.97,0.75,0.8,203
neutron,Module_EC,RELEASE,1.0,1.0,4.66,195.62,13.99,0.77,0.84,203
neutron,Module_EC,SUPPORT,1.0,1.0,30.02,5587.25,74.75,0.69,0.83,203
neutron,Module_EC,TESTING,1.0,1.0,70.65,40125.96,200.31,0.61,0.79,203
neutron,Module_EC,UPGRADE,1.0,1.0,9.79,766.77,27.69,0.71,0.77,203
vue,Module_CC,BUG,1.0,1.0,8.91,1608.44,40.11,0.68,0.82,248
vue,Module_CC,DOCS,1.0,1.0,0.04,0.14,0.38,0.99,0.99,248
vue,Module_CC,FEATURE,1.0,1.0,7.45,528.58,22.99,0.94,0.95,248
vue,Module_CC,OTHER,1.0,1.0,18.31,5564.88,74.6,0.65,0.78,248
vue,Module_CC,REFACTOR,1.0,1.0,1.12,12.14,3.48,0.86,0.89,248
vue,Module_CC,RELEASE,1.0,1.0,0.71,7.71,2.78,0.84,0.85,248
vue,Module_CC,SUPPORT,1.0,1.0,1.03,23.18,4.81,0.88,0.91,248
