Project,Model,Effort_Incurred,Effort_Saved,Net_Effort_Saved,ESP,Annualized_ESP
cli,Module,24305.0,2078.0,-22227.0,-0.915,-0.56
roslyn,Module,4997.0,162971.0,157974.0,31.614,2.195
orleans,Module,6681.0,92.0,-6589.0,-0.986,-0.759
tensorflow,Module,490.0,16391.0,15901.0,32.451,2.222
neutron,Module,4677.0,130967.0,126290.0,27.002,2.037
vue,Module,29386.0,4.0,-29382.0,-1.0,-1.0
ansible,Module,87663.0,3222717.0,3135054.0,35.763,2.325
moby,Module,943.0,164.0,-779.0,-0.826,-0.442
angular,Module,54463.0,1590.0,-52873.0,-0.971,-0.693
node,Module,431319.0,125788.0,-305531.0,-0.708,-0.337
home-assistant,Module,621.0,105.0,-516.0,-0.831,-0.447
angular.js,Module,10926.0,26136.0,15210.0,1.392,0.337
nova,Module,7684.0,190628.0,182944.0,23.808,1.917
mesos,Module,24415.0,18402.0,-6013.0,-0.246,-0.09
react,Module,4603.0,600754.0,596151.0,129.514,4.072
brew,Module,1521.0,1636.0,115.0,0.076,0.025
lock,Module,432.0,623.0,191.0,0.442,0.13
cinder,Module,0.0,87316.0,87316.0,inf,inf
kubernetes,Module,24671.0,12933.0,-11738.0,-0.476,-0.194
nixpkgs,Module,888321.0,362848.0,-525473.0,-0.592,-0.258
elasticsearch,Module,1495546.0,60924024.0,59428478.0,39.737,2.441
cf-deployment,Module,199.0,497.0,298.0,1.497,0.357
socket.io,Module,224.0,0.0,-224.0,-1.0,-1.0
d3,Module,665.0,38.0,-627.0,-0.943,-0.615
jekyll,Module,11858.0,2293.0,-9565.0,-0.807,-0.422
requests,Module,923.0,6922.0,5999.0,6.499,0.957
office-js,Module,29419.0,184.0,-29235.0,-0.994,-0.818
gitlabhq,Module,1540.0,2286.0,746.0,0.484,0.141
webpack,Module,11466.0,218.0,-11248.0,-0.981,-0.733
json-server,Module,687.0,1277.0,590.0,0.859,0.23
pm2,Module,1019.0,132.0,-887.0,-0.87,-0.493
lodash,Module,5252.0,5252.0,0.0,0.0,0.0
devise,Module,1410.0,282.0,-1128.0,-0.8,-0.415
jest,Module,21101.0,92323.0,71222.0,3.375,0.636
video.js,Module,4266.0,11815.0,7549.0,1.77,0.404
webtorrent,Module,38.0,266.0,228.0,6.0,0.913
superagent,Module,354.0,244.0,-110.0,-0.311,-0.117
pandoc,Module,4465.0,783.0,-3682.0,-0.825,-0.441
medium-editor,Module,6729.0,378.0,-6351.0,-0.944,-0.617
Odin,Module,159.0,0.0,-159.0,-1.0,-1.0
swagger-ui,Module,457.0,16874.0,16417.0,35.923,2.33
npm,Module,760697.0,768911.0,8214.0,0.011,0.004
mongoose,Module,385.0,0.0,-385.0,-1.0,-1.0
selenium,Module,10467.0,10914.0,447.0,0.043,0.014
browser-sync,Module,7936.0,40.0,-7896.0,-0.995,-0.829
generator-jhipster,Module,3795.0,70336.0,66541.0,17.534,1.646
karma,Module,768.0,2028.0,1260.0,1.641,0.382
stylus,Module,44.0,0.0,-44.0,-1.0,-1.0
jsdom,Module,0.0,14868.0,14868.0,inf,inf
systemjs,Module,998.0,1550.0,552.0,0.553,0.158
nightwatch,Module,2537.0,0.0,-2537.0,-1.0,-1.0
ng-file-upload,Module,910.0,2.0,-908.0,-0.998,-0.874
fpm,Module,1213.0,10975.0,9762.0,8.048,1.084
dat,Module,380.0,58734.0,58354.0,153.563,4.367
fluentd,Module,288.0,492.0,204.0,0.708,0.195
middleman,Module,468.0,86.0,-382.0,-0.816,-0.431
core-js,Module,6976.0,108.0,-6868.0,-0.985,-0.753
vega,Module,1114.0,9858.0,8744.0,7.849,1.068
mathjs,Module,1185.0,99.0,-1086.0,-0.916,-0.562
keystone,Module,2943.0,1976.0,-967.0,-0.329,-0.125
AutoMapper,Module,26312.0,26043.0,-269.0,-0.01,-0.003
pomelo,Module,1271.0,57.0,-1214.0,-0.955,-0.644
natural,Module,366.0,167.0,-199.0,-0.544,-0.23
