Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
cli,Line,BUG,0.65,0.64,98.88,75759.54,275.24,0.76,0.81,109,0,0.725
cli,Line,BUG,-0.08,-0.11,145.46,357453.91,597.87,0.81,0.81,109,0,0.798
cli,Line,BUG,-0.02,-0.05,2123.58,190873936.18,13815.71,0.4,0.52,109,0,0.239
cli,Module,BUG,0.59,0.58,5.47,280.26,16.74,0.82,0.83,109,0,0.725
cli,Module,BUG,-0.04,-0.07,7.23,749.81,27.38,0.82,0.83,109,0,0.798
cli,Module,BUG,0.42,0.4,13.96,1083.92,32.92,0.42,0.61,109,0,0.239
tensorflow,Line,BUG,0.29,0.27,462.67,3222132.72,1795.03,0.42,0.55,106,0,0.321
tensorflow,Line,BUG,0.05,0.02,8245.88,1327032983.19,36428.46,0.57,0.62,106,0,0.358
tensorflow,Line,BUG,0.78,0.77,2464.21,108169793.37,10400.47,0.48,0.61,106,0,0.179
tensorflow,Module,BUG,0.95,0.95,13.28,2380.75,48.79,0.58,0.75,106,0,0.321
tensorflow,Module,BUG,0.27,0.25,246.46,396569.21,629.74,0.57,0.63,106,0,0.358
tensorflow,Module,BUG,0.77,0.76,111.94,214551.49,463.2,0.58,0.74,106,0,0.179
neutron,Line,BUG,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.97
neutron,Line,BUG,-0.14,-0.16,22240.77,4707923071.27,68614.31,0.48,0.68,203,0,0.278
neutron,Line,BUG,0.45,0.44,417.9,1837911.38,1355.7,0.45,0.57,203,0,0.302
neutron,Module,BUG,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.97
neutron,Module,BUG,0.94,0.94,55.35,9488.5,97.41,0.64,0.89,203,0,0.278
neutron,Module,BUG,0.68,0.68,16.81,2221.27,47.13,0.53,0.66,203,0,0.302
roslyn,Line,BUG,0.51,0.5,3739.52,218683779.44,14787.96,0.63,0.72,102,0,0.539
