Project,Model,Effort_Incurred,Effort_Saved,Net_Effort_Saved,ESP,Annualized_ESP
tensorflow,Module,1269.58,5629.950000000001,4360.37,3.434,0.643
neutron,Module,410.0,19715.730000000003,19305.73,47.087,2.636
vue,Module,7361.12,33904.0,26542.88,3.606,0.664
moby,Module,2054.51,0.0,-2054.51,-1.0,-1.0
angular,Module,3696.32,5317.76,1621.44,0.439,0.129
node,Module,311427.02,21728.59,-289698.43,-0.93,-0.588
home-assistant,Module,5199.82,199893.75,194693.93,37.442,2.375
gitlabhq,Module,1317.0,2850.94,1533.94,1.165,0.294
orleans,Module,6229.129999999999,184.0,-6045.13,-0.97,-0.689
roslyn,Module,3445.0400000000004,331.7,-3113.34,-0.904,-0.542
cli,Module,4756.119999999999,5690.59,934.47,0.196,0.061
ansible,Module,59118.33,1352717.1400000001,1293598.81,21.882,1.839
nova,Module,2498.84,40990.85999999999,38492.02,15.404,1.541
angular.js,Module,7539.49,25983.170000000002,18443.68,2.446,0.51
lock,Module,906.0,33516.0,32610.0,35.993,2.332
mesos,Module,3430.590000000001,4704.84,1274.25,0.371,0.111
react,Module,1401.2800000000002,42302.009999999995,40900.73,29.188,2.114
brew,Module,773.82,488.0,-285.82,-0.369,-0.142
kubernetes,Module,24671.73999999999,5725.6399999999985,-18946.1,-0.768,-0.386
cinder,Module,828.0,24059.97,23231.97,28.058,2.074
nixpkgs,Module,32729.379999999997,15067.88,-17661.5,-0.54,-0.228
elasticsearch,Module,506110.82,19187856.009999998,18681745.19,36.912,2.359
cf-deployment,Module,1189.97,3697.19,2507.22,2.107,0.459
socket.io,Module,949.79,26307.0,25357.21,26.698,2.026
d3,Module,1443.32,171.0,-1272.32,-0.882,-0.51
linux,Module,734.0,991.64,257.64,0.351,0.105
office-js,Module,17253.73000000001,560.0,-16693.73,-0.968,-0.683
webpack,Module,11224.0,836.0,-10388.0,-0.926,-0.58
jekyll,Module,3194.0,16670.0,13476.0,4.219,0.735
Odin,Module,4940.0,0.0,-4940.0,-1.0,-1.0
requests,Module,111.0,186.0,75.0,0.676,0.188
json-server,Module,518.0,15694.0,15176.0,29.297,2.117
pm2,Module,1162.8799999999999,88.0,-1074.88,-0.924,-0.576
lodash,Module,2695.64,2694.3299999999995,-1.31,-0.0,0.0
devise,Module,1059.58,685.0,-374.58,-0.354,-0.136
video.js,Module,1373.8000000000002,343852.0,342478.2,249.293,5.302
jest,Module,5731.24,43940.44,38209.2,6.667,0.972
webtorrent,Module,323.0,209.0,-114.0,-0.353,-0.135
superagent,Module,426.69,680.0,253.31,0.594,0.168
npm,Module,7332.09,14935.089999999998,7603.0,1.037,0.268
pandoc,Module,1354.15,306.95,-1047.2,-0.773,-0.39
medium-editor,Module,1089.6799999999998,451.0,-638.68,-0.586,-0.255
mongoose,Module,2081.44,3805.5,1724.06,0.828,0.223
swagger-ui,Module,1240.0,22080.589999999997,20840.59,16.807,1.611
selenium,Module,5600.440000000001,7841.120000000001,2240.68,0.4,0.119
browser-sync,Module,2507.88,180.0,-2327.88,-0.928,-0.584
generator-jhipster,Module,1857.94,3792.0,1934.06,1.041,0.268
stylus,Module,697.6800000000001,285.0,-412.68,-0.592,-0.258
karma,Module,1032.0,8245.26,7213.26,6.99,0.999
keystone,Module,63738.90000000046,882629.4599999913,818890.56,12.848,1.401
jsdom,Module,3914.8199999999997,19824.0,15909.18,4.064,0.717
systemjs,Module,1405.8,3252.97,1847.17,1.314,0.323
nightwatch,Module,2604.84,610.0,-1994.84,-0.766,-0.384
dat,Module,559.5,133920.21,133360.71,238.357,5.209
fpm,Module,719.31,243.5,-475.81,-0.661,-0.303
ng-file-upload,Module,904.5,0.0,-904.5,-1.0,-1.0
middleman,Module,329.20000000000005,653.0,323.8,0.984,0.257
fluentd,Module,622.0,552.0,-70.0,-0.113,-0.039
vega,Module,4251.08,4041.3199999999997,-209.76,-0.049,-0.017
core-js,Module,11256.21,440.0,-10816.21,-0.961,-0.661
mathjs,Module,3322.7799999999997,43.0,-3279.78,-0.987,-0.765
pomelo,Module,1593.34,75.0,-1518.34,-0.953,-0.639
AutoMapper,Module,3674.26,5969.5,2295.24,0.625,0.176
natural,Module,311.91,296.0,-15.91,-0.051,-0.017
