Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
roslyn,Line,BUG,0.98,0.98,22349.61,2665667239.01,51630.1,0.56,0.68,102,0,0.352
roslyn,Module,BUG,0.97,0.97,580.64,3061377.26,1749.68,0.6,0.69,102,0,0.352
cli,Line,BUG,0.81,0.8,5320.95,276289149.75,16621.95,0.17,0.29,109,0,0.401
cli,Module,BUG,0.89,0.88,26.46,2165.92,46.54,0.29,0.5,109,0,0.401
orleans,Line,BUG,0.95,0.95,862.43,4663625.47,2159.54,0.36,0.54,114,0,0.353
orleans,Module,BUG,0.96,0.96,65.41,26442.16,162.61,0.43,0.59,114,0,0.353
tensorflow,Line,BUG,0.87,0.86,17356.25,2454281394.26,49540.7,0.18,0.36,106,0,0.204
tensorflow,Module,BUG,0.96,0.96,313.04,471174.18,686.42,0.29,0.43,106,0,0.204
neutron,Line,BUG,0.86,0.86,24426.21,3703459894.07,60856.06,0.36,0.51,203,0,0.352
neutron,Module,BUG,0.99,0.99,72.17,14826.02,121.76,0.51,0.76,203,0,0.352
vue,Line,BUG,0.99,0.99,208.92,363811.97,603.17,0.45,0.64,248,0,0.452
vue,Module,BUG,1.0,1.0,14.64,2836.3,53.26,0.59,0.78,248,0,0.452
moby,Line,BUG,0.97,0.97,1107.77,6073604.69,2464.47,0.41,0.54,319,0,0.476
moby,Module,BUG,0.98,0.98,48.07,16174.08,127.18,0.47,0.66,319,0,0.476
ansible,Line,BUG,1.0,1.0,26670.03,5717463493.96,75613.91,0.45,0.53,303,0,0.219
ansible,Module,BUG,0.99,0.99,1706.64,25848513.37,5084.14,0.57,0.7,303,0,0.219
home-assistant,Line,BUG,0.9,0.9,2667.11,147377690.76,12139.92,0.35,0.48,560,0,0.441
home-assistant,Module,BUG,0.88,0.88,96.64,301467.55,549.06,0.44,0.66,560,0,0.441
angular,Line,BUG,0.97,0.97,8702.72,301611473.34,17366.97,0.2,0.42,411,0,0.253
angular,Module,BUG,0.96,0.96,437.15,820893.4,906.03,0.27,0.49,411,0,0.253
node,Line,BUG,0.99,0.99,5587.07,168084391.2,12964.74,0.34,0.53,596,0,0.307
node,Module,BUG,1.0,1.0,120.5,54531.71,233.52,0.52,0.76,596,0,0.307
roslyn,Line,DOCS,0.9,0.89,1529.57,27183301.37,5213.76,0.65,0.71,102,0,0.515
roslyn,Module,DOCS,0.92,0.92,27.17,6670.36,81.67,0.64,0.71,102,0,0.515
cli,Line,DOCS,0.92,0.92,35.83,9125.34,95.53,0.77,0.8,109,0,0.615
cli,Module,DOCS,0.96,0.96,2.15,49.74,7.05,0.79,0.83,109,0,0.615
orleans,Line,DOCS,0.95,0.95,25.8,5414.74,73.58,0.82,0.82,114,0,0.615
