Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
vue,Line,BUG,1.0,1.0,236.72,419609.45,647.77,0.21,0.35,248,0,0.452
vue,Module,BUG,1.0,1.0,15.99,4359.51,66.03,0.36,0.54,248,0,0.452
tensorflow,Line,BUG,1.0,1.0,20924.97,3578185681.51,59817.94,0.14,0.33,106,0,0.204
tensorflow,Module,BUG,1.0,1.0,322.01,410268.29,640.52,0.24,0.42,106,0,0.204
neutron,Line,BUG,1.0,1.0,22583.27,5063714102.16,71159.78,0.26,0.44,203,0,0.352
neutron,Module,BUG,1.0,1.0,82.41,20416.67,142.89,0.39,0.59,203,0,0.352
orleans,Line,BUG,1.0,1.0,921.22,6002815.38,2450.06,0.24,0.35,114,0,0.353
orleans,Module,BUG,1.0,1.0,75.32,33542.37,183.15,0.32,0.42,114,0,0.353
moby,Line,BUG,1.0,1.0,1005.49,5695457.87,2386.52,0.14,0.22,319,0,0.476
moby,Module,BUG,1.0,1.0,46.82,13553.05,116.42,0.2,0.38,319,0,0.476
roslyn,Line,BUG,1.0,1.0,24425.05,2842534372.35,53315.42,0.13,0.22,102,0,0.352
roslyn,Module,BUG,1.0,1.0,661.07,4476581.48,2115.79,0.28,0.35,102,0,0.352
ansible,Line,BUG,1.0,1.0,19980.64,4951533680.96,70367.13,0.42,0.55,303,0,0.219
ansible,Module,BUG,1.0,1.0,2125.81,54717242.51,7397.11,0.44,0.64,303,0,0.219
angular,Line,BUG,1.0,1.0,11468.1,661395977.83,25717.62,0.24,0.42,411,0,0.253
angular,Module,BUG,1.0,1.0,491.1,1303579.04,1141.74,0.3,0.55,411,0,0.253
node,Line,BUG,1.0,1.0,7213.43,324946007.54,18026.26,0.26,0.41,596,0,0.307
node,Module,BUG,1.0,1.0,138.05,73400.34,270.92,0.47,0.69,596,0,0.307
cli,Line,BUG,1.0,1.0,5307.87,484817613.78,22018.57,0.23,0.35,109,0,0.401
cli,Module,BUG,1.0,1.0,32.94,3519.16,59.32,0.22,0.4,109,0,0.401
home-assistant,Line,BUG,1.0,1.0,3757.67,312563697.2,17679.47,0.12,0.25,560,0,0.441
home-assistant,Module,BUG,1.0,1.0,95.73,401608.38,633.73,0.28,0.43,560,0,0.441
gitlabhq,Line,BUG,1.0,1.0,5864.95,549277101.92,23436.66,0.19,0.36,1154,0,0.3
gitlabhq,Module,BUG,1.0,1.0,73.51,155165.19,393.91,0.35,0.54,1154,0,0.3
tensorflow,Line,DOCS,1.0,1.0,16281.13,3104196831.74,55715.32,0.11,0.17,106,0,0.397
tensorflow,Module,DOCS,1.0,1.0,269.46,2094967.37,1447.4,0.22,0.33,106,0,0.397
vue,Line,DOCS,1.0,1.0,3.87,386.72,19.67,0.95,0.96,248,0,0.659
vue,Module,DOCS,1.0,1.0,0.33,11.83,3.44,0.96,0.97,248,0,0.659
orleans,Line,DOCS,1.0,1.0,29.81,7637.91,87.4,0.82,0.84,114,0,0.615
orleans,Module,DOCS,1.0,1.0,1.5,24.99,5.0,0.83,0.84,114,0,0.615
roslyn,Line,DOCS,1.0,1.0,1295.71,30202016.47,5495.64,0.69,0.75,102,0,0.515
roslyn,Module,DOCS,1.0,1.0,27.23,10283.74,101.41,0.68,0.73,102,0,0.515
neutron,Line,DOCS,1.0,1.0,885.31,16415338.89,4051.58,0.61,0.67,203,0,0.539
neutron,Module,DOCS,1.0,1.0,15.34,2241.84,47.35,0.69,0.77,203,0,0.539
moby,Line,DOCS,1.0,1.0,5439.2,300786042.27,17343.18,0.39,0.42,319,0,0.555
moby,Module,DOCS,1.0,1.0,41.13,11889.53,109.04,0.41,0.46,319,0,0.555
cli,Line,DOCS,1.0,1.0,49.06,17105.39,130.79,0.76,0.8,109,0,0.615
cli,Module,DOCS,1.0,1.0,2.28,47.91,6.92,0.83,0.83,109,0,0.615
ansible,Line,DOCS,1.0,1.0,43713.19,55844825715.24,236315.1,0.31,0.37,303,0,0.362
ansible,Module,DOCS,1.0,1.0,1662.01,70618876.25,8403.5,0.31,0.39,303,0,0.362
home-assistant,Line,DOCS,1.0,1.0,282.25,7949175.3,2819.43,0.89,0.9,560,0,0.65
home-assistant,Module,DOCS,1.0,1.0,27.38,75355.08,274.51,0.9,0.91,560,0,0.65
angular,Line,DOCS,1.0,1.0,9362.5,721887535.64,26867.96,0.18,0.35,411,0,0.299
angular,Module,DOCS,1.0,1.0,191.66,276278.41,525.62,0.24,0.45,411,0,0.299
node,Line,DOCS,1.0,1.0,4273.18,149884994.54,12242.75,0.22,0.26,596,0,0.391
node,Module,DOCS,1.0,1.0,26.87,4013.64,63.35,0.3,0.44,596,0,0.391
gitlabhq,Line,DOCS,1.0,1.0,1643.64,120415751.26,10973.41,0.15,0.25,1154,0,0.431
gitlabhq,Module,DOCS,1.0,1.0,31.13,17479.85,132.21,0.17,0.3,1154,0,0.431
tensorflow,Line,REFACTOR,1.0,1.0,2306.94,73621878.96,8580.32,0.29,0.35,106,0,0.502
tensorflow,Module,REFACTOR,1.0,1.0,86.84,78972.8,281.02,0.63,0.69,106,0,0.502
vue,Line,REFACTOR,1.0,1.0,87.72,70084.36,264.73,0.79,0.81,248,0,0.61
vue,Module,REFACTOR,1.0,1.0,2.36,39.72,6.3,0.8,0.83,248,0,0.61
orleans,Line,REFACTOR,1.0,1.0,355.13,1314829.18,1146.66,0.78,0.82,114,0,0.614
orleans,Module,REFACTOR,1.0,1.0,5.88,208.32,14.43,0.82,0.87,114,0,0.614
roslyn,Line,REFACTOR,1.0,1.0,20181.08,6843424818.67,82725.0,0.67,0.73,102,0,0.484
roslyn,Module,REFACTOR,1.0,1.0,681.61,29197866.1,5403.5,0.67,0.72,102,0,0.484
neutron,Line,REFACTOR,1.0,1.0,674.6,2419653.45,1555.52,0.71,0.78,203,0,0.53
neutron,Module,REFACTOR,1.0,1.0,13.84,995.77,31.56,0.72,0.8,203,0,0.53
cli,Line,REFACTOR,1.0,1.0,4988.16,479824661.42,21904.9,0.11,0.17,109,0,0.511
cli,Module,REFACTOR,1.0,1.0,57.24,32487.44,180.24,0.13,0.24,109,0,0.511
moby,Line,REFACTOR,1.0,1.0,364.96,1753225.77,1324.09,0.76,0.81,319,0,0.596
moby,Module,REFACTOR,1.0,1.0,6.76,395.63,19.89,0.76,0.8,319,0,0.596
