Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
angular,Line,BUG,0.52,0.51,8133.74,413283321.52,20329.37,0.27,0.51,411,0,0.253
angular,Module,BUG,0.54,0.53,351.76,855895.66,925.15,0.37,0.61,411,0,0.253
home-assistant,Line,BUG,0.12,0.11,2436.27,159190748.3,12617.08,0.32,0.48,560,0,0.441
home-assistant,Module,BUG,0.22,0.21,93.61,324620.78,569.76,0.45,0.63,560,0,0.441
node,Line,BUG,0.84,0.84,5478.82,178985170.28,13378.53,0.37,0.62,596,0,0.307
node,Module,BUG,0.98,0.98,123.81,64204.78,253.39,0.55,0.84,596,0,0.307
gitlabhq,Line,BUG,0.12,0.12,3402.05,278842463.47,16698.58,0.41,0.61,1154,0,0.3
gitlabhq,Module,BUG,0.6,0.6,69.49,162322.84,402.89,0.6,0.79,1154,0,0.3
tensorflow,Line,BUG,0.06,0.01,11788.17,1780145324.37,42191.77,0.12,0.32,106,0,0.204
tensorflow,Module,BUG,0.53,0.51,328.65,826553.03,909.15,0.19,0.37,106,0,0.204
orleans,Line,BUG,0.52,0.5,966.65,6103532.19,2470.53,0.39,0.58,114,0,0.353
orleans,Module,BUG,0.57,0.55,71.79,31258.53,176.8,0.38,0.54,114,0,0.353
cli,Line,BUG,-0.02,-0.07,2304.61,191189452.57,13827.13,0.28,0.43,109,0,0.401
cli,Module,BUG,0.27,0.23,23.53,2120.39,46.05,0.31,0.49,109,0,0.401
ansible,Line,BUG,0.95,0.95,55358.62,18440332502.36,135795.19,0.36,0.51,303,0,0.219
ansible,Module,BUG,0.93,0.93,2717.49,44483178.87,6669.57,0.49,0.7,303,0,0.219
neutron,Line,BUG,-0.07,-0.1,19277.04,4147082284.1,64397.84,0.46,0.63,203,0,0.352
neutron,Module,BUG,0.91,0.91,70.19,15945.9,126.28,0.54,0.84,203,0,0.352
vue,Line,BUG,0.16,0.14,534.91,5422851.9,2328.7,0.42,0.6,248,0,0.452
vue,Module,BUG,0.4,0.39,33.52,21098.41,145.25,0.54,0.72,248,0,0.452
moby,Line,BUG,0.48,0.47,1134.61,8028668.66,2833.49,0.41,0.52,319,0,0.476
moby,Module,BUG,0.54,0.53,53.54,22283.85,149.28,0.47,0.65,319,0,0.476
roslyn,Line,BUG,0.75,0.74,29706.27,5642728927.31,75118.1,0.5,0.6,102,0,0.352
roslyn,Module,BUG,0.8,0.79,704.13,5124847.95,2263.81,0.53,0.67,102,0,0.352
angular,Line,DOCS,0.35,0.34,5781.62,322409303.0,17955.76,0.27,0.41,411,0,0.299
angular,Module,DOCS,0.38,0.37,154.0,195736.43,442.42,0.24,0.5,411,0,0.299
home-assistant,Line,DOCS,0.33,0.32,241.64,5913383.83,2431.75,0.9,0.91,560,0,0.65
home-assistant,Module,DOCS,0.25,0.24,24.74,64824.42,254.61,0.91,0.91,560,0,0.65
node,Line,DOCS,0.54,0.54,3004.32,99435924.06,9971.76,0.41,0.57,596,0,0.391
node,Module,DOCS,0.82,0.82,19.46,2457.82,49.58,0.54,0.74,596,0,0.391
orleans,Line,DOCS,0.61,0.59,23.7,5597.84,74.82,0.83,0.84,114,0,0.615
orleans,Module,DOCS,0.81,0.8,0.92,9.75,3.12,0.87,0.89,114,0,0.615
gitlabhq,Line,DOCS,-0.21,-0.22,1033.01,49603970.54,7043.01,0.56,0.7,1154,0,0.431
gitlabhq,Module,DOCS,0.61,0.61,22.03,10009.13,100.05,0.61,0.74,1154,0,0.431
tensorflow,Line,DOCS,-0.51,-0.59,10535.03,1760583211.59,41959.3,0.53,0.61,106,0,0.397
tensorflow,Module,DOCS,-0.0,-0.05,303.3,2314875.42,1521.47,0.58,0.63,106,0,0.397
cli,Line,DOCS,0.27,0.23,45.92,16898.69,129.99,0.79,0.8,109,0,0.615
cli,Module,DOCS,0.74,0.73,2.18,47.73,6.91,0.81,0.82,109,0,0.615
vue,Line,DOCS,0.83,0.83,2.85,468.14,21.64,0.95,0.96,248,0,0.659
vue,Module,DOCS,0.84,0.84,0.4,13.4,3.66,0.96,0.96,248,0,0.659
ansible,Line,DOCS,0.4,0.39,92469.64,119122728358.2,345141.61,0.52,0.66,303,0,0.362
ansible,Module,DOCS,0.66,0.65,2523.55,105833937.78,10287.56,0.61,0.7,303,0,0.362
neutron,Line,DOCS,0.17,0.15,690.71,9122297.28,3020.31,0.61,0.67,203,0,0.539
neutron,Module,DOCS,0.74,0.73,16.01,1875.7,43.31,0.63,0.72,203,0,0.539
moby,Line,DOCS,0.1,0.09,3046.27,134377013.79,11592.11,0.59,0.65,319,0,0.555
moby,Module,DOCS,0.39,0.38,29.66,8717.91,93.37,0.6,0.67,319,0,0.555
angular,Line,REFACTOR,0.52,0.51,6065.13,288774611.98,16993.37,0.34,0.5,411,0,0.339
angular,Module,REFACTOR,0.53,0.52,231.35,392431.74,626.44,0.28,0.53,411,0,0.339
roslyn,Line,DOCS,0.17,0.13,1629.22,52421283.72,7240.25,0.66,0.72,102,0,0.515
roslyn,Module,DOCS,0.4,0.37,24.01,7652.59,87.48,0.71,0.78,102,0,0.515
home-assistant,Line,REFACTOR,-0.48,-0.49,1902.18,218555909.88,14783.64,0.88,0.91,560,0,0.644
home-assistant,Module,REFACTOR,0.16,0.15,12.48,9232.32,96.08,0.89,0.91,560,0,0.644
node,Line,REFACTOR,0.6,0.6,6592.18,334589894.85,18291.8,0.55,0.64,596,0,0.424
