Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
tensorflow,Line,BUG,1.0,1.0,18759.04,3538054562.0,59481.55,0.24,0.35,106,0,0.204
tensorflow,Module,BUG,1.0,1.0,321.11,424184.11,651.29,0.33,0.51,106,0,0.204
angular,Line,BUG,1.0,1.0,10824.78,603935414.22,24575.1,0.24,0.42,411,0,0.253
angular,Module,BUG,1.0,1.0,421.25,876372.13,936.15,0.33,0.57,411,0,0.253
vue,Line,BUG,1.0,1.0,211.45,412487.53,642.25,0.44,0.56,248,0,0.452
vue,Module,BUG,1.0,1.0,17.95,6334.53,79.59,0.54,0.75,248,0,0.452
moby,Line,BUG,1.0,1.0,1148.23,7281959.43,2698.51,0.4,0.5,319,0,0.476
moby,Module,BUG,1.0,1.0,49.69,16836.95,129.76,0.46,0.65,319,0,0.476
home-assistant,Line,BUG,1.0,1.0,3509.48,309077307.71,17580.59,0.34,0.43,560,0,0.441
home-assistant,Module,BUG,1.0,1.0,110.12,453023.13,673.07,0.42,0.61,560,0,0.441
neutron,Line,BUG,1.0,1.0,25875.0,5861167171.09,76558.26,0.39,0.54,203,0,0.352
neutron,Module,BUG,1.0,1.0,87.51,23797.37,154.26,0.49,0.7,203,0,0.352
node,Line,BUG,1.0,1.0,7349.44,357193661.25,18899.57,0.34,0.5,596,0,0.307
node,Module,BUG,1.0,1.0,143.37,84509.63,290.71,0.51,0.72,596,0,0.307
gitlabhq,Line,BUG,1.0,1.0,5652.27,517078907.74,22739.37,0.36,0.53,1154,0,0.3
gitlabhq,Module,BUG,1.0,1.0,78.98,169568.96,411.79,0.54,0.71,1154,0,0.3
tensorflow,Line,DOCS,1.0,1.0,8515.54,783580710.35,27992.51,0.53,0.58,106,0,0.397
tensorflow,Module,DOCS,1.0,1.0,269.37,2101644.27,1449.7,0.57,0.65,106,0,0.397
angular,Line,DOCS,1.0,1.0,10386.58,750935954.18,27403.21,0.19,0.33,411,0,0.299
angular,Module,DOCS,1.0,1.0,217.95,373072.84,610.8,0.27,0.46,411,0,0.299
vue,Line,DOCS,1.0,1.0,4.69,729.52,27.01,0.96,0.96,248,0,0.659
vue,Module,DOCS,1.0,1.0,0.29,12.38,3.52,0.97,0.98,248,0,0.659
neutron,Line,DOCS,1.0,1.0,876.61,15744155.02,3967.89,0.66,0.73,203,0,0.539
neutron,Module,DOCS,1.0,1.0,10.34,1230.21,35.07,0.74,0.81,203,0,0.539
home-assistant,Line,DOCS,1.0,1.0,334.52,12796293.46,3577.19,0.89,0.91,560,0,0.65
home-assistant,Module,DOCS,1.0,1.0,33.4,133413.72,365.26,0.91,0.91,560,0,0.65
moby,Line,DOCS,0.94,0.94,4614.81,196002274.19,14000.08,0.55,0.61,319,0,0.555
moby,Module,DOCS,1.0,1.0,42.36,15338.04,123.85,0.57,0.63,319,0,0.555
node,Line,DOCS,1.0,1.0,4916.53,182159976.73,13496.67,0.51,0.58,596,0,0.391
node,Module,DOCS,1.0,1.0,22.78,3318.33,57.6,0.58,0.74,596,0,0.391
gitlabhq,Line,DOCS,1.0,1.0,1542.25,114865698.34,10717.54,0.59,0.67,1154,0,0.431
gitlabhq,Module,DOCS,1.0,1.0,27.15,8440.16,91.87,0.58,0.73,1154,0,0.431
tensorflow,Line,REFACTOR,1.0,1.0,2332.32,69621533.87,8343.95,0.79,0.88,106,0,0.502
tensorflow,Module,REFACTOR,1.0,1.0,75.41,57309.24,239.39,0.65,0.74,106,0,0.502
vue,Line,REFACTOR,1.0,1.0,83.94,68556.84,261.83,0.79,0.83,248,0,0.61
vue,Module,REFACTOR,1.0,1.0,2.13,32.52,5.7,0.81,0.85,248,0,0.61
moby,Line,REFACTOR,1.0,1.0,340.01,1581123.59,1257.43,0.74,0.8,319,0,0.596
moby,Module,REFACTOR,1.0,1.0,6.8,479.08,21.89,0.76,0.81,319,0,0.596
home-assistant,Line,REFACTOR,1.0,1.0,1476.07,155685629.39,12477.4,0.89,0.91,560,0,0.644
home-assistant,Module,REFACTOR,1.0,1.0,7.21,3683.45,60.69,0.9,0.92,560,0,0.644
neutron,Line,REFACTOR,1.0,1.0,536.81,1815330.4,1347.34,0.76,0.81,203,0,0.53
neutron,Module,REFACTOR,1.0,1.0,16.02,1349.02,36.73,0.72,0.77,203,0,0.53
angular,Line,REFACTOR,1.0,1.0,7245.49,279446846.02,16716.66,0.26,0.41,411,0,0.339
angular,Module,REFACTOR,1.0,1.0,249.56,363091.36,602.57,0.3,0.5,411,0,0.339
node,Line,REFACTOR,1.0,1.0,5109.23,300169831.74,17325.41,0.66,0.72,596,0,0.424
node,Module,REFACTOR,1.0,1.0,34.84,7284.62,85.35,0.71,0.79,596,0,0.424
gitlabhq,Line,REFACTOR,0.99,0.99,904.39,10952326.08,3309.43,0.73,0.79,1154,0,0.511
gitlabhq,Module,REFACTOR,1.0,1.0,19.69,6826.26,82.62,0.73,0.83,1154,0,0.511
tensorflow,Line,TESTING,1.0,1.0,11107.89,883948335.19,29731.27,0.34,0.45,106,0,0.335
tensorflow,Module,TESTING,1.0,1.0,144.03,83199.59,288.44,0.46,0.57,106,0,0.335
vue,Line,TESTING,1.0,1.0,142.71,601045.74,775.27,0.67,0.72,248,0,0.558
vue,Module,TESTING,1.0,1.0,4.16,376.71,19.41,0.76,0.81,248,0,0.558
home-assistant,Line,TESTING,1.0,1.0,7683.89,2850288358.34,53388.09,0.78,0.8,560,0,0.601
home-assistant,Module,TESTING,1.0,1.0,39.24,36025.75,189.8,0.81,0.85,560,0,0.601
moby,Line,TESTING,1.0,1.0,1949.48,52754191.52,7263.21,0.51,0.57,319,0,0.514
moby,Module,TESTING,1.0,1.0,28.68,7100.4,84.26,0.59,0.69,319,0,0.514
neutron,Line,TESTING,1.0,1.0,3922.43,133561589.66,11556.88,0.51,0.6,203,0,0.386
neutron,Module,TESTING,1.0,1.0,93.74,52708.33,229.58,0.49,0.69,203,0,0.386
angular,Line,TESTING,1.0,1.0,10453.07,525758328.96,22929.42,0.29,0.36,411,0,0.365
angular,Module,TESTING,1.0,1.0,95.38,166644.42,408.22,0.31,0.49,411,0,0.365
node,Line,TESTING,1.0,1.0,9738.21,477742326.39,21857.32,0.41,0.56,596,0,0.331
node,Module,TESTING,1.0,1.0,541.9,1490098.02,1220.7,0.49,0.62,596,0,0.331
tensorflow,Line,FEATURE,1.0,1.0,1448.43,11629028.6,3410.14,0.66,0.71,106,0,0.498
tensorflow,Module,FEATURE,1.0,1.0,13.09,1237.74,35.18,0.72,0.81,106,0,0.498
vue,Line,FEATURE,1.0,1.0,32.83,28022.17,167.4,0.92,0.93,248,0,0.643
vue,Module,FEATURE,1.0,1.0,1.12,44.35,6.66,0.93,0.93,248,0,0.643
moby,Line,FEATURE,1.0,1.0,59.41,60367.55,245.7,0.83,0.84,319,0,0.629
moby,Module,FEATURE,1.0,1.0,1.09,18.29,4.28,0.84,0.86,319,0,0.629
gitlabhq,Line,TESTING,1.0,1.0,22407.78,16982743376.73,130317.86,0.58,0.67,1154,0,0.451
gitlabhq,Module,TESTING,1.0,1.0,474.72,8739187.03,2956.21,0.62,0.72,1154,0,0.451
home-assistant,Line,FEATURE,1.0,1.0,237.4,12332152.28,3511.72,0.89,0.9,560,0,0.654
home-assistant,Module,FEATURE,1.0,1.0,5.22,2071.47,45.51,0.9,0.91,560,0,0.654
neutron,Line,FEATURE,1.0,1.0,265.98,528727.62,727.14,0.82,0.85,203,0,0.603
neutron,Module,FEATURE,1.0,1.0,4.8,160.12,12.65,0.79,0.84,203,0,0.603
angular,Line,FEATURE,1.0,1.0,11871.7,2871164820.54,53583.25,0.38,0.54,411,0,0.392
angular,Module,FEATURE,1.0,1.0,178.47,310011.97,556.79,0.39,0.62,411,0,0.392
node,Line,FEATURE,1.0,1.0,73.12,51101.39,226.06,0.83,0.86,596,0,0.573
node,Module,FEATURE,1.0,1.0,2.5,53.57,7.32,0.82,0.85,596,0,0.573
tensorflow,Line,UPGRADE,1.0,1.0,17384.33,14437490336.31,120156.11,0.44,0.53,106,0,0.394
tensorflow,Module,UPGRADE,1.0,1.0,28.42,13097.58,114.44,0.6,0.75,106,0,0.394
vue,Line,UPGRADE,1.0,1.0,75.33,563648.83,750.77,0.92,0.92,248,0,0.659
vue,Module,UPGRADE,1.0,1.0,0.43,8.19,2.86,0.94,0.94,248,0,0.659
moby,Line,UPGRADE,1.0,1.0,137.62,116333.06,341.08,0.63,0.67,319,0,0.58
moby,Module,UPGRADE,1.0,1.0,4.13,111.54,10.56,0.68,0.71,319,0,0.58
home-assistant,Line,UPGRADE,1.0,1.0,449.95,8408164.97,2899.68,0.79,0.84,560,0,0.578
home-assistant,Module,UPGRADE,1.0,1.0,35.87,24318.73,155.94,0.82,0.89,560,0,0.578
neutron,Line,UPGRADE,1.0,1.0,679.56,5992948.4,2448.05,0.66,0.71,203,0,0.523
neutron,Module,UPGRADE,1.0,1.0,8.76,769.64,27.74,0.72,0.79,203,0,0.523
gitlabhq,Line,FEATURE,1.0,1.0,589.38,3097402.64,1759.94,0.6,0.67,1154,0,0.49
gitlabhq,Module,FEATURE,1.0,1.0,22.02,6759.14,82.21,0.65,0.71,1154,0,0.49
angular,Line,UPGRADE,1.0,1.0,1842.77,19025701.46,4361.85,0.56,0.61,411,0,0.511
angular,Module,UPGRADE,1.0,1.0,30.51,59185.18,243.28,0.64,0.7,411,0,0.511
node,Line,UPGRADE,1.0,1.0,171509.25,133003967171.28,364697.09,0.4,0.52,596,0,0.371
node,Module,UPGRADE,1.0,1.0,1623.07,7626786.91,2761.66,0.42,0.55,596,0,0.371
tensorflow,Line,RELEASE,1.0,1.0,19733.15,1825066985.15,42720.8,0.29,0.35,106,0,0.366
tensorflow,Module,RELEASE,1.0,1.0,43.13,11644.21,107.91,0.4,0.5,106,0,0.366
vue,Line,RELEASE,0.99,0.99,1722.67,17214775.2,4149.07,0.37,0.42,248,0,0.487
vue,Module,RELEASE,1.0,1.0,1.99,18.14,4.26,0.49,0.6,248,0,0.487
neutron,Line,RELEASE,1.0,1.0,771.3,16619676.36,4076.72,0.57,0.64,203,0,0.5
neutron,Module,RELEASE,1.0,1.0,5.55,243.63,15.61,0.67,0.71,203,0,0.5
home-assistant,Line,RELEASE,0.63,0.63,16.38,52789.81,229.76,0.93,0.93,560,0,0.632
home-assistant,Module,RELEASE,0.99,0.99,0.89,44.29,6.66,0.93,0.94,560,0,0.632
moby,Line,RELEASE,1.0,1.0,50.49,47466.42,217.87,0.74,0.76,319,0,0.618
moby,Module,RELEASE,1.0,1.0,2.91,83.24,9.12,0.77,0.79,319,0,0.618
gitlabhq,Line,UPGRADE,1.0,1.0,573.4,6161154.53,2482.17,0.63,0.69,1154,0,0.501
gitlabhq,Module,UPGRADE,1.0,1.0,9.37,1618.64,40.23,0.68,0.75,1154,0,0.501
angular,Line,RELEASE,1.0,1.0,164.65,146179.26,382.33,0.27,0.33,411,0,0.406
angular,Module,RELEASE,1.0,1.0,5.1,186.59,13.66,0.47,0.61,411,0,0.406
node,Line,RELEASE,1.0,1.0,161.82,179271.31,423.4,0.54,0.63,596,0,0.409
node,Module,RELEASE,1.0,1.0,5.18,158.96,12.61,0.59,0.69,596,0,0.409
tensorflow,Line,SUPPORT,1.0,1.0,5762.36,463033108.55,21518.2,0.63,0.75,106,0,0.418
tensorflow,Module,SUPPORT,1.0,1.0,114.0,183660.68,428.56,0.69,0.79,106,0,0.418
vue,Line,SUPPORT,1.0,1.0,71.78,40946.24,202.35,0.74,0.78,248,0,0.593
vue,Module,SUPPORT,1.0,1.0,2.7,78.43,8.86,0.79,0.85,248,0,0.593
neutron,Line,SUPPORT,1.0,1.0,2825.92,56857269.64,7540.38,0.51,0.61,203,0,0.437
neutron,Module,SUPPORT,1.0,1.0,31.86,6511.58,80.69,0.66,0.78,203,0,0.437
moby,Line,SUPPORT,1.0,1.0,837.14,17973161.33,4239.48,0.66,0.71,319,0,0.558
moby,Module,SUPPORT,1.0,1.0,21.82,7838.66,88.54,0.66,0.71,319,0,0.558
home-assistant,Line,SUPPORT,1.0,1.0,1578.67,51298642.53,7162.31,0.8,0.83,560,0,0.591
home-assistant,Module,SUPPORT,1.0,1.0,37.44,34287.89,185.17,0.79,0.85,560,0,0.591
angular,Line,SUPPORT,1.0,1.0,223.21,581077.0,762.28,0.71,0.74,411,0,0.576
angular,Module,SUPPORT,1.0,1.0,3.96,106.62,10.33,0.75,0.77,411,0,0.576
gitlabhq,Line,RELEASE,1.0,1.0,81.23,201641.85,449.05,0.73,0.76,1154,0,0.575
gitlabhq,Module,RELEASE,1.0,1.0,4.33,369.69,19.23,0.77,0.8,1154,0,0.575
tensorflow,Line,OTHER,1.0,1.0,471915.36,1691128121160.68,1300433.82,0.1,0.17,106,0,0.156
tensorflow,Module,OTHER,1.0,1.0,6303.73,331232380.93,18199.79,0.14,0.25,106,0,0.156
vue,Line,OTHER,1.0,1.0,7706.4,178215077.03,13349.72,0.22,0.33,248,0,0.412
vue,Module,OTHER,1.0,1.0,41.84,18246.14,135.08,0.37,0.67,248,0,0.412
node,Line,SUPPORT,1.0,1.0,3492.5,112404209.48,10602.09,0.49,0.61,596,0,0.403
node,Module,SUPPORT,1.0,1.0,20.49,1756.59,41.91,0.59,0.75,596,0,0.403
neutron,Line,OTHER,1.0,1.0,182659.59,468932693520.22,684786.6,0.41,0.56,203,0,0.279
neutron,Module,OTHER,1.0,1.0,737.26,2533870.56,1591.81,0.44,0.67,203,0,0.279
moby,Line,OTHER,1.0,1.0,26597.93,6134756484.74,78324.69,0.2,0.32,319,0,0.434
moby,Module,OTHER,1.0,1.0,309.5,791414.46,889.61,0.27,0.41,319,0,0.434
home-assistant,Line,OTHER,1.0,1.0,20402.95,5143889089.14,71720.91,0.15,0.29,560,0,0.373
home-assistant,Module,OTHER,1.0,1.0,1153.13,42350523.55,6507.73,0.3,0.49,560,0,0.373
angular,Line,OTHER,1.0,1.0,51416.47,25258273719.01,158928.52,0.15,0.26,411,0,0.305
angular,Module,OTHER,1.0,1.0,322.16,522535.27,722.87,0.26,0.41,411,0,0.305
gitlabhq,Line,SUPPORT,1.0,1.0,903.25,14172875.42,3764.69,0.71,0.76,1154,0,0.516
gitlabhq,Module,SUPPORT,1.0,1.0,13.92,2618.29,51.17,0.74,0.8,1154,0,0.516
node,Line,OTHER,1.0,1.0,304527.91,394863823898.41,628381.91,0.23,0.39,596,0,0.271
node,Module,OTHER,1.0,1.0,1963.87,18461151.53,4296.64,0.36,0.58,596,0,0.271
gitlabhq,Line,OTHER,1.0,1.0,26479.82,6372743404.54,79829.46,0.22,0.39,1154,0,0.25
gitlabhq,Module,OTHER,1.0,1.0,410.11,4049438.6,2012.32,0.37,0.6,1154,0,0.25
cli,Line,BUG,1.0,1.0,5590.72,568937881.97,23852.42,0.18,0.32,109,0,0.401
cli,Module,BUG,1.0,1.0,30.69,3184.01,56.43,0.31,0.46,109,0,0.401
orleans,Line,BUG,1.0,1.0,914.81,5917067.79,2432.5,0.39,0.54,114,0,0.353
orleans,Module,BUG,1.0,1.0,75.29,34895.39,186.8,0.41,0.52,114,0,0.353
ansible,Line,BUG,1.0,1.0,20578.67,6292267667.78,79323.82,0.51,0.61,303,0,0.219
ansible,Module,BUG,1.0,1.0,1829.79,42617903.28,6528.24,0.54,0.64,303,0,0.219
nova,Line,BUG,1.0,1.0,32669.41,7627016030.06,87332.79,0.44,0.68,234,0,0.198
nova,Module,BUG,1.0,1.0,257.11,1038907.94,1019.27,0.5,0.75,234,0,0.198
angular.js,Line,BUG,1.0,1.0,12285.16,1082226294.2,32897.21,0.25,0.46,204,0,0.127
angular.js,Module,BUG,1.0,1.0,234.63,293716.24,541.96,0.38,0.7,204,0,0.127
roslyn,Line,BUG,1.0,1.0,24823.26,3490169893.25,59077.66,0.53,0.63,102,0,0.352
roslyn,Module,BUG,1.0,1.0,664.2,4402939.41,2098.32,0.58,0.65,102,0,0.352
lock,Line,BUG,1.0,1.0,2666.87,153999759.17,12409.66,0.54,0.6,492,0,0.527
lock,Module,BUG,0.98,0.98,76.99,95192.54,308.53,0.59,0.67,492,0,0.527
cli,Line,DOCS,1.0,1.0,47.72,17615.2,132.72,0.76,0.81,109,0,0.615
cli,Module,DOCS,1.0,1.0,2.52,57.84,7.61,0.83,0.84,109,0,0.615
orleans,Line,DOCS,1.0,1.0,30.07,7474.12,86.45,0.82,0.84,114,0,0.615
orleans,Module,DOCS,1.0,1.0,1.91,28.96,5.38,0.81,0.82,114,0,0.615
ansible,Line,DOCS,1.0,1.0,52104.17,73281458907.82,270705.48,0.69,0.73,303,0,0.362
ansible,Module,DOCS,1.0,1.0,1465.81,65293354.54,8080.43,0.7,0.76,303,0,0.362
nova,Line,DOCS,1.0,1.0,3105.1,84098540.8,9170.53,0.6,0.65,234,0,0.394
