Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
tensorflow,Line,BUG,1.0,1.0,4628.63,584514024.88,24176.72,0.83,0.94,106,0,0.204
tensorflow,Module,BUG,1.0,1.0,286.13,681812.09,825.72,0.33,0.57,106,0,0.204
vue,Line,BUG,1.0,1.0,113.85,288416.35,537.04,0.92,0.97,248,0,0.452
vue,Module,BUG,1.0,1.0,16.0,4360.01,66.03,0.44,0.7,248,0,0.452
moby,Line,BUG,1.0,1.0,94.59,205450.26,453.27,0.95,0.99,319,0,0.476
moby,Module,BUG,1.0,1.0,29.47,6808.65,82.51,0.45,0.69,319,0,0.476
angular,Line,BUG,1.0,1.0,1269.39,60355543.13,7768.88,0.96,0.98,411,0,0.253
angular,Module,BUG,1.0,1.0,243.45,435080.83,659.61,0.43,0.72,411,0,0.253
home-assistant,Line,BUG,1.0,1.0,673.96,45224690.42,6724.93,0.98,0.99,560,0,0.441
home-assistant,Module,BUG,1.0,1.0,101.35,551857.7,742.87,0.37,0.59,560,0,0.441
node,Line,BUG,1.0,1.0,853.59,10835853.21,3291.79,0.98,1.0,596,0,0.307
node,Module,BUG,1.0,1.0,120.66,70977.71,266.42,0.56,0.82,596,0,0.307
neutron,Line,BUG,1.0,1.0,1785.73,66559157.84,8158.38,0.97,0.98,203,0,0.352
neutron,Module,BUG,1.0,1.0,52.1,11967.9,109.4,0.62,0.84,203,0,0.352
gitlabhq,Line,BUG,1.0,1.0,262.13,3371930.3,1836.28,1.0,1.0,1154,0,0.3
gitlabhq,Module,BUG,1.0,1.0,78.27,178689.83,422.72,0.55,0.79,1154,0,0.3
tensorflow,Line,DOCS,1.0,1.0,4338.22,491115640.67,22161.13,0.68,0.85,106,0,0.397
tensorflow,Module,DOCS,1.0,1.0,204.29,1729602.08,1315.14,0.31,0.53,106,0,0.397
vue,Line,DOCS,1.0,1.0,2.91,296.12,17.21,0.67,0.71,248,0,0.659
vue,Module,DOCS,1.0,1.0,0.3,11.15,3.34,0.62,0.62,248,0,0.659
moby,Line,DOCS,1.0,1.0,876.05,23535607.61,4851.35,0.88,0.99,319,0,0.555
moby,Module,DOCS,1.0,1.0,33.93,12806.47,113.17,0.21,0.42,319,0,0.555
