Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
neutron,Line,BUG,0.91,0.91,1524.39,3549269.94,1883.95,0.54,0.76,46
neutron,Module,BUG,0.92,0.91,84.04,12583.47,112.18,0.5,0.87,46
angular,Line,BUG,0.86,0.86,6960.3,102276100.76,10113.16,0.24,0.37,93
angular,Module,BUG,0.78,0.77,449.07,439778.85,663.16,0.08,0.12,93
node,Line,BUG,0.88,0.88,6554.25,162255178.67,12737.94,0.27,0.37,494
node,Module,BUG,0.98,0.98,149.29,56803.18,238.33,0.39,0.53,494
tensorflow,Line,BUG,0.72,0.7,3305.42,29850907.56,5463.6,0.0,0.2,30
tensorflow,Module,BUG,0.85,0.83,267.31,185318.26,430.49,0.03,0.1,30
vue,Line,BUG,1.0,1.0,170.06,155911.52,394.86,0.36,0.57,103
vue,Module,BUG,1.0,1.0,6.66,215.86,14.69,0.48,0.73,103
moby,Line,BUG,0.57,0.56,1924.71,95398444.18,9767.21,0.16,0.25,77
moby,Module,BUG,0.78,0.77,89.09,240425.56,490.33,0.13,0.29,77
home-assistant,Line,BUG,0.25,0.24,6925.12,419391896.69,20479.06,0.02,0.09,133
home-assistant,Module,BUG,0.69,0.68,147.29,148379.59,385.2,0.13,0.23,133
gitlabhq,Line,BUG,0.2,0.2,5266.42,275985096.86,16612.8,0.16,0.29,452
gitlabhq,Module,BUG,0.8,0.8,66.85,47730.79,218.47,0.51,0.74,452
neutron,Line,DOCS,0.83,0.8,2643.38,14944271.5,3865.78,0.14,0.36,14
neutron,Module,DOCS,0.97,0.96,33.77,2026.93,45.02,0.36,0.5,14
vue,Line,DOCS,0.25,0.0,26.1,3266.74,57.16,0.44,0.44,9
vue,Module,DOCS,1.0,1.0,0.25,0.45,0.67,0.89,0.89,9
moby,Line,DOCS,0.11,0.08,26759.87,19848430133.08,140884.46,0.0,0.02,60
moby,Module,DOCS,0.68,0.66,81.71,162745.42,403.42,0.13,0.22,60
tensorflow,Line,DOCS,0.44,0.35,4045.27,29623468.03,5442.74,0.06,0.12,16
tensorflow,Module,DOCS,0.48,0.35,70.42,9052.77,95.15,0.25,0.31,16
home-assistant,Line,DOCS,0.61,0.57,540.24,623209.68,789.44,0.24,0.29,21
home-assistant,Module,DOCS,0.28,0.15,43.69,3211.28,56.67,0.0,0.14,21
neutron,Line,REFACTOR,0.86,0.83,1066.19,1755870.56,1325.09,0.29,0.57,14
neutron,Module,REFACTOR,0.84,0.79,22.89,1057.19,32.51,0.29,0.57,14
angular,Line,DOCS,0.84,0.84,7334.47,175791756.13,13258.65,0.23,0.43,81
angular,Module,DOCS,0.93,0.93,126.12,42298.28,205.67,0.32,0.52,81
tensorflow,Line,REFACTOR,1.0,1.0,1290.88,2738220.15,1654.76,0.6,0.6,5
tensorflow,Module,REFACTOR,0.94,0.76,752.9,2132175.35,1460.2,0.0,0.0,5
node,Line,DOCS,0.52,0.52,7476.71,148255475.92,12176.02,0.04,0.1,375
node,Module,DOCS,0.79,0.79,44.38,3872.38,62.23,0.08,0.29,375
vue,Line,REFACTOR,0.99,0.99,222.18,216586.07,465.39,0.37,0.53,19
vue,Module,REFACTOR,1.0,1.0,3.0,23.61,4.86,0.63,0.79,19
moby,Line,REFACTOR,0.52,0.49,470.95,966921.8,983.32,0.21,0.3,33
moby,Module,REFACTOR,0.43,0.37,25.09,8517.63,92.29,0.12,0.33,33
gitlabhq,Line,DOCS,0.06,0.05,3654.61,173835217.48,13184.66,0.12,0.24,288
gitlabhq,Module,DOCS,0.82,0.82,45.46,7647.61,87.45,0.26,0.51,288
home-assistant,Line,REFACTOR,0.1,0.0,325.22,161478.43,401.84,0.19,0.33,21
home-assistant,Module,REFACTOR,0.36,0.25,6.93,68.82,8.3,0.19,0.33,21
neutron,Line,TESTING,0.8,0.79,3267.72,30829721.59,5552.45,0.31,0.64,36
neutron,Module,TESTING,0.92,0.91,75.25,11197.98,105.82,0.39,0.81,36
angular,Line,REFACTOR,0.92,0.92,8850.73,618313322.8,24865.91,0.11,0.2,55
angular,Module,REFACTOR,0.97,0.97,127.96,50554.16,224.84,0.24,0.36,55
