,Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
0,AutoMapper,Line,BUG,-0.36,-0.81,1273.05,3854456.5,1963.28,0.56,0.67,33
0,AutoMapper,Line,DOCS,-0.66,-0.66,229.89,154157.02,392.63,0.67,0.67,9
0,AutoMapper,Line,FEATURE,,,9774.72,95545151.08,9774.72,0.0,1.0,4
0,AutoMapper,Line,OTHER,-0.29,-0.66,23140.51,1808405123.17,42525.35,0.2,0.3,39
0,AutoMapper,Line,REFACTOR,-0.04,-0.04,325.01,150317.36,387.71,0.33,0.33,11
0,AutoMapper,Line,RELEASE,-0.59,-0.59,109.92,31322.7,176.98,0.0,0.0,10
0,AutoMapper,Line,SUPPORT,-0.23,-1.46,3145.28,37184184.28,6097.88,0.0,0.4,17
0,AutoMapper,Line,TESTING,0.4,0.1,456.74,494728.9,703.37,0.43,0.57,28
0,AutoMapper,Line,UPGRADE,-3953.84,-3953.84,15777.75,395185918.55,19879.28,0.0,0.0,11
0,AutoMapper,Module,BUG,0.28,-0.15,26.41,1422.35,37.71,0.67,0.89,33
0,AutoMapper,Module,DOCS,-0.71,4.42,20.63,1073.81,32.77,0.67,0.67,9
0,AutoMapper,Module,FEATURE,,,5.26,27.67,5.26,1.0,1.0,4
0,AutoMapper,Module,OTHER,-1.77,-3.16,226.7,81652.76,285.75,0.4,0.6,39
0,AutoMapper,Module,REFACTOR,-4.09,11.18,5.06,33.51,5.79,0.33,1.0,11
0,AutoMapper,Module,RELEASE,-7.12,17.24,2.54,7.22,2.69,0.0,0.0,10
0,AutoMapper,Module,SUPPORT,-0.21,-3.84,45.43,9205.45,95.95,0.6,0.8,17
0,AutoMapper,Module,TESTING,-0.45,-1.9,13.51,217.39,14.74,0.14,0.43,28
0,AutoMapper,Module,UPGRADE,-0.39,3.78,3.02,22.56,4.75,1.0,1.0,11
0,Odin,Line,BUG,-7.52,9.52,1794.28,3647799.01,1909.92,0.0,0.0,6
0,Odin,Module,BUG,-70.83,36.92,117.85,14078.22,118.65,0.0,0.0,6
0,angular,Line,BUG,0.77,0.76,7062.17,130427998.27,11420.51,0.35,0.57,326
0,angular,Line,DOCS,0.44,0.43,8255.22,247045886.16,15717.69,0.32,0.48,318
0,angular,Line,FEATURE,0.89,0.89,3566.4,40765779.33,6384.81,0.68,0.8,262
0,angular,Line,OTHER,0.41,0.39,18361.77,1935760708.09,43997.28,0.22,0.38,315
0,angular,Line,REFACTOR,0.72,0.71,4386.86,76448223.3,8743.47,0.43,0.69,295
0,angular,Line,RELEASE,0.4,0.38,140.54,84051.49,289.92,0.3,0.47,280
0,angular,Line,SUPPORT,0.92,0.91,212.88,263526.58,513.35,0.48,0.59,108
0,angular,Line,TESTING,0.22,0.2,9921.43,271099453.45,16465.1,0.31,0.41,279
0,angular,Line,UPGRADE,0.38,0.35,1975.07,12718740.6,3566.33,0.43,0.57,194
0,angular,Module,BUG,0.82,0.81,195.19,217144.57,465.99,0.46,0.77,326
0,angular,Module,DOCS,0.55,0.53,153.82,114482.07,338.35,0.46,0.65,318
0,angular,Module,FEATURE,0.94,0.94,61.16,12847.15,113.35,0.8,0.89,262
0,angular,Module,OTHER,0.6,0.58,240.36,321463.72,566.98,0.46,0.62,315
0,angular,Module,REFACTOR,0.8,0.79,130.59,84927.83,291.42,0.62,0.85,295
0,angular,Module,RELEASE,0.97,0.97,1.52,4.92,2.22,0.9,0.97,280
0,angular,Module,SUPPORT,0.95,0.94,1.91,19.81,4.45,0.85,0.93,108
0,angular,Module,TESTING,0.18,0.14,57.38,28460.61,168.7,0.66,0.89,279
0,angular,Module,UPGRADE,0.12,0.06,35.13,28855.47,169.87,0.78,0.88,194
0,angular.js,Line,BUG,0.57,0.55,9575.12,506311566.99,22501.37,0.37,0.51,196
0,angular.js,Line,DOCS,-0.06,-0.11,32305.57,6236636513.36,78972.38,0.23,0.35,191
0,angular.js,Line,FEATURE,0.78,0.77,3268.82,42525056.92,6521.12,0.55,0.66,152
0,angular.js,Line,OTHER,0.22,0.18,22613.35,1379449302.09,37140.94,0.3,0.5,182
