Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
tensorflow,Line,BUG,0.89,0.89,16733.64,2134184995.14,46197.24,0.22,0.38,87
tensorflow,Module,BUG,0.97,0.97,346.19,516012.64,718.34,0.23,0.46,87
home-assistant,Line,BUG,0.89,0.89,5597.17,293877957.87,17142.87,0.17,0.32,223
home-assistant,Module,BUG,0.94,0.94,143.75,187065.9,432.51,0.28,0.55,223
vue,Line,BUG,0.99,0.99,295.61,477498.81,691.01,0.33,0.55,138
vue,Module,BUG,0.99,0.99,18.21,3662.52,60.52,0.52,0.74,138
neutron,Line,BUG,0.84,0.84,40405.82,6525328585.42,80779.51,0.19,0.31,143
neutron,Module,BUG,0.99,0.99,98.42,21122.11,145.33,0.44,0.78,143
angular,Line,BUG,0.98,0.98,8724.21,227537701.97,15084.35,0.28,0.51,288
angular,Module,BUG,0.97,0.97,480.41,1054863.08,1027.07,0.36,0.57,288
moby,Line,BUG,0.94,0.94,1885.92,13418685.28,3663.15,0.18,0.3,232
moby,Module,BUG,0.98,0.98,61.87,23039.94,151.79,0.34,0.55,232
node,Line,BUG,0.98,0.98,6821.17,220924672.55,14863.53,0.33,0.54,516
node,Module,BUG,1.0,1.0,143.56,97972.95,313.01,0.52,0.78,516
gitlabhq,Line,BUG,0.91,0.91,7659.76,513208806.46,22654.11,0.23,0.43,735
gitlabhq,Module,BUG,0.95,0.95,140.02,264970.07,514.75,0.53,0.74,735
tensorflow,Line,DOCS,0.87,0.87,15692.71,1946164055.7,44115.35,0.23,0.36,56
tensorflow,Module,DOCS,0.86,0.85,421.38,3402251.83,1844.52,0.23,0.46,56
home-assistant,Line,DOCS,0.92,0.92,439.97,456309.46,675.51,0.11,0.29,35
home-assistant,Module,DOCS,0.81,0.79,83.41,36256.89,190.41,0.17,0.26,35
vue,Line,DOCS,0.99,0.99,27.01,2176.99,46.66,0.15,0.54,13
vue,Module,DOCS,0.98,0.97,0.69,1.02,1.01,0.69,0.77,13
neutron,Line,DOCS,0.77,0.76,4656.72,95958218.5,9795.83,0.18,0.48,40
neutron,Module,DOCS,0.98,0.98,57.43,5625.59,75.0,0.18,0.38,40
moby,Line,DOCS,0.84,0.84,8158.71,289551666.01,17016.22,0.12,0.23,158
moby,Module,DOCS,0.97,0.97,63.45,16984.85,130.33,0.14,0.24,158
node,Line,DOCS,0.95,0.95,6239.4,172896227.15,13149.0,0.22,0.35,386
node,Module,DOCS,0.99,0.99,19.87,2037.01,45.13,0.56,0.69,386
