Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
node,Line,BUG,0.88,0.88,6689.21,176865477.19,13299.08,0.25,0.36,516
node,Module,BUG,0.98,0.98,144.72,54555.15,233.57,0.39,0.53,516
angular,Line,BUG,0.87,0.87,7976.57,156041361.81,12491.65,0.25,0.43,288
angular,Module,BUG,0.77,0.77,464.61,716023.74,846.18,0.14,0.27,288
neutron,Line,BUG,0.13,0.12,38322.96,4868423511.42,69774.09,0.01,0.02,143
neutron,Module,BUG,0.91,0.91,101.93,20818.81,144.29,0.41,0.72,143
gitlabhq,Line,BUG,0.26,0.26,6788.97,403470162.38,20086.57,0.1,0.2,735
gitlabhq,Module,BUG,0.82,0.82,110.05,117264.3,342.44,0.37,0.63,735
moby,Line,BUG,0.3,0.29,2336.48,13231455.32,3637.51,0.06,0.13,232
moby,Module,BUG,0.23,0.22,129.01,47719.58,218.45,0.1,0.18,232
home-assistant,Line,BUG,0.31,0.3,6091.43,304137122.37,17439.53,0.07,0.1,223
home-assistant,Module,BUG,0.69,0.69,133.41,164205.45,405.22,0.17,0.28,223
tensorflow,Line,BUG,0.38,0.37,18458.26,2555718718.71,50554.12,0.18,0.31,87
tensorflow,Module,BUG,0.85,0.84,363.98,412467.88,642.24,0.17,0.36,87
vue,Line,BUG,0.98,0.98,198.23,179774.01,424.0,0.31,0.49,138
vue,Module,BUG,0.98,0.98,14.81,1306.52,36.15,0.37,0.6,138
neutron,Line,DOCS,0.07,0.02,2617.22,43713930.65,6611.65,0.2,0.28,40
neutron,Module,DOCS,0.8,0.78,53.31,4432.14,66.57,0.15,0.32,40
home-assistant,Line,DOCS,0.53,0.5,410.03,339048.07,582.28,0.14,0.23,35
home-assistant,Module,DOCS,0.04,-0.05,76.33,27346.09,165.37,0.11,0.14,35
tensorflow,Line,DOCS,0.35,0.33,15468.8,1547304062.4,39335.79,0.16,0.25,56
tensorflow,Module,DOCS,0.21,0.16,695.87,3595599.8,1896.21,0.02,0.09,56
vue,Line,DOCS,0.93,0.92,45.66,3626.16,60.22,0.15,0.15,13
vue,Module,DOCS,0.98,0.97,0.39,0.25,0.5,0.54,0.69,13
neutron,Line,REFACTOR,0.76,0.75,1378.68,3790801.4,1947.0,0.31,0.57,54
neutron,Module,REFACTOR,0.84,0.83,32.2,1871.48,43.26,0.33,0.61,54
node,Line,DOCS,0.52,0.52,7195.94,138984600.97,11789.17,0.04,0.1,386
node,Module,DOCS,0.79,0.79,43.14,3693.22,60.77,0.08,0.3,386
angular,Line,DOCS,0.37,0.36,10138.44,492199812.03,22185.58,0.12,0.28,248
angular,Module,DOCS,0.39,0.38,238.71,296353.47,544.38,0.24,0.44,248
gitlabhq,Line,DOCS,0.2,0.2,2921.34,109207683.72,10450.25,0.16,0.27,515
gitlabhq,Module,DOCS,0.88,0.88,42.05,6904.43,83.09,0.31,0.46,515
home-assistant,Line,REFACTOR,0.19,0.14,24565.71,8537516593.17,92398.68,0.08,0.13,38
home-assistant,Module,REFACTOR,0.21,0.14,200.32,513907.87,716.87,0.05,0.11,38
tensorflow,Line,REFACTOR,0.92,0.92,4602.17,70241255.95,8381.01,0.49,0.54,39
tensorflow,Module,REFACTOR,0.84,0.83,111.59,33945.49,184.24,0.26,0.46,39
moby,Line,DOCS,0.17,0.16,8989.28,253274327.13,15914.59,0.03,0.09,158
moby,Module,DOCS,0.41,0.4,98.48,36318.8,190.57,0.1,0.21,158
vue,Line,REFACTOR,0.87,0.86,495.78,582071.17,762.94,0.16,0.37,38
vue,Module,REFACTOR,0.98,0.98,5.2,45.64,6.76,0.5,0.66,38
home-assistant,Line,TESTING,0.41,0.39,47940.36,14463677898.41,120265.03,0.01,0.04,67
home-assistant,Module,TESTING,0.53,0.51,229.49,255893.85,505.86,0.16,0.24,67
tensorflow,Line,TESTING,0.67,0.66,17057.4,1081596441.18,32887.63,0.11,0.21,66
tensorflow,Module,TESTING,0.91,0.91,196.51,92226.52,303.69,0.15,0.33,66
neutron,Line,TESTING,0.68,0.67,7807.35,175983974.58,13265.9,0.09,0.24,119
neutron,Module,TESTING,0.85,0.85,145.81,52246.25,228.57,0.26,0.43,119
node,Line,REFACTOR,0.63,0.63,13980.27,544995829.29,23345.15,0.15,0.34,294
node,Module,REFACTOR,0.93,0.93,78.59,12692.46,112.66,0.37,0.49,294
angular,Line,REFACTOR,0.81,0.81,7004.83,185183703.46,13608.22,0.28,0.47,210
angular,Module,REFACTOR,0.76,0.76,325.44,411527.52,641.5,0.21,0.45,210
gitlabhq,Line,REFACTOR,0.82,0.82,1743.37,10591341.1,3254.43,0.26,0.45,352
gitlabhq,Module,REFACTOR,0.9,0.9,44.71,6135.64,78.33,0.3,0.53,352
moby,Line,REFACTOR,0.27,0.25,1336.03,5720130.13,2391.68,0.11,0.24,97
moby,Module,REFACTOR,0.31,0.29,22.31,1110.3,33.32,0.2,0.3,97
vue,Line,TESTING,0.99,0.99,364.42,541481.26,735.85,0.22,0.47,77
vue,Module,TESTING,0.99,0.99,10.54,357.87,18.92,0.38,0.52,77
