Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
vue,Module_EC,DOCS,1.0,1.0,0.24,14.04,3.75,1.0,1.0,248,0,0.748
vue,Module_UC,DOCS,0.88,0.88,0.04,0.04,0.21,0.96,0.97,248,0,0.712
tensorflow,Line_CC,DOCS,0.38,0.36,236.72,542732.69,736.7,0.68,0.73,106,0,0.476
tensorflow,Line_EC,DOCS,0.35,0.32,5358.05,636294397.29,25224.88,0.71,0.79,106,0,0.476
tensorflow,Line_UC,DOCS,0.84,0.83,1766.59,35147686.73,5928.55,0.56,0.67,106,0,0.358
tensorflow,Module_CC,DOCS,0.72,0.71,4.71,171.36,13.09,0.75,0.8,106,0,0.476
tensorflow,Module_EC,DOCS,0.15,0.12,220.52,2029506.24,1424.61,0.75,0.78,106,0,0.476
tensorflow,Module_UC,DOCS,0.88,0.88,24.78,5935.06,77.04,0.58,0.63,106,0,0.358
neutron,Line_CC,DOCS,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.714
neutron,Line_EC,DOCS,0.83,0.83,411.61,941211.64,970.16,0.69,0.76,203,0,0.459
neutron,Line_UC,DOCS,0.08,0.06,231.69,7886541.82,2808.3,0.88,0.89,203,0,0.603
neutron,Module_CC,DOCS,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.714
neutron,Module_EC,DOCS,0.86,0.86,16.98,2804.49,52.96,0.72,0.81,203,0,0.459
neutron,Module_UC,DOCS,0.8,0.8,3.05,206.22,14.36,0.87,0.88,203,0,0.603
moby,Line_CC,DOCS,1.0,1.0,1.01,107.67,10.38,0.99,0.99,319,0,0.744
moby,Line_EC,DOCS,1.0,1.0,0.0,0.0,0.0,1.0,1.0,319,0,0.699
moby,Line_UC,DOCS,0.78,0.78,3658.63,184953392.71,13599.76,0.55,0.61,319,0,0.38
moby,Module_CC,DOCS,1.0,1.0,0.02,0.04,0.19,0.99,0.99,319,0,0.744
moby,Module_EC,DOCS,1.0,1.0,0.0,0.0,0.0,1.0,1.0,319,0,0.699
moby,Module_UC,DOCS,0.93,0.93,30.78,8244.1,90.8,0.61,0.67,319,0,0.38
angular,Line_CC,DOCS,0.86,0.86,5516.07,316542095.33,17791.63,0.37,0.48,411,0,0.174
angular,Line_EC,DOCS,0.81,0.81,1134.51,15678281.31,3959.58,0.73,0.75,411,0,0.513
angular,Line_UC,DOCS,0.91,0.91,872.32,7343959.64,2709.97,0.53,0.63,411,0,0.302
angular,Module_CC,DOCS,0.68,0.68,148.5,253882.36,503.87,0.48,0.61,411,0,0.174
angular,Module_EC,DOCS,0.99,0.99,12.97,3391.43,58.24,0.8,0.85,411,0,0.513
angular,Module_UC,DOCS,0.89,0.89,27.03,8962.43,94.67,0.64,0.73,411,0,0.302
home-assistant,Line_CC,DOCS,0.32,0.32,32.9,141942.36,376.75,0.96,0.96,560,0,0.714
home-assistant,Line_EC,DOCS,0.46,0.46,224.13,5823968.93,2413.29,0.97,0.98,560,0,0.728
home-assistant,Line_UC,DOCS,0.53,0.53,22.37,23880.36,154.53,0.94,0.95,560,0,0.704
home-assistant,Module_CC,DOCS,0.5,0.5,2.47,1369.73,37.01,0.97,0.97,560,0,0.714
home-assistant,Module_EC,DOCS,0.09,0.08,22.23,61513.48,248.02,0.97,0.97,560,0,0.728
home-assistant,Module_UC,DOCS,0.12,0.11,3.32,1600.55,40.01,0.94,0.94,560,0,0.704
node,Line_CC,DOCS,0.85,0.85,2609.35,101103722.1,10055.03,0.71,0.76,596,0,0.46
node,Line_EC,DOCS,0.92,0.92,758.66,12288337.19,3505.47,0.87,0.9,596,0,0.568
node,Line_UC,DOCS,0.78,0.78,1064.0,18837288.72,4340.19,0.57,0.64,596,0,0.266
node,Module_CC,DOCS,0.92,0.92,10.35,1602.48,40.03,0.88,0.9,596,0,0.46
node,Module_EC,DOCS,0.98,0.98,2.06,122.41,11.06,0.94,0.98,596,0,0.568
node,Module_UC,DOCS,0.94,0.94,7.55,717.36,26.78,0.71,0.79,596,0,0.266
gitlabhq,Line_CC,DOCS,0.84,0.84,514.92,58821856.36,7669.54,0.76,0.81,1154,0,0.512
gitlabhq,Line_EC,DOCS,0.94,0.94,98.15,61811.57,248.62,0.73,0.78,1154,0,0.492
gitlabhq,Line_UC,DOCS,0.82,0.82,642.28,17745053.07,4212.49,0.68,0.79,1154,0,0.416
gitlabhq,Module_CC,DOCS,0.99,0.99,8.31,2064.34,45.43,0.77,0.82,1154,0,0.512
gitlabhq,Module_EC,DOCS,0.96,0.96,3.39,80.12,8.95,0.77,0.84,1154,0,0.492
