Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
moby,Module,REFACTOR,0.58,0.57,7.32,1931.61,43.95,0.05,0.1,113,206,0.614
tensorflow,Line,UPGRADE,0.78,0.77,237.82,400362.71,632.74,0.05,0.12,41,65,0.5
tensorflow,Module,UPGRADE,0.91,0.9,5.54,190.16,13.79,0.2,0.29,41,65,0.5
vue,Line,TESTING,1.0,1.0,422.06,4807166.58,2192.53,0.06,0.11,156,92,0.557
vue,Module,TESTING,1.0,1.0,12.03,3207.46,56.63,0.06,0.14,156,92,0.557
neutron,Line,UPGRADE,0.29,0.27,1272.68,6470325.56,2543.68,0.0,0.06,67,136,0.478
neutron,Module,UPGRADE,0.61,0.59,19.05,816.52,28.57,0.1,0.21,67,136,0.478
angular,Line,TESTING,0.62,0.62,7543.23,171504642.32,13095.98,0.04,0.11,157,254,0.417
angular,Module,TESTING,0.93,0.93,55.77,7710.32,87.81,0.22,0.36,157,254,0.417
home-assistant,Line,TESTING,0.14,0.13,5011.77,893602441.53,29893.18,0.01,0.01,345,215,0.602
home-assistant,Module,TESTING,0.56,0.56,40.27,29561.5,171.93,0.02,0.04,345,215,0.602
node,Line,TESTING,0.86,0.86,9672.03,345109370.52,18577.12,0.18,0.25,564,32,0.326
node,Module,TESTING,0.88,0.88,595.88,1093738.43,1045.82,0.16,0.26,564,32,0.326
gitlabhq,Line,TESTING,0.14,0.14,31678.21,11247915378.46,106056.19,0.0,0.02,709,445,0.483
gitlabhq,Module,TESTING,0.22,0.22,744.89,4449519.24,2109.39,0.01,0.02,709,445,0.483
tensorflow,Line,RELEASE,0.13,0.08,14019.25,1087132183.78,32971.69,0.0,0.02,41,65,0.404
tensorflow,Module,RELEASE,0.12,0.05,54.65,11305.63,106.33,0.07,0.15,41,65,0.404
moby,Line,TESTING,0.82,0.82,1168.13,48030585.14,6930.41,0.08,0.16,113,206,0.557
moby,Module,TESTING,0.84,0.84,29.15,29989.6,173.18,0.13,0.2,113,206,0.557
neutron,Line,RELEASE,0.59,0.58,260.75,116264.46,340.98,0.19,0.24,67,136,0.448
neutron,Module,RELEASE,0.81,0.8,9.85,307.8,17.54,0.19,0.28,67,136,0.448
vue,Line,FEATURE,0.95,0.95,98.75,233990.75,483.73,0.04,0.04,156,92,0.637
vue,Module,FEATURE,0.85,0.85,4.19,231.71,15.22,0.02,0.04,156,92,0.637
angular,Line,FEATURE,0.98,0.98,1333.8,5840976.98,2416.81,0.08,0.14,157,254,0.525
angular,Module,FEATURE,0.99,0.99,32.78,3488.85,59.07,0.08,0.15,157,254,0.525
tensorflow,Line,SUPPORT,0.97,0.97,798.98,6304143.76,2510.81,0.05,0.17,41,65,0.571
tensorflow,Module,SUPPORT,0.99,0.99,11.45,1010.0,31.78,0.07,0.2,41,65,0.571
home-assistant,Line,FEATURE,0.55,0.55,1291.02,131423060.23,11463.99,0.01,0.01,345,215,0.653
home-assistant,Module,FEATURE,0.82,0.82,9.95,7408.18,86.07,0.01,0.02,345,215,0.653
node,Line,FEATURE,0.54,0.54,79.98,35442.73,188.26,0.09,0.12,564,32,0.568
node,Module,FEATURE,0.8,0.8,3.88,45.29,6.73,0.04,0.13,564,32,0.568
neutron,Line,SUPPORT,0.75,0.74,1985.84,9824446.92,3134.4,0.06,0.18,67,136,0.403
neutron,Module,SUPPORT,0.96,0.96,25.6,1402.19,37.45,0.3,0.54,67,136,0.403
gitlabhq,Line,FEATURE,0.41,0.41,559.68,1364729.37,1168.22,0.07,0.15,709,445,0.518
gitlabhq,Module,FEATURE,0.55,0.55,22.05,4044.54,63.6,0.12,0.22,709,445,0.518
moby,Line,FEATURE,0.06,0.04,35.48,36991.64,192.33,0.0,0.01,113,206,0.632
moby,Module,FEATURE,0.37,0.35,0.84,20.49,4.53,0.01,0.02,113,206,0.632
tensorflow,Line,OTHER,0.84,0.83,65127.05,18890453287.01,137442.55,0.02,0.07,41,65,0.188
tensorflow,Module,OTHER,0.84,0.83,1166.34,4705283.19,2169.17,0.05,0.05,41,65,0.188
neutron,Line,OTHER,0.96,0.96,9282.17,197530341.38,14054.55,0.45,0.7,67,136,0.242
neutron,Module,OTHER,0.99,0.99,232.59,79471.22,281.91,0.61,0.75,67,136,0.242
angular,Line,UPGRADE,0.5,0.49,1495.13,10223469.12,3197.42,0.1,0.18,157,254,0.518
angular,Module,UPGRADE,0.29,0.28,78.14,74266.46,272.52,0.03,0.06,157,254,0.518
vue,Line,UPGRADE,0.5,0.49,11.33,3416.46,58.45,0.0,0.0,156,92,0.668
vue,Module,UPGRADE,0.61,0.6,1.52,45.5,6.75,0.01,0.01,156,92,0.668
home-assistant,Line,UPGRADE,0.21,0.21,421.62,6647969.89,2578.37,0.03,0.04,345,215,0.587
home-assistant,Module,UPGRADE,0.86,0.86,23.6,9834.58,99.17,0.07,0.15,345,215,0.587
node,Line,UPGRADE,0.76,0.76,210991.15,129508097525.27,359872.34,0.23,0.39,564,32,0.366
node,Module,UPGRADE,0.83,0.83,2414.41,15571760.08,3946.11,0.18,0.4,564,32,0.366
gitlabhq,Line,UPGRADE,0.22,0.22,363.37,2101818.93,1449.77,0.01,0.05,709,445,0.523
gitlabhq,Module,UPGRADE,0.76,0.76,7.11,346.11,18.6,0.08,0.18,709,445,0.523
moby,Line,UPGRADE,0.46,0.45,50.09,17449.64,132.1,0.03,0.08,113,206,0.588
moby,Module,UPGRADE,0.72,0.71,1.7,15.23,3.9,0.09,0.24,113,206,0.588
angular,Line,RELEASE,0.49,0.48,169.07,107900.37,328.48,0.13,0.22,157,254,0.374
angular,Module,RELEASE,0.96,0.96,3.12,32.11,5.67,0.51,0.67,157,254,0.374
vue,Line,RELEASE,0.99,0.99,1022.76,4708821.45,2169.98,0.06,0.14,156,92,0.455
vue,Module,RELEASE,1.0,1.0,2.14,22.51,4.74,0.31,0.49,156,92,0.455
home-assistant,Line,RELEASE,0.01,0.0,37.2,59249.29,243.41,0.01,0.01,345,215,0.613
home-assistant,Module,RELEASE,0.03,0.02,4.09,427.51,20.68,0.0,0.01,345,215,0.613
node,Line,RELEASE,0.92,0.92,175.62,81314.13,285.16,0.26,0.33,564,32,0.407
node,Module,RELEASE,0.91,0.91,5.42,89.73,9.47,0.28,0.39,564,32,0.407
gitlabhq,Line,RELEASE,0.59,0.59,97.87,83578.91,289.1,0.02,0.03,709,445,0.577
gitlabhq,Module,RELEASE,0.72,0.72,3.3,89.92,9.48,0.03,0.06,709,445,0.577
moby,Line,RELEASE,0.05,0.03,46.07,28623.28,169.18,0.04,0.07,113,206,0.605
moby,Module,RELEASE,0.29,0.27,1.82,19.06,4.37,0.04,0.1,113,206,0.605
angular,Line,SUPPORT,0.75,0.75,521.69,718505.64,847.65,0.04,0.04,157,254,0.585
angular,Module,SUPPORT,0.79,0.79,6.78,141.1,11.88,0.01,0.02,157,254,0.585
