Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
moby,Line,TESTING,1.0,1.0,536.99,2413495.4,1553.54,0.18,0.35,113,206,0.557
moby,Module,TESTING,1.0,1.0,11.37,1645.96,40.57,0.3,0.5,113,206,0.557
angular,Line,TESTING,1.0,1.0,7984.36,294944595.78,17173.95,0.24,0.32,157,254,0.417
angular,Module,TESTING,1.0,1.0,54.01,17237.34,131.29,0.35,0.55,157,254,0.417
home-assistant,Line,TESTING,1.0,1.0,4864.13,1556900575.97,39457.58,0.01,0.06,345,215,0.602
home-assistant,Module,TESTING,1.0,1.0,46.32,52834.51,229.86,0.18,0.32,345,215,0.602
gitlabhq,Line,TESTING,1.0,1.0,16568.36,10258407603.57,101283.8,0.36,0.44,709,445,0.483
gitlabhq,Module,TESTING,1.0,1.0,321.3,3876082.98,1968.78,0.44,0.53,709,445,0.483
node,Line,TESTING,1.0,1.0,9475.73,411271040.34,20279.82,0.3,0.46,564,32,0.326
node,Module,TESTING,1.0,1.0,394.54,743754.99,862.41,0.41,0.62,564,32,0.326
tensorflow,Line,FEATURE,1.0,1.0,763.29,11602476.9,3406.24,0.0,0.17,41,65,0.632
tensorflow,Module,FEATURE,1.0,1.0,5.8,613.37,24.77,0.0,0.17,41,65,0.632
neutron,Line,FEATURE,1.0,1.0,49.97,63905.67,252.8,0.54,0.62,67,136,0.632
neutron,Module,FEATURE,1.0,1.0,1.22,25.04,5.0,0.46,0.69,67,136,0.632
vue,Line,FEATURE,1.0,1.0,30.72,18542.8,136.17,0.22,0.35,156,92,0.637
vue,Module,FEATURE,1.0,1.0,3.14,157.19,12.54,0.17,0.3,156,92,0.637
moby,Line,FEATURE,1.0,1.0,23.11,5595.83,74.81,0.12,0.18,113,206,0.632
moby,Module,FEATURE,1.0,1.0,0.42,1.53,1.24,0.06,0.18,113,206,0.632
angular,Line,FEATURE,1.0,1.0,2253.55,133340545.58,11547.32,0.31,0.37,157,254,0.525
angular,Module,FEATURE,1.0,1.0,42.36,81215.93,284.98,0.45,0.71,157,254,0.525
home-assistant,Line,FEATURE,1.0,1.0,631.48,43069496.14,6562.74,0.13,0.18,345,215,0.653
home-assistant,Module,FEATURE,1.0,1.0,8.59,6602.85,81.26,0.06,0.14,345,215,0.653
tensorflow,Line,UPGRADE,1.0,1.0,313.68,777583.0,881.81,0.04,0.13,41,65,0.5
tensorflow,Module,UPGRADE,1.0,1.0,10.37,620.07,24.9,0.43,0.52,41,65,0.5
gitlabhq,Line,FEATURE,1.0,1.0,437.21,1810784.63,1345.65,0.34,0.4,709,445,0.518
gitlabhq,Module,FEATURE,1.0,1.0,17.52,3214.86,56.7,0.34,0.48,709,445,0.518
neutron,Line,UPGRADE,1.0,1.0,1015.15,8731953.09,2954.99,0.41,0.43,67,136,0.478
neutron,Module,UPGRADE,1.0,1.0,17.4,1602.36,40.03,0.48,0.63,67,136,0.478
node,Line,FEATURE,1.0,1.0,58.47,41480.24,203.67,0.67,0.75,564,32,0.568
node,Module,FEATURE,1.0,1.0,2.19,54.47,7.38,0.64,0.72,564,32,0.568
vue,Line,UPGRADE,1.0,1.0,4.77,487.29,22.07,0.0,0.0,156,92,0.668
vue,Module,UPGRADE,1.0,1.0,0.58,8.07,2.84,0.0,0.1,156,92,0.668
moby,Line,UPGRADE,1.0,1.0,59.1,26331.03,162.27,0.04,0.13,113,206,0.588
moby,Module,UPGRADE,1.0,1.0,1.28,12.66,3.56,0.34,0.43,113,206,0.588
angular,Line,UPGRADE,1.0,1.0,1695.69,13975633.28,3738.4,0.11,0.26,157,254,0.518
angular,Module,UPGRADE,1.0,1.0,46.89,99717.42,315.78,0.4,0.51,157,254,0.518
home-assistant,Line,UPGRADE,1.0,1.0,711.22,24128826.26,4912.11,0.3,0.52,345,215,0.587
home-assistant,Module,UPGRADE,1.0,1.0,25.55,14021.43,118.41,0.43,0.7,345,215,0.587
tensorflow,Line,RELEASE,1.0,1.0,10769.78,840167783.29,28985.65,0.13,0.23,41,65,0.404
tensorflow,Module,RELEASE,1.0,1.0,42.44,14380.0,119.92,0.13,0.27,41,65,0.404
neutron,Line,RELEASE,1.0,1.0,197.16,125397.79,354.12,0.43,0.59,67,136,0.448
neutron,Module,RELEASE,1.0,1.0,6.96,288.06,16.97,0.57,0.76,67,136,0.448
vue,Line,RELEASE,1.0,1.0,3216.99,146620107.13,12108.68,0.37,0.42,156,92,0.455
vue,Module,RELEASE,1.0,1.0,5.95,832.29,28.85,0.61,0.65,156,92,0.455
gitlabhq,Line,UPGRADE,1.0,1.0,389.15,4101310.99,2025.17,0.36,0.46,709,445,0.523
gitlabhq,Module,UPGRADE,1.0,1.0,5.1,429.66,20.73,0.48,0.6,709,445,0.523
moby,Line,RELEASE,1.0,1.0,46.73,43928.45,209.59,0.0,0.12,113,206,0.605
moby,Module,RELEASE,1.0,1.0,2.06,39.85,6.31,0.11,0.25,113,206,0.605
node,Line,UPGRADE,1.0,1.0,145754.97,112278572121.96,335079.95,0.38,0.48,564,32,0.366
node,Module,UPGRADE,1.0,1.0,1351.0,6222575.22,2494.51,0.4,0.55,564,32,0.366
angular,Line,RELEASE,1.0,1.0,181.7,168239.33,410.17,0.3,0.45,157,254,0.374
angular,Module,RELEASE,1.0,1.0,4.56,115.97,10.77,0.57,0.68,157,254,0.374
home-assistant,Line,RELEASE,1.0,1.0,23.72,85363.92,292.17,0.1,0.1,345,215,0.613
home-assistant,Module,RELEASE,1.0,1.0,1.51,282.89,16.82,0.18,0.21,345,215,0.613
tensorflow,Line,SUPPORT,1.0,1.0,414.02,2066020.51,1437.37,0.29,0.43,41,65,0.571
tensorflow,Module,SUPPORT,1.0,1.0,13.63,2471.34,49.71,0.36,0.36,41,65,0.571
neutron,Line,SUPPORT,1.0,1.0,1540.88,12538692.22,3541.0,0.55,0.67,67,136,0.403
neutron,Module,SUPPORT,1.0,1.0,33.25,7223.52,84.99,0.59,0.71,67,136,0.403
vue,Line,SUPPORT,1.0,1.0,96.27,194271.58,440.76,0.14,0.33,156,92,0.605
vue,Module,SUPPORT,1.0,1.0,4.26,405.18,20.13,0.26,0.44,156,92,0.605
moby,Line,SUPPORT,1.0,1.0,118.73,173525.83,416.56,0.17,0.25,113,206,0.606
moby,Module,SUPPORT,1.0,1.0,3.73,205.03,14.32,0.17,0.39,113,206,0.606
gitlabhq,Line,RELEASE,1.0,1.0,32.51,89087.22,298.47,0.4,0.47,709,445,0.577
gitlabhq,Module,RELEASE,1.0,1.0,1.51,118.61,10.89,0.59,0.69,709,445,0.577
angular,Line,SUPPORT,1.0,1.0,182.84,636969.22,798.1,0.38,0.58,157,254,0.585
angular,Module,SUPPORT,1.0,1.0,3.57,129.98,11.4,0.35,0.35,157,254,0.585
node,Line,RELEASE,1.0,1.0,118.06,62863.66,250.73,0.38,0.52,564,32,0.407
node,Module,RELEASE,1.0,1.0,4.71,127.0,11.27,0.46,0.62,564,32,0.407
home-assistant,Line,SUPPORT,1.0,1.0,1333.35,41881576.47,6471.6,0.22,0.44,345,215,0.602
home-assistant,Module,SUPPORT,1.0,1.0,25.32,22021.75,148.4,0.16,0.4,345,215,0.602
tensorflow,Line,OTHER,1.0,1.0,49457.34,22865259550.22,151212.63,0.1,0.12,41,65,0.188
tensorflow,Module,OTHER,1.0,1.0,978.9,6086241.2,2467.03,0.15,0.27,41,65,0.188
neutron,Line,OTHER,1.0,1.0,15564.58,693899461.99,26341.97,0.44,0.73,67,136,0.242
neutron,Module,OTHER,1.0,1.0,291.82,204554.69,452.28,0.59,0.83,67,136,0.242
vue,Line,OTHER,1.0,1.0,9481.96,918381823.51,30304.82,0.1,0.23,156,92,0.404
vue,Module,OTHER,1.0,1.0,96.59,229078.82,478.62,0.33,0.62,156,92,0.404
moby,Line,OTHER,1.0,1.0,6692.85,831922308.55,28843.06,0.15,0.29,113,206,0.48
moby,Module,OTHER,1.0,1.0,89.42,56033.23,236.71,0.26,0.54,113,206,0.48
gitlabhq,Line,SUPPORT,1.0,1.0,493.79,5794525.91,2407.18,0.4,0.56,709,445,0.548
gitlabhq,Module,SUPPORT,1.0,1.0,5.6,500.15,22.36,0.57,0.68,709,445,0.548
angular,Line,OTHER,1.0,1.0,45068.96,18140876213.2,134688.07,0.22,0.35,157,254,0.355
angular,Module,OTHER,1.0,1.0,215.89,252821.26,502.81,0.22,0.34,157,254,0.355
home-assistant,Line,OTHER,1.0,1.0,9785.5,1752776217.81,41866.17,0.18,0.37,345,215,0.356
home-assistant,Module,OTHER,1.0,1.0,617.21,9741870.07,3121.2,0.36,0.58,345,215,0.356
node,Line,SUPPORT,1.0,1.0,3391.39,100639978.62,10031.95,0.28,0.45,564,32,0.397
node,Module,SUPPORT,1.0,1.0,20.11,1680.66,41.0,0.46,0.7,564,32,0.397
gitlabhq,Line,OTHER,1.0,1.0,19666.46,2955323086.55,54362.88,0.28,0.46,709,445,0.257
gitlabhq,Module,OTHER,1.0,1.0,293.87,399577.7,632.12,0.38,0.59,709,445,0.257
node,Line,OTHER,1.0,1.0,263828.38,276228934908.17,525574.86,0.3,0.49,564,32,0.27
node,Module,OTHER,1.0,1.0,1642.15,12797055.89,3577.3,0.44,0.65,564,32,0.27
orleans,Line,BUG,1.0,1.0,603.75,2428086.83,1558.23,0.3,0.35,72,42,0.402
orleans,Module,BUG,1.0,1.0,31.78,6377.14,79.86,0.32,0.47,72,42,0.402
cli,Line,BUG,1.0,1.0,11859.54,966985770.57,31096.39,0.19,0.27,91,18,0.407
cli,Module,BUG,1.0,1.0,34.3,3439.37,58.65,0.23,0.39,91,18,0.407
ansible,Line,BUG,1.0,1.0,34073.03,16841027863.77,129772.99,0.5,0.64,127,176,0.204
ansible,Module,BUG,1.0,1.0,1032.56,15254467.17,3905.7,0.63,0.75,127,176,0.204
nova,Line,BUG,1.0,1.0,1732.0,7237403.95,2690.24,0.62,0.86,87,147,0.182
nova,Module,BUG,1.0,1.0,98.59,26720.72,163.46,0.68,0.86,87,147,0.182
angular.js,Line,BUG,1.0,1.0,8012.28,498309406.45,22322.84,0.29,0.49,142,62,0.151
