Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
home-assistant,Line,REFACTOR,0.99,0.99,1924.74,174055330.5,13193.0,0.01,0.03,560,0,0.644
home-assistant,Module,REFACTOR,0.99,0.99,9.4,4463.07,66.81,0.07,0.09,560,0,0.644
gitlabhq,Line,REFACTOR,0.79,0.79,1231.93,9381793.67,3062.97,0.05,0.1,1154,0,0.511
gitlabhq,Module,REFACTOR,0.94,0.94,26.89,6618.82,81.36,0.09,0.16,1154,0,0.511
angular,Line,REFACTOR,0.86,0.86,9328.04,270358544.52,16442.58,0.15,0.24,411,0,0.339
angular,Module,REFACTOR,0.91,0.91,309.5,409643.61,640.03,0.15,0.25,411,0,0.339
moby,Line,REFACTOR,0.89,0.89,529.96,1589505.08,1260.76,0.05,0.07,319,0,0.596
moby,Module,REFACTOR,0.89,0.89,7.49,216.84,14.73,0.06,0.13,319,0,0.596
vue,Line,TESTING,1.0,1.0,235.26,622165.7,788.77,0.1,0.18,248,0,0.558
vue,Module,TESTING,1.0,1.0,5.71,404.5,20.11,0.12,0.22,248,0,0.558
node,Line,REFACTOR,0.94,0.94,5557.99,203505763.99,14265.54,0.14,0.24,596,0,0.424
node,Module,REFACTOR,0.93,0.93,63.01,9711.7,98.55,0.17,0.26,596,0,0.424
neutron,Line,REFACTOR,0.95,0.95,715.42,1632989.95,1277.88,0.15,0.23,203,0,0.53
neutron,Module,REFACTOR,0.95,0.95,18.19,1007.27,31.74,0.15,0.22,203,0,0.53
ansible,Line,TESTING,0.97,0.97,38885.66,7230152625.77,85030.3,0.17,0.28,303,0,0.31
ansible,Module,TESTING,0.97,0.97,2522.94,26716714.03,5168.82,0.17,0.24,303,0,0.31
home-assistant,Line,TESTING,0.98,0.98,8954.16,2261700833.11,47557.34,0.01,0.03,560,0,0.601
home-assistant,Module,TESTING,0.85,0.85,39.34,25458.54,159.56,0.04,0.07,560,0,0.601
orleans,Line,REFACTOR,0.95,0.95,455.61,1127658.41,1061.91,0.05,0.08,114,0,0.614
orleans,Module,REFACTOR,0.96,0.96,8.95,232.73,15.26,0.06,0.11,114,0,0.614
roslyn,Line,TESTING,0.99,0.99,99726.65,191288161607.25,437365.02,0.06,0.18,102,0,0.388
roslyn,Module,TESTING,0.98,0.98,945.33,6802978.63,2608.25,0.09,0.24,102,0,0.388
tensorflow,Line,REFACTOR,1.0,1.0,3814.59,197520797.2,14054.21,0.2,0.24,106,0,0.502
tensorflow,Module,REFACTOR,0.98,0.98,76.46,48902.95,221.14,0.06,0.16,106,0,0.502
angular,Line,TESTING,0.65,0.65,16309.13,539886415.81,23235.46,0.05,0.13,411,0,0.365
angular,Module,TESTING,0.94,0.94,111.33,105436.92,324.71,0.14,0.25,411,0,0.365
cli,Line,REFACTOR,0.99,0.99,2625.17,161959631.81,12726.34,0.14,0.26,109,0,0.511
cli,Module,REFACTOR,0.94,0.94,54.73,22666.05,150.55,0.09,0.19,109,0,0.511
gitlabhq,Line,TESTING,0.9,0.9,25728.65,14789684489.69,121612.85,0.06,0.11,1154,0,0.451
gitlabhq,Module,TESTING,0.83,0.83,1004.39,8687067.07,2947.38,0.01,0.03,1154,0,0.451
vue,Line,FEATURE,1.0,1.0,32.69,24499.74,156.52,0.06,0.1,248,0,0.643
vue,Module,FEATURE,1.0,1.0,1.72,71.29,8.44,0.38,0.42,248,0,0.643
moby,Line,TESTING,0.91,0.91,1861.73,35915888.98,5992.99,0.07,0.12,319,0,0.514
moby,Module,TESTING,0.91,0.91,31.25,5868.58,76.61,0.09,0.18,319,0,0.514
node,Line,TESTING,0.9,0.9,12404.52,418236617.98,20450.83,0.15,0.23,596,0,0.331
node,Module,TESTING,0.93,0.93,562.91,1088160.83,1043.15,0.17,0.28,596,0,0.331
home-assistant,Line,FEATURE,0.98,0.98,245.06,9608171.43,3099.71,0.01,0.01,560,0,0.654
home-assistant,Module,FEATURE,1.0,1.0,5.08,2197.67,46.88,0.01,0.03,560,0,0.654
ansible,Line,FEATURE,0.99,0.99,6791.57,387844091.89,19693.76,0.14,0.18,303,0,0.488
ansible,Module,FEATURE,0.99,0.99,45.66,27571.96,166.05,0.15,0.24,303,0,0.488
neutron,Line,TESTING,0.94,0.94,5446.17,155245252.18,12459.75,0.13,0.26,203,0,0.386
neutron,Module,TESTING,0.97,0.97,99.39,44805.28,211.67,0.17,0.33,203,0,0.386
gitlabhq,Line,FEATURE,0.6,0.6,667.11,2808470.03,1675.85,0.06,0.13,1154,0,0.49
gitlabhq,Module,FEATURE,0.89,0.89,29.0,6475.67,80.47,0.08,0.15,1154,0,0.49
tensorflow,Line,TESTING,0.96,0.96,13012.98,910127997.68,30168.33,0.06,0.14,106,0,0.335
tensorflow,Module,TESTING,0.98,0.98,141.28,88830.69,298.04,0.14,0.33,106,0,0.335
roslyn,Line,FEATURE,0.98,0.98,13740.06,1397315965.5,37380.69,0.08,0.08,102,0,0.492
roslyn,Module,FEATURE,0.98,0.98,699.74,4578989.62,2139.86,0.02,0.06,102,0,0.492
vue,Line,UPGRADE,1.0,1.0,71.51,561095.01,749.06,0.06,0.06,248,0,0.659
vue,Module,UPGRADE,0.99,0.99,0.55,10.13,3.18,0.48,0.5,248,0,0.659
orleans,Line,TESTING,0.97,0.97,2413.41,38917524.12,6238.39,0.06,0.14,114,0,0.424
orleans,Module,TESTING,0.95,0.95,160.37,118971.79,344.92,0.08,0.11,114,0,0.424
angular,Line,FEATURE,0.96,0.96,10135.83,1304427026.17,36116.85,0.14,0.25,411,0,0.392
angular,Module,FEATURE,0.92,0.92,198.74,249803.37,499.8,0.15,0.26,411,0,0.392
node,Line,FEATURE,0.75,0.75,80.09,35488.77,188.38,0.26,0.32,596,0,0.573
node,Module,FEATURE,0.69,0.69,6.72,65.47,8.09,0.05,0.18,596,0,0.573
cli,Line,TESTING,1.0,1.0,34539.12,27963993464.14,167224.38,0.1,0.16,109,0,0.405
cli,Module,TESTING,0.99,0.99,178.08,444651.47,666.82,0.14,0.2,109,0,0.405
gitlabhq,Line,UPGRADE,0.78,0.78,703.27,5201467.58,2280.67,0.03,0.05,1154,0,0.501
gitlabhq,Module,UPGRADE,0.88,0.88,11.96,1560.32,39.5,0.08,0.16,1154,0,0.501
home-assistant,Line,UPGRADE,0.92,0.92,652.15,6389293.99,2527.71,0.03,0.06,560,0,0.578
home-assistant,Module,UPGRADE,0.95,0.95,34.8,15049.87,122.68,0.08,0.12,560,0,0.578
orleans,Line,FEATURE,1.0,1.0,87.76,108148.66,328.86,0.83,0.83,114,0,0.644
orleans,Module,FEATURE,1.0,1.0,5.76,751.5,27.41,0.91,0.91,114,0,0.644
moby,Line,FEATURE,0.89,0.89,61.12,41061.19,202.64,0.04,0.07,319,0,0.629
moby,Module,FEATURE,0.87,0.87,1.52,15.5,3.94,0.08,0.12,319,0,0.629
vue,Line,RELEASE,0.95,0.95,2678.63,17215166.89,4149.12,0.02,0.04,248,0,0.487
vue,Module,RELEASE,0.99,0.99,2.51,16.25,4.03,0.15,0.34,248,0,0.487
ansible,Line,UPGRADE,0.96,0.96,1316.91,14412154.52,3796.33,0.16,0.2,303,0,0.418
ansible,Module,UPGRADE,0.98,0.98,21.53,1896.8,43.55,0.21,0.34,303,0,0.418
angular,Line,UPGRADE,0.7,0.7,2063.57,15347390.95,3917.57,0.05,0.1,411,0,0.511
angular,Module,UPGRADE,0.98,0.98,28.63,36510.66,191.08,0.09,0.19,411,0,0.511
neutron,Line,FEATURE,0.88,0.88,268.05,334498.72,578.36,0.05,0.1,203,0,0.603
neutron,Module,FEATURE,0.91,0.91,5.86,117.94,10.86,0.05,0.09,203,0,0.603
roslyn,Line,UPGRADE,1.0,1.0,3179.06,184580236.46,13586.03,0.06,0.07,102,0,0.533
roslyn,Module,UPGRADE,0.92,0.92,90.88,35956.52,189.62,0.05,0.07,102,0,0.533
tensorflow,Line,FEATURE,0.93,0.93,1897.53,14783946.78,3844.99,0.03,0.09,106,0,0.498
tensorflow,Module,FEATURE,0.92,0.92,20.76,1840.32,42.9,0.07,0.18,106,0,0.498
cli,Line,FEATURE,0.97,0.97,92.17,214579.58,463.23,0.01,0.06,109,0,0.628
cli,Module,FEATURE,0.99,0.99,5.78,543.45,23.31,0.17,0.19,109,0,0.628
vue,Line,SUPPORT,0.99,0.99,85.42,47491.71,217.93,0.33,0.38,248,0,0.593
vue,Module,SUPPORT,1.0,1.0,4.18,118.62,10.89,0.07,0.19,248,0,0.593
home-assistant,Line,RELEASE,1.0,1.0,16.91,60701.77,246.38,0.45,0.46,560,0,0.632
home-assistant,Module,RELEASE,0.99,0.99,1.66,263.8,16.24,0.35,0.36,560,0,0.632
gitlabhq,Line,RELEASE,0.78,0.78,111.55,166741.97,408.34,0.03,0.05,1154,0,0.575
gitlabhq,Module,RELEASE,0.8,0.8,4.54,211.73,14.55,0.04,0.09,1154,0,0.575
moby,Line,UPGRADE,0.76,0.76,170.13,87048.63,295.04,0.02,0.07,319,0,0.58
