Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
tensorflow,Line,BUG,0.28,0.24,11411.99,1478798812.04,38455.15,0.14,0.29,106,0,0.204
tensorflow,Module,BUG,0.61,0.59,398.93,899893.24,948.63,0.15,0.29,106,0,0.204
neutron,Line,BUG,0.05,0.03,15692.48,3301613045.3,57459.66,0.3,0.51,203,0,0.352
neutron,Module,BUG,0.79,0.78,97.89,44873.13,211.83,0.44,0.64,203,0,0.352
orleans,Line,BUG,0.67,0.65,929.1,4796474.58,2190.09,0.11,0.19,114,0,0.353
orleans,Module,BUG,0.64,0.62,74.11,28689.88,169.38,0.11,0.24,114,0,0.353
roslyn,Line,BUG,0.36,0.33,42284.42,12712143624.65,112748.14,0.06,0.18,102,0,0.352
roslyn,Module,BUG,0.4,0.37,1109.22,10625711.59,3259.71,0.08,0.18,102,0,0.352
vue,Line,BUG,0.22,0.2,548.32,5332759.78,2309.28,0.19,0.34,248,0,0.452
vue,Module,BUG,0.27,0.25,35.81,21736.78,147.43,0.23,0.46,248,0,0.452
cli,Line,BUG,-0.02,-0.07,2411.92,191550539.18,13840.18,0.11,0.26,109,0,0.401
cli,Module,BUG,0.26,0.22,31.13,2813.45,53.04,0.16,0.35,109,0,0.401
moby,Line,BUG,0.1,0.09,1481.9,12621744.8,3552.71,0.08,0.17,319,0,0.476
moby,Module,BUG,0.03,0.01,77.07,39898.64,199.75,0.09,0.16,319,0,0.476
angular,Line,BUG,0.56,0.55,9133.82,484343654.54,22007.81,0.23,0.41,411,0,0.253
angular,Module,BUG,0.39,0.38,374.7,1133610.37,1064.71,0.34,0.55,411,0,0.253
ansible,Line,BUG,0.85,0.85,94805.33,49334004960.55,222112.6,0.11,0.24,303,0,0.219
ansible,Module,BUG,0.84,0.84,4637.7,112575693.95,10610.17,0.14,0.29,303,0,0.219
tensorflow,Line,DOCS,0.1,0.06,8402.03,1059030556.62,32542.75,0.03,0.17,106,0,0.397
tensorflow,Module,DOCS,0.03,-0.02,253.88,2079804.08,1442.15,0.13,0.26,106,0,0.397
node,Line,BUG,0.86,0.86,6982.51,257440891.56,16044.96,0.2,0.34,596,0,0.307
node,Module,BUG,0.94,0.94,204.92,230639.14,480.25,0.3,0.4,596,0,0.307
