,Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
0,Odin,Line,BUG,-7.52,9.52,1794.28,3647799.01,1909.92,0.0,0.0,132
0,Odin,Module,BUG,-70.83,36.92,117.85,14078.22,118.65,0.0,0.0,132
0,angular,Line,BUG,0.77,0.76,7062.17,130427998.27,11420.51,0.35,0.57,7172
0,angular,Line,DOCS,0.44,0.43,8255.22,247045886.16,15717.69,0.32,0.48,6996
0,angular,Line,FEATURE,0.89,0.89,3566.4,40765779.33,6384.81,0.68,0.8,5764
0,angular,Line,OTHER,0.41,0.39,18361.77,1935760708.09,43997.28,0.22,0.38,6930
0,angular,Line,REFACTOR,0.72,0.71,4386.86,76448223.3,8743.47,0.43,0.69,6490
0,angular,Line,RELEASE,0.4,0.38,140.54,84051.49,289.92,0.3,0.47,6160
0,angular,Line,SUPPORT,0.92,0.91,212.88,263526.58,513.35,0.48,0.59,2376
0,angular,Line,TESTING,0.22,0.2,9921.43,271099453.45,16465.1,0.31,0.41,6138
0,angular,Line,UPGRADE,0.38,0.35,1975.07,12718740.6,3566.33,0.43,0.57,4268
0,angular,Module,BUG,0.82,0.81,195.19,217144.57,465.99,0.46,0.77,7172
0,angular,Module,DOCS,0.55,0.53,153.82,114482.07,338.35,0.46,0.65,6996
0,angular,Module,FEATURE,0.94,0.94,61.16,12847.15,113.35,0.8,0.89,5764
0,angular,Module,OTHER,0.6,0.58,240.36,321463.72,566.98,0.46,0.62,6930
0,angular,Module,REFACTOR,0.8,0.79,130.59,84927.83,291.42,0.62,0.85,6490
0,angular,Module,RELEASE,0.97,0.97,1.52,4.92,2.22,0.9,0.97,6160
0,angular,Module,SUPPORT,0.95,0.94,1.91,19.81,4.45,0.85,0.93,2376
0,angular,Module,TESTING,0.18,0.14,57.38,28460.61,168.7,0.66,0.89,6138
0,angular,Module,UPGRADE,0.12,0.06,35.13,28855.47,169.87,0.78,0.88,4268
0,angular.js,Line,BUG,0.57,0.55,9575.12,506311566.99,22501.37,0.37,0.51,4312
0,angular.js,Line,DOCS,-0.06,-0.11,32305.57,6236636513.36,78972.38,0.23,0.35,4202
0,angular.js,Line,FEATURE,0.78,0.77,3268.82,42525056.92,6521.12,0.55,0.66,3344
0,angular.js,Line,OTHER,0.22,0.18,22613.35,1379449302.09,37140.94,0.3,0.5,4004
0,angular.js,Line,REFACTOR,0.64,0.62,4798.66,93957799.38,9693.18,0.33,0.62,3366
0,angular.js,Line,RELEASE,0.55,0.52,112.46,37361.81,193.29,0.19,0.41,2772
0,angular.js,Line,SUPPORT,0.07,-0.16,77.5,11439.51,106.96,0.27,0.27,902
0,angular.js,Line,TESTING,0.71,0.69,1767.57,9937845.66,3152.43,0.45,0.62,3476
0,angular.js,Line,UPGRADE,0.29,0.21,7417.1,211067033.76,14528.15,0.29,0.43,1848
0,angular.js,Module,BUG,0.91,0.9,140.3,87471.49,295.76,0.61,0.8,4312
0,angular.js,Module,DOCS,0.95,0.95,51.9,12531.89,111.95,0.56,0.83,4202
0,angular.js,Module,FEATURE,0.9,0.89,30.24,5049.0,71.06,0.79,0.87,3344
0,angular.js,Module,OTHER,0.26,0.21,235.04,381770.71,617.88,0.52,0.65,4004
0,angular.js,Module,REFACTOR,0.85,0.84,25.48,4863.17,69.74,0.69,0.92,3366
0,angular.js,Module,RELEASE,0.96,0.96,1.34,5.86,2.42,0.84,0.94,2772
0,angular.js,Module,SUPPORT,0.53,0.33,5.37,51.74,7.19,0.09,0.55,902
0,angular.js,Module,TESTING,0.95,0.95,11.24,325.73,18.05,0.78,0.92,3476
0,angular.js,Module,UPGRADE,0.97,0.96,5.38,108.05,10.39,0.86,0.86,1848
0,ansible,Line,BUG,0.98,0.98,9877.81,646561712.75,25427.58,0.73,0.85,5412
0,ansible,Line,DOCS,0.52,0.5,32651.46,15748307021.18,125492.26,0.71,0.82,3960
0,ansible,Line,FEATURE,0.96,0.96,2959.25,32534255.32,5703.88,0.81,0.88,2750
0,ansible,Line,OTHER,0.93,0.93,88849.83,58953967922.87,242804.38,0.64,0.66,5852
0,ansible,Line,REFACTOR,0.98,0.98,6557.5,192990933.46,13892.12,0.74,0.94,2684
0,ansible,Line,RELEASE,0.6,0.59,272.55,253836.17,503.82,0.75,0.84,5522
0,ansible,Line,SUPPORT,1.0,1.0,648.19,2612415.51,1616.3,0.89,0.96,4004
0,ansible,Line,TESTING,0.92,0.92,13586.85,2045275271.68,45224.72,0.87,0.93,4708
0,ansible,Line,UPGRADE,0.77,0.76,687.28,2440445.57,1562.19,0.67,0.77,3388
0,ansible,Module,BUG,0.98,0.98,454.84,1444201.57,1201.75,0.77,0.89,5412
0,ansible,Module,DOCS,0.83,0.82,640.4,7565844.23,2750.61,0.76,0.87,3960
0,ansible,Module,FEATURE,0.95,0.94,46.06,10869.8,104.26,0.91,0.97,2750
0,ansible,Module,OTHER,0.97,0.97,1386.28,11803274.26,3435.59,0.7,0.78,5852
0,ansible,Module,REFACTOR,1.0,1.0,72.83,23681.7,153.89,0.9,0.9,2684
0,ansible,Module,RELEASE,0.9,0.89,6.78,134.43,11.59,0.94,0.98,5522
0,ansible,Module,SUPPORT,0.97,0.97,32.63,15034.23,122.61,0.98,0.98,4004
0,ansible,Module,TESTING,0.95,0.95,577.22,2656244.08,1629.8,0.89,0.96,4708
0,ansible,Module,UPGRADE,0.96,0.96,8.61,268.45,16.38,0.79,0.97,3388
0,brew,Line,BUG,-0.05,-0.16,1413.85,26528290.45,5150.56,0.09,0.09,1892
0,brew,Line,DOCS,-0.5,-0.77,172.19,128511.07,358.48,0.29,0.29,1210
0,brew,Line,FEATURE,1.0,1.0,0.0,0.0,0.0,,,220
0,brew,Line,OTHER,0.1,0.02,2331.28,63671903.12,7979.47,0.07,0.26,2354
0,brew,Line,REFACTOR,-302.84,-454.76,175.52,56589.25,237.88,0.14,0.14,594
0,brew,Line,RELEASE,0.0,2.0,2.81,15.28,3.91,0.0,0.0,176
0,brew,Line,SUPPORT,-0.07,-1.14,59.52,16434.4,128.2,0.0,0.33,440
0,brew,Line,TESTING,0.85,0.83,183.51,133269.03,365.06,0.12,0.24,1452
0,brew,Line,UPGRADE,0.01,-0.12,9.9,363.73,19.07,0.0,0.11,1562
0,brew,Module,BUG,-0.05,-0.23,53.09,19406.5,139.31,0.64,0.64,1892
0,brew,Module,DOCS,-1.54,-2.3,15.15,873.0,29.55,0.43,0.43,1210
0,brew,Module,FEATURE,1.0,1.0,0.0,0.0,0.0,,,220
0,brew,Module,OTHER,0.06,-0.06,127.26,122373.49,349.82,0.15,0.52,2354
0,brew,Module,REFACTOR,-9.26,-19.52,3.66,23.92,4.89,1.0,1.0,594
0,brew,Module,RELEASE,0.0,1.5,0.25,0.11,0.34,1.0,1.0,176
0,brew,Module,SUPPORT,-0.19,-3.76,5.31,103.19,10.16,0.6,0.6,440
0,brew,Module,TESTING,0.52,0.41,21.03,2658.52,51.56,0.47,0.53,1452
0,brew,Module,UPGRADE,0.16,-0.02,6.02,211.52,14.54,0.89,0.89,1562
0,cf-deployment,Line,BUG,-12.34,-14.39,231.38,288825.1,537.42,0.0,0.19,1408
0,cf-deployment,Line,DOCS,-6.85,-22.55,125.79,33643.2,183.42,0.25,0.25,352
