Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
tensorflow,Line,BUG,0.91,0.9,3479.77,44032164.29,6635.67,0.07,0.17,30
tensorflow,Module,BUG,0.93,0.92,210.6,144741.25,380.45,0.1,0.2,30
moby,Line,BUG,0.93,0.93,848.77,3255997.97,1804.44,0.12,0.32,77
moby,Module,BUG,0.97,0.97,20.91,1843.76,42.94,0.4,0.66,77
home-assistant,Line,BUG,0.85,0.85,6917.62,446796055.57,21137.55,0.12,0.25,133
home-assistant,Module,BUG,0.95,0.95,157.47,194388.51,440.9,0.31,0.51,133
node,Line,BUG,0.98,0.98,6397.71,188638730.36,13734.58,0.33,0.56,494
node,Module,BUG,1.0,1.0,145.89,93748.5,306.18,0.49,0.76,494
vue,Line,BUG,1.0,1.0,776.54,10870627.98,3297.06,0.21,0.46,103
vue,Module,BUG,1.0,1.0,43.37,38916.72,197.27,0.46,0.66,103
angular,Line,BUG,0.95,0.95,9421.08,335435953.09,18314.91,0.23,0.4,93
angular,Module,BUG,0.96,0.96,478.56,957521.84,978.53,0.29,0.52,93
neutron,Line,BUG,0.99,0.99,1466.63,4248092.1,2061.09,0.67,0.85,46
neutron,Module,BUG,0.99,0.99,77.22,15657.63,125.13,0.76,0.89,46
gitlabhq,Line,BUG,0.94,0.94,4626.74,290455609.14,17042.76,0.31,0.5,452
gitlabhq,Module,BUG,0.98,0.98,63.62,58719.43,242.32,0.61,0.81,452
vue,Line,DOCS,0.71,0.61,11.82,286.36,16.92,0.44,0.44,9
vue,Module,DOCS,0.87,0.79,0.48,0.8,0.9,0.67,0.67,9
tensorflow,Line,DOCS,0.86,0.84,3962.93,26570541.74,5154.66,0.06,0.06,16
tensorflow,Module,DOCS,0.91,0.89,54.46,5112.65,71.5,0.12,0.25,16
home-assistant,Line,DOCS,0.92,0.91,525.5,655640.82,809.72,0.14,0.24,21
home-assistant,Module,DOCS,0.88,0.86,34.76,2960.37,54.41,0.19,0.24,21
moby,Line,DOCS,0.8,0.79,10093.96,486017783.17,22045.81,0.03,0.1,60
moby,Module,DOCS,0.82,0.81,32.66,5432.82,73.71,0.13,0.27,60
neutron,Line,DOCS,0.91,0.89,1722.93,6997115.88,2645.21,0.21,0.36,14
neutron,Module,DOCS,0.91,0.88,56.22,10239.34,101.19,0.21,0.36,14
angular,Line,DOCS,0.96,0.96,9997.84,390586363.72,19763.26,0.22,0.43,81
angular,Module,DOCS,0.96,0.96,164.71,158157.11,397.69,0.33,0.57,81
node,Line,DOCS,0.95,0.95,6567.33,184936022.77,13599.12,0.26,0.38,375
node,Module,DOCS,0.99,0.99,21.75,2339.63,48.37,0.53,0.69,375
gitlabhq,Line,DOCS,0.84,0.84,3011.86,197736079.73,14061.87,0.3,0.53,288
gitlabhq,Module,DOCS,0.98,0.98,40.11,7626.15,87.33,0.48,0.66,288
tensorflow,Line,REFACTOR,0.98,0.96,3219.74,13014173.11,3607.52,0.2,0.4,5
tensorflow,Module,REFACTOR,0.9,0.6,85.12,9704.21,98.51,0.0,0.0,5
vue,Line,REFACTOR,0.99,0.99,302.55,266016.27,515.77,0.26,0.53,19
vue,Module,REFACTOR,1.0,1.0,5.79,84.38,9.19,0.63,0.74,19
home-assistant,Line,REFACTOR,0.8,0.78,356.03,202374.24,449.86,0.1,0.33,21
home-assistant,Module,REFACTOR,0.88,0.86,7.35,67.77,8.23,0.1,0.19,21
moby,Line,REFACTOR,0.89,0.88,332.53,312888.19,559.36,0.33,0.48,33
moby,Module,REFACTOR,0.91,0.9,7.59,102.32,10.12,0.18,0.52,33
angular,Line,REFACTOR,0.97,0.97,3951.79,143269688.32,11969.53,0.27,0.56,55
angular,Module,REFACTOR,0.95,0.95,170.3,382566.8,618.52,0.44,0.64,55
neutron,Line,REFACTOR,0.94,0.93,1081.41,2749521.38,1658.17,0.5,0.71,14
neutron,Module,REFACTOR,0.98,0.97,14.27,493.02,22.2,0.5,0.86,14
gitlabhq,Line,REFACTOR,0.96,0.96,1681.92,6682934.65,2585.14,0.31,0.54,163
gitlabhq,Module,REFACTOR,0.98,0.98,33.25,2475.08,49.75,0.42,0.7,163
