,Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
0,Odin,Line,BUG,0.99,0.97,222.73,49609.02,222.73,0.0,0.0,88
0,Odin,Module,BUG,1.0,,9.15,83.77,9.15,1.0,1.0,88
0,angular,Line,BUG,0.76,0.76,2275.55,14642915.71,3826.61,0.48,0.72,5874
0,angular,Line,DOCS,0.72,0.72,3434.51,33727630.43,5807.55,0.32,0.62,5940
0,angular,Module,BUG,0.94,0.94,51.86,6103.21,78.12,0.7,0.91,5874
0,angular,Module,DOCS,0.8,0.79,84.5,14762.21,121.5,0.31,0.56,5940
0,angular.js,Line,BUG,0.76,0.75,1870.39,8721267.42,2953.18,0.18,0.5,3498
0,angular.js,Line,DOCS,0.8,0.8,898.02,3428207.39,1851.54,0.32,0.64,2200
0,angular.js,Line,FEATURE,0.83,0.83,666.88,1067740.21,1033.32,0.36,0.68,2442
0,angular.js,Line,REFACTOR,0.69,0.68,587.18,626481.38,791.51,0.27,0.6,2596
0,angular.js,Line,TESTING,0.61,0.6,1497.27,7251374.04,2692.84,0.34,0.45,2530
0,angular.js,Line,UPGRADE,0.54,0.51,85.97,10935.17,104.57,0.23,0.31,1100
0,angular.js,Module,BUG,0.96,0.96,39.71,2377.63,48.76,0.3,0.57,3498
0,angular.js,Module,DOCS,0.89,0.89,14.05,315.39,17.76,0.6,0.76,2200
0,angular.js,Module,FEATURE,0.96,0.96,5.06,38.44,6.2,0.71,0.82,2442
0,angular.js,Module,REFACTOR,0.91,0.91,9.46,145.29,12.05,0.37,0.7,2596
0,angular.js,Module,TESTING,0.87,0.87,8.94,192.55,13.88,0.62,0.83,2530
0,angular.js,Module,UPGRADE,0.91,0.9,1.98,5.8,2.41,0.38,0.62,1100
0,ansible,Line,BUG,0.96,0.96,13077.63,512276004.0,22633.52,0.47,0.58,4598
0,ansible,Line,DOCS,0.76,0.76,25843.58,905450272.96,30090.7,0.0,0.38,3388
0,ansible,Line,FEATURE,0.74,0.73,11635.32,280646467.38,16752.51,0.52,0.64,2134
0,ansible,Line,REFACTOR,0.92,0.92,16857.89,385569062.71,19635.91,0.23,0.58,2244
