Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
tensorflow,Line,BUG,1.0,1.0,19970.35,3718051685.03,60975.83,0.2,0.33,106,0,0.204
tensorflow,Module,BUG,1.0,1.0,337.62,458897.91,677.42,0.28,0.39,106,0,0.204
neutron,Line,BUG,1.0,1.0,25280.16,5944901033.08,77103.18,0.39,0.56,203,0,0.352
neutron,Module,BUG,1.0,1.0,87.0,28373.72,168.45,0.48,0.68,203,0,0.352
vue,Line,BUG,1.0,1.0,186.19,279427.63,528.61,0.3,0.48,248,0,0.452
vue,Module,BUG,1.0,1.0,13.91,2882.25,53.69,0.38,0.6,248,0,0.452
moby,Line,BUG,1.0,1.0,1259.29,10186197.18,3191.58,0.18,0.31,319,0,0.476
moby,Module,BUG,1.0,1.0,54.02,21871.29,147.89,0.27,0.52,319,0,0.476
home-assistant,Line,BUG,1.0,1.0,3047.27,186489188.37,13656.1,0.14,0.26,560,0,0.441
home-assistant,Module,BUG,1.0,1.0,102.67,436629.2,660.78,0.28,0.51,560,0,0.441
angular,Line,BUG,1.0,1.0,9091.59,421596267.95,20532.81,0.2,0.44,411,0,0.253
angular,Module,BUG,1.0,1.0,475.23,1296019.68,1138.43,0.28,0.55,411,0,0.253
node,Line,BUG,1.0,1.0,5386.28,214825886.1,14656.94,0.32,0.49,596,0,0.307
node,Module,BUG,1.0,1.0,132.27,84785.16,291.18,0.5,0.71,596,0,0.307
gitlabhq,Line,BUG,1.0,1.0,4195.02,340352519.51,18448.65,0.25,0.43,1154,0,0.3
gitlabhq,Module,BUG,1.0,1.0,99.35,360709.22,600.59,0.43,0.65,1154,0,0.3
tensorflow,Line,DOCS,1.0,1.0,8383.34,1092427333.98,33051.89,0.23,0.4,106,0,0.397
tensorflow,Module,DOCS,1.0,1.0,219.0,1950123.06,1396.47,0.34,0.55,106,0,0.397
vue,Line,DOCS,1.0,1.0,3.72,608.78,24.67,0.48,0.48,248,0,0.659
vue,Module,DOCS,1.0,1.0,0.31,12.44,3.53,0.67,0.67,248,0,0.659
neutron,Line,DOCS,1.0,1.0,947.72,23887740.28,4887.51,0.41,0.44,203,0,0.539
neutron,Module,DOCS,1.0,1.0,12.29,1807.79,42.52,0.42,0.58,203,0,0.539
moby,Line,DOCS,1.0,1.0,4508.06,196849074.5,14030.29,0.05,0.2,319,0,0.555
moby,Module,DOCS,1.0,1.0,37.88,11449.89,107.0,0.16,0.3,319,0,0.555
home-assistant,Line,DOCS,1.0,1.0,346.8,12837848.45,3582.99,0.02,0.11,560,0,0.65
home-assistant,Module,DOCS,1.0,1.0,38.79,137177.85,370.38,0.11,0.12,560,0,0.65
angular,Line,DOCS,1.0,1.0,10818.38,800998511.13,28301.92,0.18,0.36,411,0,0.299
angular,Module,DOCS,1.0,1.0,225.62,426134.99,652.79,0.3,0.51,411,0,0.299
node,Line,DOCS,1.0,1.0,2603.83,88953005.11,9431.49,0.37,0.49,596,0,0.391
node,Module,DOCS,1.0,1.0,14.13,1532.17,39.14,0.57,0.67,596,0,0.391
gitlabhq,Line,DOCS,1.0,1.0,1963.24,154210368.68,12418.15,0.3,0.43,1154,0,0.431
gitlabhq,Module,DOCS,1.0,1.0,24.46,7671.82,87.59,0.36,0.55,1154,0,0.431
vue,Line,REFACTOR,1.0,1.0,70.1,52181.86,228.43,0.17,0.38,248,0,0.61
vue,Module,REFACTOR,1.0,1.0,1.68,22.21,4.71,0.38,0.51,248,0,0.61
tensorflow,Line,REFACTOR,1.0,1.0,2581.23,86315382.51,9290.61,0.52,0.67,106,0,0.502
tensorflow,Module,REFACTOR,1.0,1.0,65.22,58359.22,241.58,0.28,0.52,106,0,0.502
neutron,Line,REFACTOR,1.0,1.0,542.26,1700261.66,1303.94,0.37,0.51,203,0,0.53
neutron,Module,REFACTOR,1.0,1.0,13.79,1275.22,35.71,0.51,0.59,203,0,0.53
moby,Line,REFACTOR,1.0,1.0,487.05,2330032.92,1526.44,0.14,0.28,319,0,0.596
moby,Module,REFACTOR,1.0,1.0,5.49,308.36,17.56,0.3,0.39,319,0,0.596
home-assistant,Line,REFACTOR,1.0,1.0,1447.71,163106556.28,12771.32,0.12,0.35,560,0,0.644
home-assistant,Module,REFACTOR,1.0,1.0,8.64,4396.09,66.3,0.1,0.23,560,0,0.644
angular,Line,REFACTOR,1.0,1.0,7670.89,305440355.06,17476.85,0.22,0.38,411,0,0.339
angular,Module,REFACTOR,1.0,1.0,249.24,352005.36,593.3,0.24,0.4,411,0,0.339
node,Line,REFACTOR,1.0,1.0,4981.88,289733586.9,17021.56,0.41,0.55,596,0,0.424
node,Module,REFACTOR,1.0,1.0,34.05,6479.31,80.49,0.5,0.66,596,0,0.424
vue,Line,TESTING,1.0,1.0,155.17,623366.96,789.54,0.25,0.4,248,0,0.558
vue,Module,TESTING,1.0,1.0,4.22,320.65,17.91,0.46,0.53,248,0,0.558
tensorflow,Line,TESTING,1.0,1.0,10316.39,915102026.65,30250.65,0.11,0.33,106,0,0.335
tensorflow,Module,TESTING,1.0,1.0,112.94,78284.55,279.79,0.34,0.56,106,0,0.335
gitlabhq,Line,REFACTOR,1.0,1.0,789.22,9391327.29,3064.53,0.28,0.46,1154,0,0.511
gitlabhq,Module,REFACTOR,1.0,1.0,16.81,6362.88,79.77,0.35,0.59,1154,0,0.511
neutron,Line,TESTING,1.0,1.0,3501.99,117814830.81,10854.25,0.4,0.52,203,0,0.386
neutron,Module,TESTING,1.0,1.0,78.44,41026.49,202.55,0.44,0.65,203,0,0.386
moby,Line,TESTING,1.0,1.0,1184.98,17417969.78,4173.48,0.2,0.34,319,0,0.514
moby,Module,TESTING,1.0,1.0,33.55,9774.69,98.87,0.29,0.45,319,0,0.514
home-assistant,Line,TESTING,1.0,1.0,6972.48,2275939932.62,47706.81,0.02,0.12,560,0,0.601
home-assistant,Module,TESTING,1.0,1.0,30.21,27471.44,165.75,0.18,0.38,560,0,0.601
angular,Line,TESTING,1.0,1.0,10678.28,672036414.17,25923.67,0.2,0.29,411,0,0.365
