Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
pm2,Module,OTHER,1.0,1.0,41.15,7837.23,88.53,0.22,0.4,137,0,0.275
devise,Line,REFACTOR,1.0,1.0,19.29,3346.76,57.85,0.75,0.79,134,0,0.601
devise,Module,REFACTOR,1.0,1.0,1.51,18.55,4.31,0.69,0.77,134,0,0.601
webtorrent,Line,DOCS,1.0,1.0,8.85,4544.15,67.41,0.93,0.95,306,0,0.662
webtorrent,Module,DOCS,1.0,1.0,0.09,0.24,0.49,0.93,0.96,306,0,0.662
keystone,Line,BUG,1.0,1.0,1092.32,726310248.82,26950.14,0.91,0.92,1504,0,0.655
keystone,Module,BUG,1.0,1.0,13.85,84126.55,290.05,0.92,0.94,1504,0,0.655
video.js,Line,RELEASE,1.0,1.0,824.63,7597826.03,2756.42,0.78,0.82,398,0,0.622
video.js,Module,RELEASE,1.0,1.0,4.9,252.49,15.89,0.8,0.83,398,0,0.622
medium-editor,Line,BUG,1.0,1.0,310.42,1531948.91,1237.72,0.11,0.24,150,0,0.399
medium-editor,Module,BUG,1.0,1.0,17.01,6553.81,80.96,0.23,0.42,150,0,0.399
npm,Line,DOCS,1.0,1.0,182.89,1430425.9,1196.0,0.75,0.78,591,0,0.557
npm,Module,DOCS,1.0,1.0,4.13,169.33,13.01,0.79,0.84,591,0,0.557
jest,Line,REFACTOR,1.0,1.0,1557.13,147554364.42,12147.2,0.91,0.92,180,0,0.653
jest,Module,REFACTOR,1.0,1.0,58.75,178221.2,422.16,0.91,0.93,180,0,0.653
superagent,Line,DOCS,1.0,1.0,53.23,79011.23,281.09,0.76,0.78,135,0,0.623
superagent,Module,DOCS,1.0,1.0,0.47,2.28,1.51,0.84,0.87,135,0,0.623
pandoc,Line,BUG,1.0,1.0,290.52,953851.82,976.65,0.15,0.29,136,0,0.397
pandoc,Module,BUG,1.0,1.0,14.68,3970.59,63.01,0.36,0.57,136,0,0.397
swagger-ui,Line,BUG,1.0,1.0,4106.73,109209571.07,10450.34,0.06,0.13,189,0,0.418
swagger-ui,Module,BUG,1.0,1.0,59.24,18580.52,136.31,0.11,0.29,189,0,0.418
devise,Line,TESTING,1.0,1.0,217.82,273749.54,523.21,0.15,0.22,134,0,0.463
devise,Module,TESTING,1.0,1.0,11.44,833.2,28.87,0.14,0.26,134,0,0.463
webtorrent,Line,REFACTOR,1.0,1.0,3.38,996.97,31.57,0.99,0.99,306,0,0.678
webtorrent,Module,REFACTOR,1.0,1.0,0.02,0.04,0.19,0.98,0.99,306,0,0.678
mongoose,Line,DOCS,1.0,1.0,14284.7,3446263553.19,58704.89,0.08,0.13,582,0,0.507
mongoose,Module,DOCS,1.0,1.0,47.02,31574.5,177.69,0.13,0.23,582,0,0.507
video.js,Line,SUPPORT,1.0,1.0,161.03,987690.19,993.83,0.91,0.92,398,0,0.658
video.js,Module,SUPPORT,1.0,1.0,0.76,20.45,4.52,0.94,0.96,398,0,0.658
keystone,Line,DOCS,1.0,1.0,227.91,17217319.63,4149.38,0.96,0.96,1504,0,0.669
keystone,Module,DOCS,1.0,1.0,2.56,1723.76,41.52,0.96,0.96,1504,0,0.669
selenium,Line,BUG,1.0,1.0,5041.82,150115768.11,12252.17,0.07,0.2,123,0,0.23
selenium,Module,BUG,1.0,1.0,58.41,30514.11,174.68,0.34,0.62,123,0,0.23
medium-editor,Line,DOCS,1.0,1.0,71.8,102820.46,320.66,0.81,0.84,150,0,0.604
medium-editor,Module,DOCS,1.0,1.0,0.63,10.75,3.28,0.87,0.93,150,0,0.604
npm,Line,REFACTOR,1.0,1.0,25.52,10284.03,101.41,0.96,0.96,591,0,0.643
npm,Module,REFACTOR,1.0,1.0,0.95,14.48,3.8,0.97,0.97,591,0,0.643
superagent,Line,REFACTOR,1.0,1.0,365.22,6056543.82,2461.0,0.84,0.85,135,0,0.644
superagent,Module,REFACTOR,1.0,1.0,1.77,98.25,9.91,0.84,0.86,135,0,0.644
jest,Line,TESTING,1.0,1.0,2993.22,188377013.17,13725.05,0.24,0.31,180,0,0.498
jest,Module,TESTING,1.0,1.0,143.45,423104.11,650.46,0.23,0.29,180,0,0.498
pandoc,Line,DOCS,1.0,1.0,78.06,36506.35,191.07,0.69,0.73,136,0,0.584
pandoc,Module,DOCS,1.0,1.0,2.01,76.95,8.77,0.73,0.85,136,0,0.584
devise,Line,FEATURE,1.0,1.0,4.07,282.79,16.82,0.9,0.9,134,0,0.659
devise,Module,FEATURE,1.0,1.0,0.31,1.57,1.25,0.9,0.9,134,0,0.659
swagger-ui,Line,DOCS,1.0,1.0,117.57,1084080.96,1041.19,0.88,0.89,189,0,0.644
swagger-ui,Module,DOCS,1.0,1.0,3.1,354.52,18.83,0.87,0.89,189,0,0.644
webtorrent,Line,TESTING,1.0,1.0,17.58,5668.06,75.29,0.84,0.86,306,0,0.638
webtorrent,Module,TESTING,1.0,1.0,0.86,11.1,3.33,0.86,0.87,306,0,0.638
mongoose,Line,REFACTOR,1.0,1.0,263.13,1615697.04,1271.1,0.74,0.77,582,0,0.596
mongoose,Module,REFACTOR,1.0,1.0,2.26,68.71,8.29,0.78,0.84,582,0,0.596
medium-editor,Line,REFACTOR,1.0,1.0,30.21,27148.6,164.77,0.9,0.91,150,0,0.635
medium-editor,Module,REFACTOR,1.0,1.0,0.77,17.1,4.13,0.91,0.92,150,0,0.635
keystone,Line,REFACTOR,1.0,1.0,848.95,331565926.37,18208.95,0.98,0.98,1504,0,0.675
keystone,Module,REFACTOR,1.0,1.0,14.63,87390.93,295.62,0.98,0.98,1504,0,0.675
selenium,Line,DOCS,1.0,1.0,24062.46,3703723010.44,60858.22,0.06,0.12,123,0,0.418
selenium,Module,DOCS,1.0,1.0,336.93,392812.78,626.75,0.07,0.15,123,0,0.418
video.js,Line,OTHER,0.99,0.99,21805.5,1079578618.06,32856.94,0.22,0.38,398,0,0.308
video.js,Module,OTHER,1.0,1.0,69.39,45961.39,214.39,0.43,0.61,398,0,0.308
jest,Line,FEATURE,1.0,1.0,452.98,5904329.8,2429.88,0.91,0.92,180,0,0.646
jest,Module,FEATURE,1.0,1.0,16.41,9883.86,99.42,0.89,0.93,180,0,0.646
superagent,Line,TESTING,1.0,1.0,430.56,5819885.13,2412.44,0.65,0.69,135,0,0.55
superagent,Module,TESTING,1.0,1.0,2.68,110.2,10.5,0.73,0.81,135,0,0.55
pandoc,Line,REFACTOR,1.0,1.0,75.58,149702.24,386.91,0.79,0.84,136,0,0.607
pandoc,Module,REFACTOR,1.0,1.0,0.87,8.82,2.97,0.84,0.88,136,0,0.607
npm,Line,TESTING,1.0,1.0,496.55,2962467.71,1721.18,0.67,0.72,591,0,0.537
npm,Module,TESTING,1.0,1.0,9.91,966.49,31.09,0.71,0.81,591,0,0.537
devise,Line,UPGRADE,1.0,1.0,17.24,3255.28,57.06,0.79,0.8,134,0,0.611
devise,Module,UPGRADE,1.0,1.0,0.94,7.78,2.79,0.81,0.85,134,0,0.611
swagger-ui,Line,REFACTOR,1.0,1.0,9.79,2362.13,48.6,0.94,0.94,189,0,0.663
swagger-ui,Module,REFACTOR,1.0,1.0,0.33,2.7,1.64,0.93,0.95,189,0,0.663
webtorrent,Line,FEATURE,1.0,1.0,0.09,0.51,0.71,0.97,0.97,306,0,0.676
webtorrent,Module,FEATURE,1.0,1.0,0.01,0.01,0.1,0.97,0.97,306,0,0.676
medium-editor,Line,TESTING,1.0,1.0,173.6,895316.65,946.21,0.49,0.57,150,0,0.542
medium-editor,Module,TESTING,1.0,1.0,5.59,1041.75,32.28,0.67,0.77,150,0,0.542
selenium,Line,REFACTOR,1.0,1.0,2055.84,54615212.38,7390.21,0.07,0.13,123,0,0.519
selenium,Module,REFACTOR,1.0,1.0,20.74,3561.63,59.68,0.15,0.2,123,0,0.519
keystone,Line,TESTING,1.0,1.0,662.51,195134479.41,13969.05,0.97,0.97,1504,0,0.67
keystone,Module,TESTING,1.0,1.0,4.98,9384.6,96.87,0.96,0.97,1504,0,0.67
mongoose,Line,TESTING,1.0,1.0,596.8,3386045.56,1840.12,0.17,0.34,582,0,0.461
mongoose,Module,TESTING,1.0,1.0,12.01,1589.93,39.87,0.51,0.63,582,0,0.461
superagent,Line,FEATURE,1.0,1.0,4.1,584.54,24.18,0.93,0.93,135,0,0.669
superagent,Module,FEATURE,1.0,1.0,0.25,1.21,1.1,0.93,0.93,135,0,0.669
jest,Line,UPGRADE,1.0,1.0,4852.33,453158421.97,21287.52,0.8,0.81,180,0,0.62
jest,Module,UPGRADE,1.0,1.0,108.2,312754.97,559.25,0.83,0.84,180,0,0.62
pandoc,Line,TESTING,1.0,1.0,1077.65,17228545.37,4150.73,0.06,0.11,136,0,0.468
pandoc,Module,TESTING,1.0,1.0,18.34,7017.66,83.77,0.12,0.32,136,0,0.468
npm,Line,FEATURE,1.0,1.0,20.17,101869.37,319.17,0.97,0.97,591,0,0.628
npm,Module,FEATURE,1.0,1.0,0.46,25.73,5.07,0.96,0.96,591,0,0.628
swagger-ui,Line,TESTING,1.0,1.0,6008.64,2315683408.65,48121.55,0.77,0.78,189,0,0.62
swagger-ui,Module,TESTING,1.0,1.0,36.51,99922.86,316.11,0.79,0.83,189,0,0.62
devise,Line,RELEASE,1.0,1.0,32.18,3953.15,62.87,0.22,0.36,134,0,0.477
