Project,Model,Task,R_Squared,R_Squared_X,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_25_X,PRED_50,PRED_50_X,T_Records
angular,Module_CC,BUG,-0.65,,-0.7,181.98,414592.16,643.89,0.44,,0.6,,411
angular,Module_CC,DOCS,0.18,,0.16,100.67,223461.56,472.72,0.55,,0.77,,411
angular,Module_CC,FEATURE,0.37,,0.35,75.72,186907.17,432.33,0.47,,0.67,,411
angular,Module_CC,OTHER,0.12,,0.09,196.38,391119.78,625.4,0.4,,0.55,,411
angular,Module_CC,REFACTOR,0.37,,0.35,113.35,183892.03,428.83,0.44,,0.58,,411
angular,Module_CC,RELEASE,0.85,,0.85,1.55,19.69,4.44,0.73,,0.81,,411
angular,Module_CC,SUPPORT,0.91,,0.91,0.31,5.81,2.41,0.81,,0.85,,411
angular,Module_CC,TESTING,0.43,,0.41,30.0,12010.47,109.59,0.5,,0.59,,411
angular,Module_CC,UPGRADE,-3.78,,-3.92,8.83,2330.11,48.27,0.61,,0.67,,411
angular,Module_EC,BUG,0.29,,0.27,216.47,1590498.95,1261.15,0.44,,0.56,,411
angular,Module_EC,DOCS,0.91,,0.91,3.96,425.46,20.63,0.74,,0.74,,411
angular,Module_EC,FEATURE,0.32,,0.3,36.76,65576.39,256.08,0.54,,0.58,,411
angular,Module_EC,OTHER,0.33,,0.31,77.4,169934.19,412.23,0.53,,0.6,,411
angular,Module_EC,REFACTOR,0.16,,0.13,40.37,44712.31,211.45,0.58,,0.58,,411
angular,Module_EC,RELEASE,0.99,,0.99,0.01,0.01,0.1,1.0,,1.0,,411
angular,Module_EC,SUPPORT,1.0,,1.0,0.0,0.0,0.0,1.0,,1.0,,411
angular,Module_EC,TESTING,0.02,,-0.01,68.04,412094.41,641.95,0.41,,0.52,,411
angular,Module_EC,UPGRADE,-42.61,,-43.93,29.96,72730.82,269.69,0.6,,0.6,,411
