Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
home-assistant,Line,BUG,1.0,1.0,0.0,0.0,0.0,0.79,0.79,560,0,0.441
home-assistant,Module,BUG,0.5,0.5,96.51,242535.91,492.48,0.07,0.16,560,0,0.441
angular,Line,BUG,1.0,1.0,0.0,0.0,0.0,0.99,0.99,411,0,0.253
angular,Module,BUG,0.9,0.9,318.95,434009.6,658.79,0.2,0.41,411,0,0.253
node,Line,BUG,1.0,1.0,0.0,0.0,0.0,0.94,0.94,596,0,0.307
node,Module,BUG,0.99,0.99,101.59,31942.48,178.72,0.43,0.54,596,0,0.307
neutron,Line,BUG,1.0,1.0,0.0,0.0,0.0,0.87,0.87,203,0,0.352
neutron,Module,BUG,0.96,0.96,58.6,8803.5,93.83,0.5,0.68,203,0,0.352
gitlabhq,Line,BUG,1.0,1.0,0.0,0.0,0.0,0.82,0.82,1154,0,0.3
gitlabhq,Module,BUG,0.88,0.88,101.46,169821.41,412.09,0.27,0.46,1154,0,0.3
moby,Line,BUG,1.0,1.0,0.0,0.0,0.0,0.73,0.73,319,0,0.476
moby,Module,BUG,0.98,0.98,18.19,1300.2,36.06,0.32,0.5,319,0,0.476
tensorflow,Line,BUG,1.0,1.0,0.0,0.0,0.0,0.96,0.96,106,0,0.204
tensorflow,Module,BUG,0.94,0.94,439.3,2476426.63,1573.67,0.16,0.32,106,0,0.204
vue,Line,BUG,1.0,1.0,0.0,0.0,0.0,0.85,0.85,248,0,0.452
vue,Module,BUG,0.99,0.99,13.19,1275.01,35.71,0.25,0.49,248,0,0.452
angular,Line,DOCS,1.0,1.0,0.0,0.0,0.0,0.98,0.98,411,0,0.299
angular,Module,DOCS,0.91,0.91,92.76,48835.91,220.99,0.33,0.55,411,0,0.299
home-assistant,Line,DOCS,1.0,1.0,0.0,0.0,0.0,0.11,0.11,560,0,0.65
home-assistant,Module,DOCS,0.96,0.96,20.98,12850.01,113.36,0.01,0.02,560,0,0.65
node,Line,DOCS,1.0,1.0,0.0,0.0,0.0,0.76,0.76,596,0,0.391
node,Module,DOCS,0.99,0.99,6.97,160.0,12.65,0.4,0.5,596,0,0.391
angular,Line,REFACTOR,1.0,1.0,0.0,0.0,0.0,0.91,0.91,411,0,0.339
angular,Module,REFACTOR,0.8,0.8,220.22,239094.52,488.97,0.15,0.34,411,0,0.339
home-assistant,Line,REFACTOR,1.0,1.0,0.0,0.0,0.0,0.14,0.14,560,0,0.644
home-assistant,Module,REFACTOR,0.84,0.84,12.68,4549.52,67.45,0.01,0.03,560,0,0.644
node,Line,REFACTOR,1.0,1.0,0.0,0.0,0.0,0.59,0.59,596,0,0.424
node,Module,REFACTOR,0.94,0.94,50.07,8754.89,93.57,0.18,0.26,596,0,0.424
neutron,Line,DOCS,1.0,1.0,0.0,0.0,0.0,0.44,0.44,203,0,0.539
neutron,Module,DOCS,0.84,0.84,17.34,1384.33,37.21,0.1,0.18,203,0,0.539
moby,Line,DOCS,1.0,1.0,0.0,0.0,0.0,0.49,0.49,319,0,0.555
moby,Module,DOCS,0.87,0.87,24.59,3938.82,62.76,0.06,0.17,319,0,0.555
tensorflow,Line,DOCS,1.0,1.0,0.0,0.0,0.0,0.58,0.58,106,0,0.397
tensorflow,Module,DOCS,0.24,0.2,412.56,2177577.01,1475.66,0.03,0.05,106,0,0.397
vue,Line,DOCS,1.0,1.0,0.0,0.0,0.0,0.08,0.08,248,0,0.659
vue,Module,DOCS,1.0,1.0,0.27,11.06,3.33,0.05,0.07,248,0,0.659
gitlabhq,Line,DOCS,1.0,1.0,0.0,0.0,0.0,0.58,0.58,1154,0,0.431
gitlabhq,Module,DOCS,0.93,0.93,23.23,7831.93,88.5,0.15,0.31,1154,0,0.431
angular,Line,TESTING,1.0,1.0,0.0,0.0,0.0,0.87,0.87,411,0,0.365
angular,Module,TESTING,0.68,0.68,109.23,106882.49,326.93,0.11,0.22,411,0,0.365
node,Line,TESTING,1.0,1.0,0.0,0.0,0.0,0.83,0.83,596,0,0.331
node,Module,TESTING,0.97,0.97,278.86,245698.57,495.68,0.28,0.37,596,0,0.331
home-assistant,Line,TESTING,1.0,1.0,0.0,0.0,0.0,0.23,0.23,560,0,0.601
home-assistant,Module,TESTING,0.59,0.59,55.55,84360.7,290.45,0.02,0.04,560,0,0.601
angular,Line,FEATURE,1.0,1.0,0.0,0.0,0.0,0.8,0.8,411,0,0.392
angular,Module,FEATURE,0.81,0.81,137.31,320166.42,565.83,0.2,0.42,411,0,0.392
node,Line,FEATURE,1.0,1.0,0.0,0.0,0.0,0.36,0.36,596,0,0.573
node,Module,FEATURE,0.81,0.81,3.92,50.09,7.08,0.05,0.12,596,0,0.573
neutron,Line,REFACTOR,1.0,1.0,0.0,0.0,0.0,0.44,0.44,203,0,0.53
neutron,Module,REFACTOR,0.9,0.9,14.48,627.96,25.06,0.1,0.23,203,0,0.53
