,Project,Model,Task,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
0,Odin,Line,BUG,125.65,15788.76,125.65,0.0,1.0,68
0,Odin,Module,BUG,49.17,2418.02,49.17,1.0,1.0,68
0,angular,Line,BUG,2264.28,14608651.28,3822.13,0.55,0.72,4539
0,angular,Line,DOCS,3410.57,30753436.38,5545.58,0.4,0.65,4590
0,angular,Module,BUG,340.28,855446.91,924.9,0.73,0.76,4539
0,angular,Module,DOCS,161.34,95421.78,308.9,0.78,0.88,4590
0,angular.js,Line,BUG,1683.66,9808669.66,3131.88,0.32,0.5,2703
0,angular.js,Line,DOCS,1053.63,4115406.97,2028.65,0.4,0.6,1700
0,angular.js,Line,FEATURE,642.81,1154781.81,1074.61,0.46,0.71,1887
0,angular.js,Line,REFACTOR,402.15,426530.86,653.09,0.5,0.7,2006
0,angular.js,Line,TESTING,1092.79,4044283.93,2011.04,0.34,0.52,1955
0,angular.js,Line,UPGRADE,18.89,2111.78,45.95,0.62,0.85,850
0,angular.js,Module,BUG,195.55,129834.74,360.33,0.4,0.65,2703
0,angular.js,Module,DOCS,254.92,434625.48,659.26,0.2,0.44,1700
0,angular.js,Module,FEATURE,58.95,20306.83,142.5,0.61,0.75,1887
0,angular.js,Module,REFACTOR,31.61,3343.73,57.83,0.63,0.67,2006
0,angular.js,Module,TESTING,60.49,19786.15,140.66,0.69,0.72,1955
0,angular.js,Module,UPGRADE,0.8,1.96,1.4,0.92,0.92,850
0,ansible,Line,BUG,2402.88,41088503.5,6410.03,0.72,0.72,3553
0,ansible,Line,DOCS,3021.87,46463952.74,6816.45,0.64,0.77,2618
0,ansible,Line,FEATURE,3284.49,38460371.44,6201.64,0.72,0.84,1649
0,ansible,Line,REFACTOR,849.38,5064362.23,2250.41,0.88,0.92,1734
0,ansible,Line,TESTING,5468.72,676755125.92,26014.52,0.76,0.87,3077
0,ansible,Line,UPGRADE,97.63,46577.38,215.82,0.73,0.83,2006
0,ansible,Module,BUG,1685.82,35032023.4,5918.79,0.74,0.74,3553
0,ansible,Module,DOCS,2447.68,41452790.58,6438.38,0.59,0.79,2618
0,ansible,Module,FEATURE,2968.86,37083681.22,6089.64,0.72,0.8,1649
0,ansible,Module,REFACTOR,84.75,40168.77,200.42,0.88,0.88,1734
0,ansible,Module,TESTING,5368.62,548248819.45,23414.71,0.83,0.85,3077
0,ansible,Module,UPGRADE,68.81,55445.41,235.47,0.73,0.83,2006
0,cf-deployment,Line,BUG,5.81,52.69,7.26,0.33,0.33,799
0,cf-deployment,Line,DOCS,77.31,7666.23,87.56,0.0,0.5,238
0,cf-deployment,Module,BUG,1.46,4.43,2.1,0.67,0.67,799
0,cf-deployment,Module,DOCS,33.44,1501.91,38.75,0.25,0.25,238
0,cinder,Line,BUG,815.5,1352487.45,1162.96,0.38,0.79,1581
0,cinder,Line,DOCS,305.2,177578.19,421.4,0.36,0.43,952
0,cinder,Line,FEATURE,2620.17,15522242.65,3939.83,0.33,0.5,765
0,cinder,Line,OTHER,10572.76,281509120.11,16778.23,0.17,0.3,1564
0,cinder,Line,REFACTOR,11340.96,240316265.48,15502.14,0.13,0.2,1003
0,cinder,Line,RELEASE,145.08,37223.07,192.93,0.06,0.38,1054
0,cinder,Line,SUPPORT,3576.08,33275834.92,5768.52,0.36,0.61,1887
0,cinder,Line,TESTING,795.99,1896833.88,1377.26,0.28,0.6,1649
0,cinder,Line,UPGRADE,212.99,105237.05,324.4,0.37,0.68,1241
0,cinder,Module,BUG,470.67,529709.67,727.81,0.5,0.75,1581
0,cinder,Module,DOCS,210.68,100369.11,316.81,0.5,0.57,952
0,cinder,Module,FEATURE,1073.98,2420393.53,1555.76,0.25,0.33,765
0,cinder,Module,OTHER,4777.29,38609248.73,6213.63,0.26,0.39,1564
0,cinder,Module,REFACTOR,6545.03,75863822.62,8709.98,0.13,0.2,1003
0,cinder,Module,RELEASE,31.75,1557.75,39.47,0.31,0.5,1054
0,cinder,Module,SUPPORT,2193.58,15854743.93,3981.8,0.29,0.43,1887
0,cinder,Module,TESTING,524.54,806113.58,897.84,0.36,0.56,1649
0,cinder,Module,UPGRADE,164.46,57797.28,240.41,0.32,0.58,1241
0,cli,Line,BUG,343.62,148937.0,385.92,0.14,0.14,442
0,cli,Module,BUG,97.26,20446.07,142.99,0.43,0.57,442
0,elasticsearch,Line,BUG,5621.68,320345698.29,17898.2,0.74,0.87,2074
0,elasticsearch,Line,DOCS,4269.51,54850534.9,7406.11,0.79,0.94,2261
0,elasticsearch,Line,FEATURE,25147.61,2388030962.11,48867.48,0.5,0.5,1360
0,elasticsearch,Line,OTHER,42885.97,9881387275.54,99405.17,0.85,0.91,2227
0,elasticsearch,Line,REFACTOR,3676.84,130551695.44,11425.92,0.95,1.0,1496
0,elasticsearch,Line,RELEASE,3265.75,29997232.62,5476.97,0.77,0.77,2346
0,elasticsearch,Line,SUPPORT,14195.44,944986148.29,30740.63,0.8,0.88,1700
0,elasticsearch,Line,TESTING,14239.88,1831391618.5,42794.76,0.79,0.85,2227
0,elasticsearch,Line,UPGRADE,8093.84,807512292.8,28416.76,0.62,0.69,1734
0,elasticsearch,Module,BUG,4707.26,295740067.88,17197.09,0.65,0.71,2074
0,elasticsearch,Module,DOCS,2123.58,21640413.85,4651.93,0.76,0.88,2261
0,elasticsearch,Module,FEATURE,24869.17,2411275794.93,49104.74,0.5,0.5,1360
0,elasticsearch,Module,OTHER,21273.41,1842147515.13,42920.25,0.73,0.79,2227
0,elasticsearch,Module,REFACTOR,3192.75,112274072.73,10595.95,0.95,1.0,1496
0,elasticsearch,Module,RELEASE,2714.37,26249221.96,5123.4,0.71,0.74,2346
0,elasticsearch,Module,SUPPORT,13088.51,945077902.08,30742.12,0.76,0.88,1700
0,elasticsearch,Module,TESTING,11273.56,1632834109.15,40408.34,0.7,0.79,2227
0,elasticsearch,Module,UPGRADE,7852.62,753050394.93,27441.76,0.58,0.65,1734
