Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
moby,Line,BUG,1.0,1.0,88.88,225377.91,474.74,0.95,0.97,319
moby,Module,BUG,0.99,0.99,32.05,8351.73,91.39,0.4,0.71,319
tensorflow,Line,BUG,0.98,0.98,5069.23,717840986.89,26792.55,0.8,0.87,106
tensorflow,Module,BUG,0.97,0.97,242.32,352516.17,593.73,0.4,0.63,106
node,Line,BUG,1.0,1.0,725.0,9619134.39,3101.47,1.0,1.0,596
node,Module,BUG,1.0,1.0,96.23,38828.28,197.05,0.63,0.86,596
angular,Line,BUG,1.0,1.0,917.12,31322919.29,5596.69,0.95,0.98,411
angular,Module,BUG,0.98,0.98,197.44,366555.01,605.44,0.57,0.82,411
vue,Line,BUG,1.0,1.0,94.83,195065.88,441.66,0.96,0.98,248
vue,Module,BUG,1.0,1.0,11.17,1830.67,42.79,0.6,0.86,248
home-assistant,Line,BUG,0.99,0.99,341.4,13675973.79,3698.1,0.97,0.98,560
home-assistant,Module,BUG,0.9,0.9,83.62,299730.02,547.48,0.44,0.7,560
neutron,Line,BUG,1.0,1.0,1554.31,42364130.98,6508.77,0.94,0.96,203
neutron,Module,BUG,1.0,1.0,41.95,6203.11,78.76,0.63,0.83,203
gitlabhq,Line,BUG,1.0,1.0,202.15,1926846.74,1388.11,0.99,0.99,1154
gitlabhq,Module,BUG,0.97,0.97,97.28,137890.06,371.34,0.6,0.8,1154
moby,Line,DOCS,0.98,0.98,729.23,20999502.25,4582.52,0.95,0.97,319
moby,Module,DOCS,0.98,0.98,29.45,10540.27,102.67,0.2,0.4,319
angular,Line,DOCS,1.0,1.0,852.94,40320029.79,6349.81,0.96,0.98,411
angular,Module,DOCS,0.99,0.99,96.5,93317.15,305.48,0.45,0.7,411
vue,Line,DOCS,0.99,0.99,2.58,161.39,12.7,0.17,0.29,248
vue,Module,DOCS,0.91,0.91,0.28,11.8,3.44,0.57,0.67,248
node,Line,DOCS,1.0,1.0,174.89,916188.65,957.18,0.98,0.98,596
node,Module,DOCS,1.0,1.0,6.55,251.69,15.86,0.62,0.8,596
tensorflow,Line,DOCS,0.92,0.92,3691.51,533003054.18,23086.86,0.62,0.73,106
tensorflow,Module,DOCS,0.86,0.85,265.75,2139194.61,1462.6,0.37,0.54,106
neutron,Line,DOCS,0.92,0.92,209.01,6277760.1,2505.55,0.88,0.93,203
neutron,Module,DOCS,0.98,0.98,11.85,1223.96,34.99,0.42,0.66,203
gitlabhq,Line,DOCS,0.98,0.98,346.07,22975635.72,4793.29,0.97,0.99,1154
gitlabhq,Module,DOCS,0.98,0.98,28.91,8708.32,93.32,0.44,0.64,1154
home-assistant,Line,DOCS,0.91,0.91,150.63,5588147.57,2363.93,0.8,0.94,560
home-assistant,Module,DOCS,0.89,0.89,21.46,60905.54,246.79,0.19,0.41,560
moby,Line,REFACTOR,0.99,0.99,57.74,199398.26,446.54,0.88,0.93,319
moby,Module,REFACTOR,0.98,0.98,3.69,102.49,10.12,0.29,0.46,319
vue,Line,REFACTOR,1.0,1.0,22.41,12062.31,109.83,0.76,0.8,248
vue,Module,REFACTOR,1.0,1.0,1.43,14.94,3.87,0.3,0.56,248
angular,Line,REFACTOR,0.99,0.99,730.89,36407546.7,6033.87,0.97,0.98,411
angular,Module,REFACTOR,0.98,0.98,181.7,178694.05,422.72,0.25,0.53,411
node,Line,REFACTOR,1.0,1.0,533.72,4542522.62,2131.32,0.99,1.0,596
node,Module,REFACTOR,1.0,1.0,28.55,5421.66,73.63,0.52,0.65,596
tensorflow,Line,REFACTOR,0.99,0.99,1752.11,56817743.45,7537.75,0.67,0.86,106
tensorflow,Module,REFACTOR,0.97,0.97,53.86,28288.64,168.19,0.14,0.49,106
neutron,Line,REFACTOR,1.0,1.0,78.11,86479.78,294.07,0.93,0.94,203
neutron,Module,REFACTOR,0.99,0.99,8.81,551.35,23.48,0.48,0.67,203
home-assistant,Line,REFACTOR,0.99,0.99,488.03,26625333.56,5159.97,0.86,0.92,560
home-assistant,Module,REFACTOR,0.97,0.97,7.88,3418.14,58.46,0.24,0.49,560
gitlabhq,Line,REFACTOR,0.96,0.96,373.85,5652226.46,2377.44,0.83,0.83,1154
gitlabhq,Module,REFACTOR,0.96,0.96,23.79,8009.13,89.49,0.43,0.65,1154
moby,Line,TESTING,0.97,0.97,315.42,5709622.5,2389.48,0.96,0.99,319
moby,Module,TESTING,0.99,0.99,15.05,2304.35,48.0,0.39,0.7,319
vue,Line,TESTING,1.0,1.0,78.11,149312.13,386.41,0.93,1.0,248
vue,Module,TESTING,1.0,1.0,3.72,124.8,11.17,0.46,0.68,248
tensorflow,Line,TESTING,0.98,0.98,3386.53,257108734.76,16034.61,0.79,0.93,106
tensorflow,Module,TESTING,0.99,0.99,116.63,113854.48,337.42,0.4,0.64,106
node,Line,TESTING,1.0,1.0,583.08,2977544.14,1725.56,0.98,0.99,596
node,Module,TESTING,1.0,1.0,246.56,309549.83,556.37,0.45,0.64,596
angular,Line,TESTING,0.99,0.99,1109.59,60861269.63,7801.36,0.98,0.99,411
angular,Module,TESTING,0.93,0.93,73.27,108070.6,328.74,0.33,0.6,411
home-assistant,Line,TESTING,1.0,1.0,3011.1,965012724.25,31064.65,0.91,0.95,560
home-assistant,Module,TESTING,0.93,0.93,29.54,23556.33,153.48,0.23,0.39,560
neutron,Line,TESTING,1.0,1.0,886.72,17302819.67,4159.67,0.92,0.98,203
neutron,Module,TESTING,0.99,0.99,54.4,17064.52,130.63,0.51,0.76,203
gitlabhq,Line,TESTING,1.0,1.0,12993.8,10276687927.0,101374.0,0.94,0.95,1154
gitlabhq,Module,TESTING,0.99,0.99,383.18,7027662.54,2650.97,0.44,0.7,1154
moby,Line,FEATURE,0.99,0.99,6.34,3026.83,55.02,0.71,0.83,319
moby,Module,FEATURE,0.97,0.97,0.52,5.89,2.43,0.24,0.35,319
vue,Line,FEATURE,0.99,0.99,14.41,9613.77,98.05,0.44,0.58,248
vue,Module,FEATURE,0.98,0.98,1.4,39.72,6.3,0.22,0.42,248
tensorflow,Line,FEATURE,0.99,0.99,396.81,2913803.12,1706.99,0.68,0.8,106
tensorflow,Module,FEATURE,0.98,0.98,8.78,685.83,26.19,0.47,0.78,106
node,Line,FEATURE,1.0,1.0,4.4,336.72,18.35,0.91,0.99,596
node,Module,FEATURE,1.0,1.0,1.33,22.36,4.73,0.77,0.87,596
angular,Line,FEATURE,0.99,0.99,2674.76,538060911.34,23196.14,0.93,0.94,411
angular,Module,FEATURE,0.98,0.98,102.54,113488.46,336.88,0.43,0.72,411
neutron,Line,FEATURE,1.0,1.0,17.66,4613.45,67.92,0.79,0.91,203
neutron,Module,FEATURE,0.98,0.98,1.99,40.67,6.38,0.42,0.62,203
home-assistant,Line,FEATURE,0.9,0.9,194.95,9042517.75,3007.08,0.48,0.5,560
home-assistant,Module,FEATURE,0.95,0.95,3.11,1092.29,33.05,0.23,0.42,560
gitlabhq,Line,FEATURE,0.96,0.96,238.58,1826138.07,1351.35,0.87,0.87,1154
gitlabhq,Module,FEATURE,0.97,0.97,28.81,9220.5,96.02,0.46,0.65,1154
moby,Line,UPGRADE,1.0,1.0,16.19,7598.24,87.17,0.94,0.97,319
moby,Module,UPGRADE,0.99,0.99,2.84,83.37,9.13,0.33,0.6,319
vue,Line,UPGRADE,0.87,0.87,56.87,299439.53,547.21,0.25,0.33,248
vue,Module,UPGRADE,0.96,0.96,0.3,4.51,2.12,0.29,0.5,248
tensorflow,Line,UPGRADE,0.84,0.83,11745.38,8328148880.16,91258.69,0.79,0.87,106
tensorflow,Module,UPGRADE,0.92,0.92,22.96,6498.92,80.62,0.29,0.61,106
node,Line,UPGRADE,1.0,1.0,7556.3,1093239610.23,33064.17,0.99,0.99,596
node,Module,UPGRADE,1.0,1.0,848.51,2875635.39,1695.77,0.55,0.76,596
angular,Line,UPGRADE,1.0,1.0,160.08,665980.33,816.08,0.98,0.99,411
angular,Module,UPGRADE,0.88,0.88,15.99,20394.09,142.81,0.31,0.55,411
neutron,Line,UPGRADE,1.0,1.0,25.43,15118.27,122.96,0.97,0.97,203
neutron,Module,UPGRADE,0.99,0.99,3.68,122.52,11.07,0.53,0.67,203
home-assistant,Line,UPGRADE,0.98,0.98,71.68,1179657.38,1086.12,0.97,0.99,560
home-assistant,Module,UPGRADE,0.99,0.99,18.64,7774.94,88.18,0.65,0.8,560
gitlabhq,Line,UPGRADE,1.0,1.0,94.59,810623.37,900.35,0.97,0.97,1154
gitlabhq,Module,UPGRADE,0.95,0.95,14.68,2475.59,49.76,0.4,0.65,1154
moby,Line,RELEASE,0.99,0.99,7.29,2406.89,49.06,0.85,0.92,319
moby,Module,RELEASE,0.99,0.99,1.19,22.86,4.78,0.3,0.58,319
vue,Line,RELEASE,1.0,1.0,649.42,8129439.24,2851.22,0.92,0.99,248
vue,Module,RELEASE,1.0,1.0,1.92,42.68,6.53,0.71,0.89,248
