Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
vue,Line,REFACTOR,0.93,0.93,106.32,157961.03,397.44,0.77,0.84,248,0,0.61
vue,Module,REFACTOR,0.95,0.95,2.33,66.25,8.14,0.8,0.9,248,0,0.61
cli,Line,REFACTOR,0.18,0.16,3769.72,201847589.33,14207.31,0.33,0.48,109,0,0.511
cli,Module,REFACTOR,0.31,0.29,42.62,14466.02,120.27,0.42,0.54,109,0,0.511
neutron,Line,REFACTOR,0.89,0.89,558.88,1515627.55,1231.11,0.67,0.75,203,0,0.53
neutron,Module,REFACTOR,0.88,0.88,13.29,836.16,28.92,0.66,0.75,203,0,0.53
moby,Line,REFACTOR,0.74,0.74,310.4,1188042.34,1089.97,0.74,0.8,319,0,0.596
moby,Module,REFACTOR,0.81,0.81,5.12,223.94,14.96,0.75,0.84,319,0,0.596
ansible,Line,REFACTOR,0.98,0.98,27356.21,11743254881.0,108366.3,0.77,0.86,303,0,0.469
ansible,Module,REFACTOR,1.0,1.0,404.53,6051242.46,2459.93,0.8,0.87,303,0,0.469
angular,Line,REFACTOR,0.81,0.81,5526.97,165267094.38,12855.63,0.24,0.41,411,0,0.339
angular,Module,REFACTOR,0.84,0.84,262.42,350284.59,591.85,0.26,0.44,411,0,0.339
node,Line,REFACTOR,0.95,0.95,4428.01,191258831.03,13829.64,0.51,0.62,596,0,0.424
node,Module,REFACTOR,0.98,0.98,42.62,11845.58,108.84,0.29,0.43,596,0,0.424
home-assistant,Line,REFACTOR,0.5,0.5,1477.45,118459504.68,10883.91,0.88,0.9,560,0,0.644
home-assistant,Module,REFACTOR,0.7,0.7,10.18,5036.94,70.97,0.88,0.91,560,0,0.644
gitlabhq,Line,REFACTOR,0.74,0.74,717.02,7946392.59,2818.93,0.73,0.79,1154,0,0.511
gitlabhq,Module,REFACTOR,0.77,0.77,17.07,6155.13,78.45,0.75,0.85,1154,0,0.511
orleans,Line,TESTING,0.66,0.65,2183.13,41240332.4,6421.86,0.39,0.52,114,0,0.424
orleans,Module,TESTING,0.77,0.76,131.46,85130.12,291.77,0.27,0.41,114,0,0.424
roslyn,Line,TESTING,0.65,0.64,92641.46,130168077769.91,360788.13,0.27,0.38,102,0,0.388
roslyn,Module,TESTING,0.83,0.82,617.35,3083357.1,1755.95,0.42,0.55,102,0,0.388
tensorflow,Line,TESTING,0.65,0.64,12523.61,1171443449.85,34226.36,0.25,0.4,106,0,0.335
tensorflow,Module,TESTING,0.79,0.78,178.71,229405.82,478.96,0.42,0.55,106,0,0.335
neutron,Line,TESTING,0.79,0.79,3497.23,91654194.75,9573.62,0.39,0.54,203,0,0.386
neutron,Module,TESTING,0.89,0.89,77.02,34031.72,184.48,0.48,0.71,203,0,0.386
cli,Line,TESTING,0.21,0.19,16285.97,8037656131.15,89652.98,0.16,0.27,109,0,0.405
cli,Module,TESTING,0.37,0.35,79.76,114974.86,339.08,0.29,0.42,109,0,0.405
vue,Line,TESTING,0.97,0.97,365.48,2162557.87,1470.56,0.6,0.68,248,0,0.558
vue,Module,TESTING,0.97,0.97,11.27,1849.49,43.01,0.62,0.73,248,0,0.558
moby,Line,TESTING,0.65,0.65,1354.69,18971520.34,4355.63,0.42,0.52,319,0,0.514
moby,Module,TESTING,0.83,0.83,30.73,7935.47,89.08,0.52,0.64,319,0,0.514
ansible,Line,TESTING,0.98,0.98,43362.63,11610144235.28,107750.38,0.43,0.51,303,0,0.31
ansible,Module,TESTING,0.99,0.99,2342.14,29827310.52,5461.44,0.49,0.63,303,0,0.31
angular,Line,TESTING,0.69,0.69,9669.33,468932475.88,21654.85,0.24,0.34,411,0,0.365
angular,Module,TESTING,0.6,0.6,96.59,124324.74,352.6,0.32,0.54,411,0,0.365
node,Line,TESTING,0.94,0.94,9614.27,369768971.95,19229.38,0.37,0.52,596,0,0.331
node,Module,TESTING,0.95,0.95,491.93,1061239.5,1030.16,0.43,0.62,596,0,0.331
home-assistant,Line,TESTING,0.49,0.49,6499.4,1925042238.19,43875.3,0.79,0.81,560,0,0.601
home-assistant,Module,TESTING,0.52,0.52,40.19,34756.89,186.43,0.82,0.85,560,0,0.601
gitlabhq,Line,TESTING,0.87,0.87,18641.8,13553488803.44,116419.45,0.35,0.43,1154,0,0.451
gitlabhq,Module,TESTING,0.9,0.9,421.67,7494892.23,2737.68,0.54,0.64,1154,0,0.451
orleans,Line,FEATURE,0.79,0.78,124.81,181876.18,426.47,0.9,0.9,114,0,0.644
orleans,Module,FEATURE,0.76,0.75,10.03,1231.17,35.09,0.9,0.9,114,0,0.644
tensorflow,Line,FEATURE,0.65,0.64,1638.03,16280112.96,4034.86,0.63,0.7,106,0,0.498
tensorflow,Module,FEATURE,0.72,0.71,18.26,2009.65,44.83,0.7,0.79,106,0,0.498
roslyn,Line,FEATURE,0.58,0.57,12343.99,1156925285.37,34013.6,0.66,0.69,102,0,0.492
roslyn,Module,FEATURE,0.37,0.35,578.62,3403756.64,1844.93,0.64,0.69,102,0,0.492
cli,Line,FEATURE,0.53,0.52,134.55,452562.85,672.73,0.81,0.81,109,0,0.628
cli,Module,FEATURE,0.41,0.39,6.64,684.99,26.17,0.82,0.83,109,0,0.628
neutron,Line,FEATURE,0.69,0.69,210.93,309928.42,556.71,0.82,0.85,203,0,0.603
neutron,Module,FEATURE,0.74,0.74,3.56,77.08,8.78,0.78,0.86,203,0,0.603
vue,Line,FEATURE,0.68,0.68,48.5,54229.06,232.87,0.89,0.92,248,0,0.643
vue,Module,FEATURE,0.63,0.63,2.38,116.65,10.8,0.88,0.91,248,0,0.643
ansible,Line,FEATURE,0.98,0.98,6626.41,347684754.81,18646.31,0.74,0.79,303,0,0.488
ansible,Module,FEATURE,0.98,0.98,57.46,39474.46,198.68,0.77,0.84,303,0,0.488
moby,Line,FEATURE,0.32,0.31,36.11,18599.77,136.38,0.79,0.81,319,0,0.629
moby,Module,FEATURE,0.45,0.44,1.0,11.1,3.33,0.8,0.81,319,0,0.629
angular,Line,FEATURE,0.65,0.65,9619.04,1377181871.3,37110.4,0.35,0.52,411,0,0.392
angular,Module,FEATURE,0.84,0.84,134.23,177631.61,421.46,0.38,0.6,411,0,0.392
node,Line,FEATURE,0.82,0.82,77.11,45575.26,213.48,0.78,0.82,596,0,0.573
node,Module,FEATURE,0.91,0.91,2.64,53.89,7.34,0.78,0.85,596,0,0.573
home-assistant,Line,FEATURE,0.35,0.35,229.4,10846143.75,3293.35,0.89,0.9,560,0,0.654
home-assistant,Module,FEATURE,0.46,0.46,4.17,1752.62,41.86,0.9,0.92,560,0,0.654
gitlabhq,Line,FEATURE,0.67,0.67,510.75,2705672.24,1644.89,0.6,0.69,1154,0,0.49
gitlabhq,Module,FEATURE,0.69,0.69,21.84,7615.08,87.26,0.65,0.75,1154,0,0.49
orleans,Line,UPGRADE,0.85,0.85,73.87,48130.2,219.39,0.85,0.9,114,0,0.585
orleans,Module,UPGRADE,0.64,0.63,7.9,698.54,26.43,0.78,0.82,114,0,0.585
tensorflow,Line,UPGRADE,0.31,0.29,10574.06,7497304572.32,86586.98,0.33,0.41,106,0,0.394
tensorflow,Module,UPGRADE,0.53,0.52,27.34,8671.25,93.12,0.47,0.71,106,0,0.394
roslyn,Line,UPGRADE,0.25,0.23,2731.42,79962769.94,8942.19,0.59,0.64,102,0,0.533
roslyn,Module,UPGRADE,0.55,0.54,70.97,30237.22,173.89,0.6,0.6,102,0,0.533
cli,Line,UPGRADE,0.39,0.37,1252.21,69397771.55,8330.53,0.48,0.53,109,0,0.528
cli,Module,UPGRADE,0.37,0.35,20.53,14390.42,119.96,0.49,0.59,109,0,0.528
neutron,Line,UPGRADE,0.45,0.44,738.91,3687152.22,1920.2,0.41,0.47,203,0,0.523
neutron,Module,UPGRADE,0.69,0.69,9.02,461.49,21.48,0.59,0.72,203,0,0.523
vue,Line,UPGRADE,0.18,0.17,89.11,371445.84,609.46,0.9,0.9,248,0,0.659
vue,Module,UPGRADE,0.54,0.53,0.82,13.14,3.62,0.91,0.91,248,0,0.659
moby,Line,UPGRADE,0.76,0.76,123.01,80197.5,283.19,0.62,0.64,319,0,0.58
moby,Module,UPGRADE,0.83,0.83,3.38,79.08,8.89,0.71,0.77,319,0,0.58
ansible,Line,UPGRADE,0.92,0.92,1522.86,15919571.83,3989.93,0.43,0.58,303,0,0.418
ansible,Module,UPGRADE,0.97,0.97,21.24,3274.67,57.22,0.68,0.81,303,0,0.418
angular,Line,UPGRADE,0.58,0.58,1335.92,10122993.92,3181.67,0.45,0.55,411,0,0.511
angular,Module,UPGRADE,0.28,0.27,25.42,24794.02,157.46,0.51,0.6,411,0,0.511
node,Line,UPGRADE,0.92,0.92,179453.38,109972286499.31,331620.7,0.3,0.43,596,0,0.371
node,Module,UPGRADE,0.96,0.96,1796.08,9905450.22,3147.29,0.37,0.53,596,0,0.371
home-assistant,Line,UPGRADE,0.35,0.35,491.62,7318878.38,2705.34,0.78,0.82,560,0,0.578
home-assistant,Module,UPGRADE,0.85,0.85,35.99,19052.94,138.03,0.81,0.87,560,0,0.578
gitlabhq,Line,UPGRADE,0.63,0.63,502.77,3920549.98,1980.04,0.62,0.67,1154,0,0.501
gitlabhq,Module,UPGRADE,0.62,0.62,9.92,1864.76,43.18,0.68,0.73,1154,0,0.501
orleans,Line,RELEASE,0.32,0.3,48.53,33257.45,182.37,0.8,0.81,114,0,0.592
orleans,Module,RELEASE,0.41,0.39,1.11,19.33,4.4,0.8,0.82,114,0,0.592
tensorflow,Line,RELEASE,0.4,0.38,13878.05,948116779.28,30791.5,0.21,0.3,106,0,0.366
tensorflow,Module,RELEASE,0.32,0.3,47.32,12301.81,110.91,0.33,0.45,106,0,0.366
roslyn,Line,RELEASE,0.62,0.61,294.52,1277523.99,1130.28,0.68,0.68,102,0,0.553
roslyn,Module,RELEASE,0.59,0.58,12.66,1649.59,40.62,0.7,0.75,102,0,0.553
cli,Line,RELEASE,0.49,0.48,37.9,10976.78,104.77,0.66,0.71,109,0,0.582
cli,Module,RELEASE,0.59,0.58,1.23,12.77,3.57,0.71,0.79,109,0,0.582
neutron,Line,RELEASE,0.55,0.54,1057.52,16346679.26,4043.1,0.47,0.55,203,0,0.5
neutron,Module,RELEASE,0.93,0.93,6.74,284.67,16.87,0.62,0.76,203,0,0.5
vue,Line,RELEASE,0.93,0.93,2424.73,56050418.63,7486.68,0.3,0.33,248,0,0.487
vue,Module,RELEASE,0.96,0.96,3.6,215.74,14.69,0.46,0.56,248,0,0.487
moby,Line,RELEASE,0.37,0.36,52.96,34056.89,184.55,0.73,0.77,319,0,0.618
moby,Module,RELEASE,0.59,0.59,2.37,49.52,7.04,0.76,0.79,319,0,0.618
ansible,Line,RELEASE,0.89,0.89,554.09,1059636.91,1029.39,0.18,0.33,303,0,0.357
ansible,Module,RELEASE,0.97,0.97,14.3,596.19,24.42,0.47,0.72,303,0,0.357
angular,Line,RELEASE,0.7,0.7,162.61,137135.88,370.32,0.22,0.35,411,0,0.406
angular,Module,RELEASE,0.89,0.89,3.83,87.24,9.34,0.51,0.72,411,0,0.406
node,Line,RELEASE,0.94,0.94,150.42,126128.91,355.15,0.51,0.65,596,0,0.409
node,Module,RELEASE,0.97,0.97,4.09,83.34,9.13,0.59,0.72,596,0,0.409
home-assistant,Line,RELEASE,0.4,0.4,12.04,33567.35,183.21,0.88,0.89,560,0,0.632
home-assistant,Module,RELEASE,0.61,0.61,1.57,198.14,14.08,0.89,0.91,560,0,0.632
orleans,Line,SUPPORT,0.87,0.87,514.84,1798922.17,1341.24,0.49,0.6,114,0,0.498
orleans,Module,SUPPORT,0.84,0.84,17.82,2258.08,47.52,0.58,0.69,114,0,0.498
