Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
tensorflow,Line_CC,BUG,0.25,0.22,460.59,3308034.72,1818.8,0.46,0.57,106,0,0.243
tensorflow,Line_EC,BUG,0.02,-0.02,8374.01,1385272853.22,37219.25,0.58,0.63,106,0,0.271
tensorflow,Line_UC,BUG,0.71,0.7,2965.05,161417732.5,12705.03,0.42,0.63,106,0,0.137
tensorflow,Module_CC,BUG,0.76,0.75,13.14,3152.71,56.15,0.58,0.75,106,0,0.243
tensorflow,Module_EC,BUG,0.22,0.19,249.17,418336.6,646.79,0.62,0.65,106,0,0.271
tensorflow,Module_UC,BUG,0.68,0.67,130.59,334570.21,578.42,0.55,0.72,106,0,0.137
orleans,Line_CC,BUG,0.81,0.8,411.32,1088759.26,1043.44,0.44,0.59,114,0,0.224
orleans,Line_EC,BUG,-0.11,-0.15,134.48,187937.9,433.52,0.84,0.84,114,0,0.568
orleans,Line_UC,BUG,0.86,0.85,127.84,93773.32,306.22,0.61,0.77,114,0,0.366
orleans,Module_CC,BUG,0.88,0.88,26.86,5530.02,74.36,0.52,0.67,114,0,0.224
orleans,Module_EC,BUG,-0.11,-0.15,14.16,2042.88,45.2,0.84,0.84,114,0,0.568
orleans,Module_UC,BUG,0.56,0.54,9.27,1340.05,36.61,0.68,0.77,114,0,0.366
roslyn,Line_CC,BUG,0.55,0.53,3747.37,216927603.38,14728.46,0.63,0.73,102,0,0.407
roslyn,Line_EC,BUG,0.01,-0.03,39698.28,12747456133.98,112904.63,0.67,0.67,102,0,0.436
roslyn,Line_UC,BUG,0.39,0.36,6214.32,421874317.49,20539.58,0.56,0.68,102,0,0.314
roslyn,Module_CC,BUG,0.63,0.61,64.47,36346.81,190.65,0.62,0.7,102,0,0.407
roslyn,Module_EC,BUG,0.0,-0.04,1096.64,11562841.37,3400.42,0.66,0.67,102,0,0.436
roslyn,Module_UC,BUG,0.85,0.84,113.54,82952.02,288.01,0.59,0.75,102,0,0.314
neutron,Line_CC,BUG,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.729
neutron,Line_EC,BUG,0.01,-0.01,19661.94,3933381610.65,62716.68,0.53,0.69,203,0,0.209
neutron,Line_UC,BUG,0.5,0.49,428.15,1823297.38,1350.3,0.43,0.56,203,0,0.228
neutron,Module_CC,BUG,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.729
neutron,Module_EC,BUG,0.95,0.95,51.38,8288.56,91.04,0.66,0.89,203,0,0.209
